index,mtx,pixel_gflops
152,2103_crystm03.mtx,10.653091
153,1978_vsp_south31_slptsk.mtx,29.386126
154,1395_lock1074.mtx,22.465763
155,2543_pkustk10.mtx,80.312349
156,2250_la2010.mtx,0.673550
157,2746_ML_Laplace.mtx,88.122594
158,1012_LeGresley_2508.mtx,1.036682
159,2000_ca-AstroPh.mtx,0.067905
160,0643_fpga_dcop_04.mtx,0.510601
161,2247_co2010.mtx,0.492085
162,2218_vsp_vibrobox_scagr7-2c_rlfddd.mtx,0.507741
163,1110_G39.mtx,0.606873
164,0121_impcol_b.mtx,0.045387
165,1465_fe_4elt2.mtx,1.451193
166,1901_EX6(0).mtx,4.276266
167,2129_nd2010.mtx,0.769791
168,2558_ship_001.mtx,85.104112
169,0735_rdb1250.mtx,0.744626
170,0860_adder_dcop_09.mtx,3.916216
171,1587_cti.mtx,1.906870
172,1713_ccc.mtx,1.536000
173,1125_add32.mtx,1.135850
174,2094_g7jac140sc.mtx,0.835558
175,0145_west0132.mtx,0.034582
176,1306_freeFlyingRobot_10.mtx,5.644940
177,0610_dwt_607.mtx,0.742587
178,1784_skirt(0).mtx,5.955122
179,2803_audikw_1.mtx,32.390747
180,1506_xingo3012.mtx,1.526634
181,2669_test1.mtx,0.087006
182,0394_gre_512.mtx,0.198474
183,0452_ck400.mtx,0.630447
184,1475_powersim.mtx,1.590659
185,0285_oscil_dcop_38.mtx,0.109322
186,1800_g7jac060.mtx,0.769739
187,2241_crplat2.mtx,111.493045
188,1801_vsp_barth5_1Ksep_50in_5Kout.mtx,0.089799
189,0635_plat362.mtx,1.496248
190,1385_mbeacxc.mtx,17.850027
191,0437_fs_680_1.mtx,0.264345
192,2015_onera_dual.mtx,3.119000
193,0880_adder_dcop_62.mtx,3.908072
194,0326_oscil_dcop_32.mtx,0.110256
195,2042_OPF_10000.mtx,8.684976
196,2230_ne2010.mtx,0.719456
197,0523_can_445.mtx,0.569350
198,1451_c-35.mtx,5.001562
199,1870_a5esindl.mtx,40.226422
200,1900_EX5(0).mtx,4.370580
201,2398_appu.mtx,0.578659
202,2342_web-NotreDame.mtx,22.644609
203,0379_west0479.mtx,0.158062
204,0806_laser.mtx,0.690286
205,2582_para-8.mtx,1.580354
206,2515_parabolic_fem.mtx,3.379591
207,2307_amazon0302.mtx,0.521378
208,0816_G16.mtx,0.617903
209,0168_lnsp_131.mtx,0.077580
210,2214_ch7-8-b5.mtx,3.084590
211,2238_soc-Slashdot0902.mtx,0.167260
212,0440_tumorAntiAngiogenesis_2.mtx,1.102850
213,1578_ex26.mtx,16.220022
214,1760_epb2.mtx,3.917771
215,0646_fpga_dcop_29.mtx,0.511169
216,0537_1138_bus.mtx,0.238658
217,2037_tandem_dual.mtx,3.144029
218,0862_adder_dcop_11.mtx,3.958227
219,0275_dwt_245.mtx,0.235523
220,1285_jan99jac020.mtx,0.720105
221,0481_str_400.mtx,0.403287
222,1993_nemeth03.mtx,74.261722
223,1550_bcsstk13.mtx,15.705314
224,2017_cit-HepPh.mtx,0.039195
225,0192_bcsstk22.mtx,0.102051
226,0997_c-18.mtx,1.282684
227,0298_oscil_dcop_22.mtx,0.100781
228,1790_lowThrust_5.mtx,63.010985
229,2405_conf6_0-8x8-80.mtx,37.157153
230,2651_crankseg_1.mtx,51.540709
231,1017_rbsb480.mtx,2.634799
232,1839_mark3jac080sc.mtx,0.567109
233,0829_can_838.mtx,1.583604
234,0696_dwt_503.mtx,1.210329
235,2249_or2010.mtx,0.472026
236,1944_usroads.mtx,0.699065
237,0528_tumorAntiAngiogenesis_3.mtx,1.491142
238,0633_rdb968.mtx,0.672000
239,0289_oscil_dcop_21.mtx,0.105738
240,1865_rajat26.mtx,8.375898
241,1236_cell1.mtx,2.055869
242,1907_dixmaanl.mtx,6.396512
243,0205_grid1_dual.mtx,0.069478
244,1234_c-26.mtx,3.203405
245,1606_piston.mtx,33.488409
246,0921_adder_dcop_49.mtx,3.879366
247,0934_G52.mtx,0.686350
248,0413_dwt_310.mtx,0.487902
249,1904_finance256.mtx,3.153635
250,1827_bcsstk28.mtx,42.289408
251,0133_west0156.mtx,0.020419
252,1376_rajat13.mtx,17.883330
253,0439_mcca.mtx,1.055462
254,1740_lock3491.mtx,32.959561
255,0701_delaunay_n10.mtx,0.356130
256,0678_fpga_dcop_13.mtx,0.508391
257,1041_wang1.mtx,1.655438
258,2092_Goodwin_040.mtx,37.626804
259,2161_cyl6.mtx,78.781986
260,0596_bp_1600.mtx,0.142207
261,1324_freeFlyingRobot_15.mtx,5.976926
262,0935_G54.mtx,0.663878
263,1645_ex31.mtx,16.689374
264,1940_inlet.mtx,38.682994
265,2621_shipsec1.mtx,73.869238
266,2430_mc2depi.mtx,5.506352
267,1157_as-735.mtx,0.892851
268,2154_md2010.mtx,0.552349
269,1373_ex24.mtx,8.152115
270,0797_EX1(0).mtx,1.142440
271,0730_bcsstm07.mtx,2.215055
272,0098_d_dyn.mtx,0.018222
273,0422_dwt_307.mtx,0.413745
