index,mtx,m,n,nnz,right-n,pixel_gflops
1277,0920_adder_dcop_50.mtx,1813,1813,11246,8,6.426
1278,2032_TEM27623.mtx,27623,27623,439469,8,68.267
1279,2004_nemeth10.mtx,9506,9506,401448,8,178.421
1280,2447_c-big.mtx,345241,345241,2341011,8,78.524
1281,2434_matrix_9.mtx,103430,103430,2121550,8,145.063
1282,1771_sctap1-2r.mtx,28830,63426,186366,8,57.343
1283,2282_bcsstk37.mtx,25503,25503,1140977,8,153.409
1284,2127_bcsstk29.mtx,13992,13992,619488,8,139.603
1285,1343_n3c6-b6.mtx,6435,5005,45045,8,34.32
1286,2222_sc2010.mtx,181908,181908,893160,8,27.065
1287,1817_kl02.mtx,71,36699,212536,8,42.507
1288,2312_c-73b.mtx,169422,169422,1279274,8,91.377
1289,2406_conf5_4-8x8-20.mtx,49152,49152,1916928,8,205.845
1290,2679_3Dspectralwave2.mtx,292008,292008,14322744,8,115.739
1291,0400_p0291.mtx,252,543,2283,8,1.405
1292,2108_stat96v1.mtx,5995,197472,588798,8,68.266
1293,0211_gre_216a.mtx,216,216,876,8,1.078
1294,1610_lpl3.mtx,10828,33686,100525,8,42.326
1295,1998_nemeth08.mtx,9506,9506,394816,8,175.474
1296,1884_s2rmq4m1.mtx,5489,5489,281111,8,102.222
1297,0712_D_6.mtx,970,435,6491,8,5.193
1298,0545_lp_nug07.mtx,602,931,4214,8,2.697
1299,1085_primagaz.mtx,1554,10836,21665,8,13.866
1300,2663_pwtk.mtx,217918,217918,11634424,8,188.986
1301,1980_ecl32.mtx,51993,51993,380415,8,64.07
1302,2293_bcsstk31.mtx,35588,35588,1181416,8,131.268
1303,0321_oscil_dcop_06.mtx,430,430,1544,8,0.95
1304,1015_n4c5-b8.mtx,1895,3635,17055,8,13.644
1305,2049_vsp_c-60_data_cti_cs4.mtx,85830,85830,482160,8,45.114
1306,1524_c-31.mtx,5339,5339,78571,8,33.977
1307,0127_GD98_c.mtx,112,112,336,8,0.358
