mtx,gflops
mc2depi,33.198
pkustk07,63.347
msc10848,76.242
rma10,94.916
ramage02,107.521
opt1,113.635
TSC_OPF_1047,135.892
trdheim,119.428
heart3,108.055
nemeth19,112.9
raefsky3,124.069
TSOPF_RS_b678_c2,173.709
geomean,105.2426666666667
