mtx,gflops
mc2depi,14.345
pkustk07,68.101
msc10848,65.18
rma10,55.456
ramage02,68.569
opt1,75.974
TSC_OPF_1047,-1.0
trdheim,82.629
heart3,38.4
nemeth19,67.426
raefsky3,61.686
TSOPF_RS_b678_c2,24.026
geomean,51.73266666666667
