mtx,gflops
mc2depi,228.312
pkustk07,256.515
msc10848,131.315
rma10,269.329
ramage02,326.824
opt1,207.509
TSC_OPF_1047,204.868
trdheim,233.101
heart3,109.671
nemeth19,113.261
raefsky3,192.384
TSOPF_RS_b678_c2,302.078
geomean,214.59725
