mtx,gflops
mc2depi,193.101
pkustk07,249.521
msc10848,230.26
rma10,243.022
ramage02,251.986
opt1,241.447
TSC_OPF_1047,243.405
trdheim,242.891
heart3,205.035
nemeth19,214.316
raefsky3,234.274
TSOPF_RS_b678_c2,265.173
geomean,234.53591666666665
