mtx,m,n,nnz,N,time,gflops
1009_lp_ship12l.mtx,1152,5533,16276,8,0.012259,21.242884
0637_bcspwr07.mtx,1664,1612,5824,8,0.008152,11.431398
1471_thermal.mtx,3456,3456,66528,8,0.010856,98.051006
2201_fe_ocean.mtx,143488,143437,819186,8,0.041132,318.658654
2480_Trec14.mtx,3200,15905,2872265,8,0.139318,329.865434
1657_bloweybl.mtx,30080,30003,120000,8,0.030806,62.324517
0494_str_600.mtx,384,363,3279,8,0.009930,5.283239
0153_sphere2.mtx,128,66,450,8,0.008373,0.859898
2027_GT01R.mtx,8064,7980,430909,8,0.031854,216.441255
0309_oscil_dcop_01.mtx,512,430,1544,8,0.008775,2.815114
2149_TSOPF_RS_b39_c19.mtx,38144,38098,684206,8,0.034244,319.685382
2687_venturiLevel3.mtx,4026880,4026819,16108474,8,1.121338,229.846542
1504_descriptor_xingo6u.mtx,20864,20738,73916,8,0.013398,88.270347
1396_aa6.mtx,768,7292,51728,8,0.030361,27.260472
2397_com-Amazon.mtx,334976,334863,1851744,8,0.138477,213.954884
1460_rajat07.mtx,14848,14842,63913,8,0.015190,67.321771
2193_ky2010.mtx,161792,161672,787778,8,0.046035,273.802315
0491_685_bus.mtx,768,685,3249,8,0.008666,5.998759
0944_grid2_dual.mtx,3200,3136,12224,8,0.008378,23.346333
2132_blockqp1.mtx,60032,60012,640033,8,0.031521,324.876984
0035_n3c4-b3.mtx,128,20,60,8,0.007759,0.123721
2749_nlpkkt80.mtx,1062400,1062400,28704672,8,1.001180,458.733637
0267_n3c6-b2.mtx,512,105,1365,8,0.008265,2.642512
0686_fpga_dcop_21.mtx,1280,1220,5892,8,0.011031,8.545918
2023_loc-Brightkite.mtx,58240,58228,428156,8,0.049030,139.720452
0297_oscil_dcop_13.mtx,512,430,1544,8,0.008608,2.869792
1443_viscoplastic1.mtx,4352,4326,61166,8,0.011567,84.605894
0908_adder_dcop_52.mtx,1920,1813,11246,8,0.027159,6.625271
0067_lpi_woodinfe.mtx,128,89,140,8,0.008013,0.279544
0287_oscil_dcop_24.mtx,512,430,1544,8,0.008561,2.885507
1562_tuma1.mtx,23040,22967,87760,8,0.012586,111.567358
0824_p2756.mtx,768,3511,9692,8,0.021470,7.222702
2297_Linux_call_graph.mtx,324096,324085,1208908,8,0.108307,178.589494
1768_brainpc2.mtx,27648,27607,179395,8,0.046593,61.604114
1655_conf6_0-4x4-20.mtx,3072,3072,119808,8,0.021318,89.921778
0594_tumorAntiAngiogenesis_6.mtx,512,465,4795,8,0.038839,1.975347
0365_tols90.mtx,128,90,1746,8,0.013230,2.111521
2203_rel8.mtx,345728,12347,821839,8,0.053998,243.516367
0879_adder_dcop_61.mtx,1920,1813,11246,8,0.028450,6.324551
2422_net100.mtx,29952,29920,2033200,8,0.097008,335.343993
1922_lp_osa_14.mtx,2432,54797,317097,8,0.049615,102.257556
2529_ASIC_680k.mtx,682880,682862,3871773,8,0.249208,248.581232
0715_minnesota.mtx,2688,2642,6606,8,0.008035,13.153912
2486_rgg_n_2_18_s0.mtx,262144,262144,3094566,8,0.120048,412.445141
0068_mycielskian5.mtx,128,23,142,8,0.008422,0.269768
1459_car4.mtx,16384,33052,63724,8,0.016025,63.624110
0666_fpga_dcop_39.mtx,1280,1220,5892,8,0.011042,8.537918
2507_amazon0601.mtx,403456,403394,3387388,8,0.129642,418.060929
2151_neos2.mtx,132608,134128,685087,8,0.043375,252.711787
1454_gen.mtx,896,2561,63086,8,0.016472,61.277933
1176_tomography.mtx,512,500,28726,8,0.030573,15.033588
0763_jagmesh5.mtx,1280,1180,7750,8,0.008700,14.252926
2470_GL7d23.mtx,105088,349443,2695430,8,0.127618,337.937493
1473_flowmeter0.mtx,9728,9669,67391,8,0.011243,95.900762
2089_cage11.mtx,39168,39082,559722,8,0.029382,304.792742
0106_bibd_9_3.mtx,128,84,252,8,0.008144,0.495085
1317_Trefethen_2000.mtx,2048,2000,41906,8,0.009958,67.330989
2424_bcsstk30.mtx,28928,28924,2043492,8,0.090581,360.958722
0698_bcspwr08.mtx,1664,1624,6050,8,0.008717,11.104585
2789_road_usa.mtx,23947392,23947347,57708624,8,6.801763,135.749796
2184_dc2.mtx,116864,116835,766396,8,0.053138,230.764043
2038_qc2534.mtx,2560,2534,463360,8,0.104222,71.134495
0198_can_96.mtx,128,96,768,8,0.008331,1.475017
1536_c-40.mtx,9984,9941,81501,8,0.033633,38.772446
2177_copter2.mtx,55552,55476,759952,8,0.035933,338.387499
1352_IG5-12.mtx,2304,2875,46260,8,0.015336,48.263314
1792_world.mtx,34560,67147,198883,8,0.039154,81.271341
1715_case9.mtx,14464,14454,147972,8,0.022387,105.753810
0900_adder_dcop_22.mtx,1920,1813,11246,8,0.028443,6.326159
1265_GL7d12.mtx,8960,1019,37519,8,0.009855,60.912412
0792_nnc1374.mtx,1408,1374,8606,8,0.008747,15.742702
1600_ex15.mtx,6912,6867,98671,8,0.011713,134.783559
0578_cdde2.mtx,1024,961,4681,8,0.008110,9.235401
0238_rdb200l.mtx,256,200,1120,8,0.008247,2.172859
1185_deter5.mtx,5120,14529,29715,8,0.010314,46.094637
0609_cage.mtx,384,366,5124,8,0.008639,9.489732
0253_mk10-b1.mtx,640,45,1260,8,0.007720,2.611453
1544_jan99jac040sc.mtx,13696,13694,82842,8,0.015157,87.448249
1362_kneser_8_3_1.mtx,15744,15681,47042,8,0.010599,71.011294
1829_s2rmt3m1.mtx,5504,5489,219521,8,0.023336,150.510659
2099_ut2010.mtx,115456,115406,572066,8,0.043559,210.132353
0789_mhda416.mtx,512,416,8562,8,0.009873,13.874844
1805_mario001.mtx,38528,38434,206156,8,0.018584,177.489952
0104_IG5-6.mtx,128,77,251,8,0.008852,0.453675
0622_GL6_D_7.mtx,640,470,5378,8,0.008773,9.808034
2670_TSOPF_FS_b300_c3.mtx,84480,84414,13135930,8,0.533255,394.135664
1192_c-28.mtx,4608,4598,30590,8,0.034772,14.075551
2401_imagesensor.mtx,118784,118758,1893170,8,0.075970,398.720080
1601_sctap1-2b.mtx,15488,33858,99454,8,0.013390,118.835613
2060_soc-Epinions1.mtx,75904,75888,508837,8,0.055320,147.169053
2109_mri1.mtx,65536,147456,589824,8,0.031202,302.454304
0187_rel5.mtx,384,35,656,8,0.008014,1.309726
1047_bcsstm12.mtx,1536,1473,19659,8,0.009414,33.411286
1067_kineticBatchReactor_1.mtx,2176,2052,20600,8,0.035771,9.214149
0447_lnsp_511.mtx,512,511,2796,8,0.008430,5.306832
0781_poli.mtx,4096,4008,8188,8,0.013351,9.812592
0984_pde2961.mtx,3072,2961,14585,8,0.008631,27.037498
1019_spaceStation_10.mtx,1280,1272,17478,8,0.019143,14.608289
1061_rw5151.mtx,5248,5151,20199,8,0.008628,37.459386
2304_mycielskian13.mtx,6144,6143,1227742,8,0.075887,258.857943
1786_bfly.mtx,49152,49152,196608,8,0.015426,203.917209
2440_H2O.mtx,67072,67024,2216736,8,0.087501,405.343345
0082_lap_25.mtx,128,25,169,8,0.008189,0.330202
2750_nd24k.mtx,72064,72000,28715634,8,1.116416,411.540296
0478_ch8-8-b1.mtx,1664,64,3136,8,0.007695,6.520699
0772_G32.mtx,2048,2000,8000,8,0.008033,15.934033
0149_gre_115.mtx,128,115,421,8,0.008138,0.827769
1442_sit100.mtx,10368,10262,61046,8,0.010822,90.254800
1527_LFAT5000.mtx,20096,19994,79966,8,0.012282,104.175297
0485_G12.mtx,896,800,3200,8,0.008036,6.371380
1163_freeFlyingRobot_6.mtx,3456,3358,27030,8,0.055371,7.810608
0626_n3c6-b3.mtx,1408,455,5460,8,0.008005,10.912885
0327_oscil_dcop_33.mtx,512,430,1544,8,0.008693,2.841903
0536_nnc666.mtx,768,666,4044,8,0.008589,7.533532
0871_adder_dcop_67.mtx,1920,1813,11246,8,0.028456,6.323235
2600_Chevron4.mtx,711552,711450,6376412,8,0.301675,338.187445
2280_ks2010.mtx,238720,238600,1121798,8,0.061443,292.119073
1673_lp_fit2d.mtx,128,10524,129042,8,0.044474,46.424198
0566_bp_800.mtx,896,822,4534,8,0.028461,2.548904
0402_Chebyshev1.mtx,384,261,2319,8,0.024404,1.520412
1251_dynamicSoaringProblem_6.mtx,3456,3431,36741,8,0.025734,22.843425
2818_Flan_1565.mtx,1564800,1564794,117406044,8,4.557545,412.172928
1296_G27.mtx,2048,2000,39980,8,0.010590,60.402056
2264_Dubcova2.mtx,65152,65025,1030225,8,0.045805,359.866718
0117_pivtol.mtx,128,102,306,8,0.007963,0.614850
2668_delaunay_n21.mtx,2097152,2097152,12582816,8,0.782431,257.307061
2584_para-5.mtx,156032,155924,5416358,8,0.214252,404.484371
1087_bcspwr10.mtx,5376,5300,21842,8,0.009070,38.531288
0258_gams30am.mtx,384,531,1287,8,0.012930,1.592558
1136_freeFlyingRobot_5.mtx,2944,2878,24582,8,0.048132,8.171507
0535_bp_400.mtx,896,822,4028,8,0.028408,2.268623
0611_netz4504.mtx,2048,1961,5156,8,0.008348,9.881824
1730_vt2010.mtx,32640,32580,155598,8,0.019048,130.698169
0421_dwb512.mtx,512,512,2500,8,0.008441,4.738708
0029_bcsstm01.mtx,128,48,48,8,0.007808,0.098357
1417_model9.mtx,2944,10939,55956,8,0.021251,42.128817
2551_TSOPF_FS_b300.mtx,29312,29214,4400122,8,0.196090,359.028216
2066_ted_AB_unscaled.mtx,10624,10605,522387,8,0.044171,189.223758
0504_dwt_512.mtx,512,512,3502,8,0.008820,6.352535
1734_c-49.mtx,21248,21132,157042,8,0.047584,52.804479
2301_caidaRouterLevel.mtx,192256,192244,1218132,8,0.100568,193.799409
2172_brack2.mtx,62720,62631,733118,8,0.035506,330.362800
1357_Oregon-1.mtx,11520,11492,46818,8,0.042148,17.772666
0916_adder_dcop_35.mtx,1920,1813,11246,8,0.028573,6.297401
0707_n4c5-b9.mtx,640,1895,6300,8,0.008370,12.043218
1186_TF14.mtx,2688,3160,29862,8,0.010987,43.487379
2699_af_5_k101.mtx,503680,503625,17550675,8,0.630807,445.160967
2760_road_central.mtx,14081920,14081816,33866826,8,3.937591,137.614395
0459_wm1.mtx,256,277,2909,8,0.013130,3.544751
0272_dwt_198.mtx,256,198,1392,8,0.008626,2.581823
0956_lp_ship08l.mtx,896,4363,12882,8,0.013160,15.661701
2517_power197k.mtx,197248,197156,3698357,8,0.165543,357.451369
2324_nemeth22.mtx,9600,9506,1358832,8,0.087317,248.991541
2044_wathen100.mtx,30464,30401,471601,8,0.025447,296.517872
0740_cavity02.mtx,384,317,7327,8,0.011211,10.456686
1932_EAT_RS.mtx,23296,23219,325592,8,0.047569,109.513219
2459_c8_mat11.mtx,4608,5761,2462970,8,0.130700,301.512355
0343_lpi_chemcom.mtx,384,744,1590,8,0.008697,2.925117
0055_bcsstm03.mtx,128,112,112,8,0.007782,0.230280
0848_cage8.mtx,1024,1015,11003,8,0.008847,19.899949
0111_ex5.mtx,128,27,279,8,0.008531,0.523287
1957_mark3jac120sc.mtx,55040,54929,342475,8,0.023399,234.177666
1749_mark3jac060sc.mtx,27520,27449,170695,8,0.016812,162.451558
0393_gas11.mtx,512,862,2166,8,0.008592,4.033580
2310_ok2010.mtx,269184,269118,1274148,8,0.068722,296.650568
2565_LargeRegFile.mtx,2111232,801374,4944201,8,0.541822,146.002235
2014_nv2010.mtx,84608,84538,416998,8,0.031253,213.482535
1220_cavity08.mtx,1280,1182,32747,8,0.011399,45.966637
1147_lnsp3937.mtx,3968,3937,25407,8,0.009110,44.624258
2136_Delor64K.mtx,64768,1785345,652140,8,0.034557,301.942388
1830_s3rmt3m1.mtx,5504,5489,219521,8,0.023724,148.046912
1128_spaceShuttleEntry_2.mtx,1536,1428,24073,8,0.029232,13.176130
2660_fcondp2.mtx,201856,201822,11294316,8,0.455003,397.159967
0427_M20PI_n1.mtx,1152,1028,2547,8,0.007956,5.122110
1962_cond-mat-2005.mtx,40448,40421,351386,8,0.031383,179.149510
0496_lp_standgub.mtx,384,1383,3339,8,0.024401,2.189402
1505_ncvxqp1.mtx,12160,12111,73963,8,0.010985,107.730155
2076_psmigr_3.mtx,3200,3140,543162,8,0.060598,143.412744
0146_bcsstm06.mtx,512,420,420,8,0.007703,0.872376
0524_nemscem.mtx,768,1712,3840,8,0.017047,3.604131
2453_pkustk07.mtx,16896,16860,2418804,8,0.113906,339.762419
1985_g7jac100sc.mtx,29696,29610,384636,8,0.026959,228.280919
0345_bcspwr04.mtx,384,274,1612,8,0.008806,2.929035
0853_adder_dcop_01.mtx,1920,1813,11156,8,0.028498,6.263482
2433_wave.mtx,156416,156317,2118662,8,0.085382,397.024262
2559_engine.mtx,143616,143571,4706073,8,0.179072,420.486113
0599_M40PI_n1.mtx,2048,2028,5007,8,0.008111,9.877103
0980_bibd_17_4b.mtx,256,2380,14280,8,0.015051,15.180217
0237_bcsstm09.mtx,1152,1083,1083,8,0.007920,2.187905
0886_adder_dcop_47.mtx,1920,1813,11246,8,0.028537,6.305346
1947_ckt11752_tr_0.mtx,49792,49702,333029,8,0.040424,131.815829
2539_Delor338K.mtx,343296,887058,4211599,8,0.182830,368.569589
2078_soc-sign-Slashdot090216.mtx,81920,81871,545671,8,0.045826,190.519601
1685_raefsky6.mtx,3456,3402,137845,8,0.028611,77.086500
2115_pfinan512.mtx,74752,74752,596992,8,0.032067,297.873147
0911_adder_dcop_31.mtx,1920,1813,11246,8,0.028600,6.291405
2256_G_n_pin_pout.mtx,100096,100000,1002396,8,0.045561,352.021992
1464_Oregon-2.mtx,11904,11806,65460,8,0.044729,23.415451
2105_nemeth16.mtx,9600,9506,587012,8,0.051724,181.583762
1883_s3rmq4m1.mtx,5504,5489,281111,8,0.025744,174.711839
2103_crystm03.mtx,24704,24696,583770,8,0.029892,312.473236
1337_beause.mtx,512,507,44551,8,0.041972,16.983080
1978_vsp_south31_slptsk.mtx,39680,39668,379828,8,0.055209,110.077971
1395_lock1074.mtx,1152,1074,51588,8,0.039051,21.136455
2543_pkustk10.mtx,80768,80676,4308984,8,0.166249,414.701488
