index,mtx,gflops
0,1009_lp_ship12l.mtx,4.202
1,0637_bcspwr07.mtx,1.486
2,1471_thermal.mtx,17.160
3,2201_fe_ocean.mtx,105.233
4,2480_Trec14.mtx,184.741
5,1657_bloweybl.mtx,26.705
6,0494_str_600.mtx,0.894
7,0153_sphere2.mtx,0.134
8,2027_GT01R.mtx,79.983
9,0309_oscil_dcop_01.mtx,0.420
10,2149_TSOPF_RS_b39_c19.mtx,101.169
11,2687_venturiLevel3.mtx,109.548
12,1504_descriptor_xingo6u.mtx,17.468
13,1396_aa6.mtx,14.677
14,2397_com-Amazon.mtx,100.469
15,1460_rajat07.mtx,15.296
16,2193_ky2010.mtx,92.702
17,0491_685_bus.mtx,0.867
18,0944_grid2_dual.mtx,3.059
19,2132_blockqp1.mtx,99.207
20,0035_n3c4-b3.mtx,0.019
21,2749_nlpkkt80.mtx,150.106
22,0267_n3c6-b2.mtx,0.377
23,0686_fpga_dcop_21.mtx,1.571
24,2023_loc-Brightkite.mtx,64.705
25,0297_oscil_dcop_13.mtx,0.420
26,1443_viscoplastic1.mtx,15.347
27,0908_adder_dcop_52.mtx,2.854
28,0067_lpi_woodinfe.mtx,0.042
29,0287_oscil_dcop_24.mtx,0.420
30,1562_tuma1.mtx,19.390
31,0824_p2756.mtx,2.542
32,2297_Linux_call_graph.mtx,101.739
33,1768_brainpc2.mtx,36.652
34,1655_conf6_0-4x4-20.mtx,30.251
35,0594_tumorAntiAngiogenesis_6.mtx,1.307
36,0365_tols90.mtx,0.495
37,2203_rel8.mtx,94.584
38,0879_adder_dcop_61.mtx,2.851
39,2422_net100.mtx,151.760
40,1922_lp_osa_14.mtx,63.451
41,2529_ASIC_680k.mtx,191.639
42,0715_minnesota.mtx,1.611
43,2486_rgg_n_2_18_s0.mtx,182.307
44,0068_mycielskian5.mtx,0.043
45,1459_car4.mtx,14.532
46,0666_fpga_dcop_39.mtx,1.511
47,2507_amazon0601.mtx,161.024
48,2151_neos2.mtx,93.963
49,1454_gen.mtx,16.525
50,1176_tomography.mtx,7.833
51,0763_jagmesh5.mtx,2.033
52,2470_GL7d23.mtx,111.517
53,1473_flowmeter0.mtx,16.140
54,2089_cage11.mtx,87.049
55,0106_bibd_9_3.mtx,0.077
56,1317_Trefethen_2000.mtx,11.006
57,2424_bcsstk30.mtx,174.538
58,0698_bcspwr08.mtx,1.557
59,2789_road_usa.mtx,75.681
60,2184_dc2.mtx,104.792
61,2038_qc2534.mtx,90.917
62,0198_can_96.mtx,0.237
63,1536_c-40.mtx,18.829
64,2177_copter2.mtx,106.354
65,1352_IG5-12.mtx,11.887
66,1792_world.mtx,40.692
67,1715_case9.mtx,33.546
68,0900_adder_dcop_22.mtx,2.851
69,1265_GL7d12.mtx,8.672
70,0792_nnc1374.mtx,2.257
71,1600_ex15.mtx,24.384
72,0578_cdde2.mtx,1.228
73,0238_rdb200l.mtx,0.315
74,1185_deter5.mtx,6.961
75,0609_cage.mtx,1.446
76,0253_mk10-b1.mtx,0.330
77,1544_jan99jac040sc.mtx,19.991
78,1362_kneser_8_3_1.mtx,10.723
79,1829_s2rmt3m1.mtx,48.062
80,2099_ut2010.mtx,70.748
81,0789_mhda416.mtx,2.407
82,1805_mario001.mtx,41.430
83,0104_IG5-6.mtx,0.077
84,0622_GL6_D_7.mtx,1.465
85,2670_TSOPF_FS_b300_c3.mtx,148.876
86,1192_c-28.mtx,7.735
87,2401_imagesensor.mtx,167.894
88,1601_sctap1-2b.mtx,24.970
89,2060_soc-Epinions1.mtx,63.414
90,2109_mri1.mtx,91.980
91,0187_rel5.mtx,0.179
92,1047_bcsstm12.mtx,5.062
93,1067_kineticBatchReactor_1.mtx,5.301
94,0447_lnsp_511.mtx,0.748
95,0781_poli.mtx,1.929
96,0984_pde2961.mtx,3.620
97,1288_nasa1824(0).mtx,10.476
98,1019_spaceStation_10.mtx,4.666
99,1061_rw5151.mtx,4.919
100,2304_mycielskian13.mtx,135.692
101,1786_bfly.mtx,39.563
102,2440_H2O.mtx,169.113
103,0082_lap_25.mtx,0.051
104,2750_nd24k.mtx,154.311
105,0478_ch8-8-b1.mtx,0.820
106,0772_G32.mtx,2.142
107,0149_gre_115.mtx,0.129
108,1442_sit100.mtx,14.781
109,1527_LFAT5000.mtx,18.983
110,0485_G12.mtx,0.869
111,1163_freeFlyingRobot_6.mtx,6.809
112,0626_n3c6-b3.mtx,1.394
113,0327_oscil_dcop_33.mtx,0.420
114,0536_nnc666.mtx,1.081
115,0871_adder_dcop_67.mtx,2.847
116,2600_Chevron4.mtx,133.447
117,2280_ks2010.mtx,109.050
118,1673_lp_fit2d.mtx,39.444
119,0566_bp_800.mtx,1.283
120,0402_Chebyshev1.mtx,0.631
121,1251_dynamicSoaringProblem_6.mtx,9.276
122,2818_Flan_1565.mtx,157.574
123,1296_G27.mtx,10.747
124,2264_Dubcova2.mtx,120.353
125,0117_pivtol.mtx,0.095
126,2668_delaunay_n21.mtx,136.814
127,2584_para-5.mtx,219.135
128,1087_bcspwr10.mtx,5.368
129,0258_gams30am.mtx,0.355
130,1136_freeFlyingRobot_5.mtx,6.211
131,0535_bp_400.mtx,1.094
132,0611_netz4504.mtx,1.265
133,1730_vt2010.mtx,31.507
134,0421_dwb512.mtx,0.681
135,0029_bcsstm01.mtx,0.015
136,1417_model9.mtx,13.991
137,2551_TSOPF_FS_b300.mtx,220.624
138,2066_ted_AB_unscaled.mtx,89.061
139,0504_dwt_512.mtx,0.955
140,1734_c-49.mtx,33.417
141,2301_caidaRouterLevel.mtx,92.444
142,2172_brack2.mtx,103.096
143,1357_Oregon-1.mtx,10.835
144,0916_adder_dcop_35.mtx,2.852
145,0707_n4c5-b9.mtx,1.741
146,1186_TF14.mtx,7.538
147,2699_af_5_k101.mtx,146.452
148,2760_road_central.mtx,67.841
149,0459_wm1.mtx,0.832
150,0272_dwt_198.mtx,0.404
151,0956_lp_ship08l.mtx,3.588
152,2517_power197k.mtx,193.040
153,2324_nemeth22.mtx,145.915
154,2044_wathen100.mtx,80.948
155,0740_cavity02.mtx,1.985
156,1932_EAT_RS.mtx,49.591
157,2459_c8_mat11.mtx,195.404
158,0343_lpi_chemcom.mtx,0.441
159,0055_bcsstm03.mtx,0.034
160,0848_cage8.mtx,2.933
161,0111_ex5.mtx,0.084
162,1957_mark3jac120sc.mtx,60.375
163,1749_mark3jac060sc.mtx,35.032
164,0393_gas11.mtx,0.579
165,2310_ok2010.mtx,108.397
166,2565_LargeRegFile.mtx,115.134
167,2014_nv2010.mtx,58.159
168,1220_cavity08.mtx,8.634
169,1147_lnsp3937.mtx,6.302
170,2136_Delor64K.mtx,98.206
171,1830_s3rmt3m1.mtx,47.993
172,1128_spaceShuttleEntry_2.mtx,6.313
173,1494_EX4(0).mtx,18.462
174,2660_fcondp2.mtx,144.760
175,0427_M20PI_n1.mtx,0.683
176,1962_cond-mat-2005.mtx,58.433
177,0496_lp_standgub.mtx,0.931
178,1505_ncvxqp1.mtx,17.340
179,2076_psmigr_3.mtx,83.282
180,0146_bcsstm06.mtx,0.113
181,0524_nemscem.mtx,0.988
182,2453_pkustk07.mtx,182.938
183,1985_g7jac100sc.mtx,64.950
184,0345_bcspwr04.mtx,0.439
185,0853_adder_dcop_01.mtx,2.832
186,2433_wave.mtx,164.575
187,2559_engine.mtx,207.339
188,0599_M40PI_n1.mtx,1.254
189,0980_bibd_17_4b.mtx,4.079
190,0237_bcsstm09.mtx,0.247
191,0886_adder_dcop_47.mtx,2.854
192,1947_ckt11752_tr_0.mtx,60.849
193,2539_Delor338K.mtx,200.333
194,2078_soc-sign-Slashdot090216.mtx,61.606
195,1685_raefsky6.mtx,31.652
196,2115_pfinan512.mtx,91.451
197,0911_adder_dcop_31.mtx,2.855
198,2256_G_n_pin_pout.mtx,96.663
199,1464_Oregon-2.mtx,15.364
200,2105_nemeth16.mtx,98.311
201,1883_s3rmq4m1.mtx,55.798
202,2103_crystm03.mtx,94.561
203,1337_beause.mtx,11.907
204,1978_vsp_south31_slptsk.mtx,60.855
205,1395_lock1074.mtx,13.464
206,2543_pkustk10.mtx,210.446
207,2834_uk-2002.mtx,129.285
208,2250_la2010.mtx,95.087
209,0354_lpi_bgdbg1.mtx,0.467
210,2746_ML_Laplace.mtx,151.555
211,1012_LeGresley_2508.mtx,4.454
212,2000_ca-AstroPh.mtx,51.369
213,0643_fpga_dcop_04.mtx,1.557
214,2247_co2010.mtx,89.214
215,2218_vsp_vibrobox_scagr7-2c_rlfddd.mtx,94.421
216,0835_IG5-10.mtx,2.800
217,2252_kneser_10_4_1.mtx,80.871
218,0154_lpi_ex73a.mtx,0.129
219,1110_G39.mtx,6.130
220,0121_impcol_b.mtx,0.094
221,2788_wb-edu.mtx,107.270
222,0716_cr42.mtx,1.793
223,1465_fe_4elt2.mtx,16.198
224,1901_EX6(0).mtx,58.818
225,0632_lp_grow15.mtx,1.587
226,2129_nd2010.mtx,81.716
227,2558_ship_001.mtx,214.247
228,0735_rdb1250.mtx,1.889
229,0860_adder_dcop_09.mtx,2.832
230,1587_cti.mtx,23.058
231,1713_ccc.mtx,29.571
232,1125_add32.mtx,5.916
233,2094_g7jac140sc.mtx,81.292
234,1683_abtaha2.mtx,28.020
235,0145_west0132.mtx,0.122
236,1306_freeFlyingRobot_10.mtx,9.759
237,0610_dwt_607.mtx,1.390
238,1784_skirt(0).mtx,42.843
239,2803_audikw_1.mtx,154.642
240,1506_xingo3012.mtx,17.472
241,2669_test1.mtx,140.664
242,0394_gre_512.mtx,0.617
243,0452_ck400.mtx,0.823
244,1615_psse0.mtx,24.742
245,1475_powersim.mtx,16.130
246,0285_oscil_dcop_38.mtx,0.420
247,1800_g7jac060.mtx,41.762
248,2241_crplat2.mtx,127.252
249,1801_vsp_barth5_1Ksep_50in_5Kout.mtx,35.605
250,0635_plat362.mtx,1.609
251,1385_mbeacxc.mtx,13.805
252,0437_fs_680_1.mtx,0.707
253,2273_ts-palko.mtx,125.748
254,2015_onera_dual.mtx,68.257
255,0880_adder_dcop_62.mtx,2.851
256,0326_oscil_dcop_32.mtx,0.419
257,2042_OPF_10000.mtx,76.555
258,2230_ne2010.mtx,95.963
259,0523_can_445.mtx,1.038
260,1451_c-35.mtx,14.798
261,1870_a5esindl.mtx,49.030
262,1900_EX5(0).mtx,56.785
263,2398_appu.mtx,101.688
264,2342_web-NotreDame.mtx,86.188
265,0379_west0479.mtx,0.507
266,0806_laser.mtx,2.194
267,1631_co9.mtx,25.256
268,2582_para-8.mtx,211.119
269,2515_parabolic_fem.mtx,185.106
270,2307_amazon0302.mtx,106.671
271,0816_G16.mtx,2.531
272,1539_gen2.mtx,20.725
273,0759_model2.mtx,2.034
274,0168_lnsp_131.mtx,0.152
275,2276_dbic1.mtx,111.410
276,2214_ch7-8-b5.mtx,108.387
277,2238_soc-Slashdot0902.mtx,80.467
278,2344_boyd2.mtx,127.034
279,1567_jendrec1.mtx,22.249
280,0440_tumorAntiAngiogenesis_2.mtx,0.736
281,1578_ex26.mtx,23.030
282,2786_hugebubbles-00000.mtx,63.300
283,2155_ch7-8-b4.mtx,100.858
284,1760_epb2.mtx,37.717
285,0646_fpga_dcop_29.mtx,1.567
286,0537_1138_bus.mtx,1.042
287,2037_tandem_dual.mtx,73.263
288,0862_adder_dcop_11.mtx,2.836
289,0275_dwt_245.mtx,0.397
290,1285_jan99jac020.mtx,9.571
291,0481_str_400.mtx,0.861
292,1993_nemeth03.mtx,74.128
293,1550_bcsstk13.mtx,21.423
294,1400_aa4.mtx,14.200
295,2017_cit-HepPh.mtx,52.295
296,0192_bcsstk22.mtx,0.197
297,0997_c-18.mtx,3.590
298,0298_oscil_dcop_22.mtx,0.420
299,1790_lowThrust_5.mtx,42.559
300,2405_conf6_0-8x8-80.mtx,169.572
301,2651_crankseg_1.mtx,147.579
302,1017_rbsb480.mtx,4.908
303,1839_mark3jac080sc.mtx,46.822
