mtx,m,n,nnz,other,time,gflops
1446_testbig.mtx,17600,31223,61639,1.727000,0.010591,11.639883
2139_g7jac160sc.mtx,47424,47430,656616,8.430000,0.053239,24.666729
1659_foldoc.mtx,13344,13356,120238,2.198000,0.028453,8.451692
0217_lop163.mtx,160,163,935,0.649000,0.009389,0.199169
1670_jan99jac060sc.mtx,20608,20614,127182,2.125000,0.028216,9.014885
1143_TSOPF_FS_b9_c1.mtx,2448,2454,25032,25.136000,0.012989,3.854338
1313_cage9.mtx,3520,3534,41594,24.723000,0.010777,7.719031
2138_g7jac160.mtx,47424,47430,656616,8.865000,0.055329,23.734967
0752_lung1.mtx,1648,1650,7419,0.569000,0.009883,1.501366
0468_bibd_12_4.mtx,64,495,2970,39.085000,0.012121,0.490059
0518_mk9-b2.mtx,1248,378,3780,0.811000,0.008920,0.847534
0195_n3c6-b11.mtx,48,675,720,26.243000,0.010167,0.141635
1834_lowThrust_11.mtx,18368,18368,223801,3.560000,0.028363,15.781194
1102_ex22.mtx,832,839,22715,1.531000,0.011832,3.839588
1753_jan99jac080sc.mtx,27520,27534,171522,2.862000,0.028505,12.034520
1013_dwt_992.mtx,992,992,16744,0.524000,0.009791,3.420284
0033_GD95_a.mtx,32,36,57,0.478000,0.008607,0.013245
1098_saylr4.mtx,3552,3564,22316,0.665000,0.009364,4.766339
2098_mri2.mtx,63232,147456,569160,7.680000,0.039974,28.476510
0623_rajat19.mtx,1152,1157,5399,25.214000,0.011687,0.923933
2528_xenon2.mtx,157456,157464,3866688,22.119000,0.133606,57.881951
0517_steam1.mtx,240,240,3762,0.548000,0.010573,0.711624
2272_3D_51448_3D.mtx,51440,51448,1056610,42.932000,0.039834,53.050660
1543_lhr04c.mtx,4096,4101,82682,1.126000,0.013658,12.107483
2147_heart2.mtx,2336,2339,682797,20.484000,0.030148,45.296338
0361_shl_200.mtx,656,663,1726,0.560000,0.011990,0.287907
2498_pkustk08.mtx,22208,22209,3226671,29.644000,0.092227,69.972373
0671_fpga_dcop_12.mtx,1216,1220,5892,1.012000,0.010825,1.088591
1272_lp_nug12.mtx,3184,8856,38304,29.951000,0.011833,6.474098
2533_barrier2-9.mtx,115616,115625,3897557,80.639000,0.218304,35.707610
1253_wb-cs-stanford.mtx,9904,9914,36854,1.440000,0.013191,5.587749
2077_ford2.mtx,100192,100196,544688,10.392000,0.045369,24.011462
1701_mplate.mtx,5952,5962,142190,2.071000,0.011922,23.853380
0269_n4c5-b2.mtx,448,105,1365,25.571000,0.009764,0.279599
2747_wiki-topcats.mtx,1791488,1791489,28511807,3953.392000,3.154103,18.079186
0157_lp_scagr7.mtx,128,185,465,0.518000,0.010036,0.092666
0477_bcsstk20.mtx,480,485,3135,0.558000,0.010649,0.588788
2182_lhr34.mtx,35152,35152,764014,4.663000,0.035508,43.033345
1696_cavity19.mtx,4560,4562,138187,26.246000,0.012580,21.969316
2761_ss.mtx,1652672,1652680,34753577,2219.845000,1.196439,58.095025
0466_D_11.mtx,160,461,2952,25.174000,0.010564,0.558879
1105_sherman2.mtx,1072,1080,23094,1.980000,0.010968,4.211160
2450_poisson3Db.mtx,85616,85623,2374949,82.617000,0.292348,16.247411
2287_dbir2.mtx,18896,45877,1158159,50.896000,0.070962,32.641667
2419_bcsstk32.mtx,44608,44609,2014701,5.124000,0.048125,83.727834
0569_tumorAntiAngiogenesis_4.mtx,448,455,4593,27.139000,0.012047,0.762513
1168_bayer06.mtx,3008,3008,27576,26.161000,0.020137,2.738839
2640_gearbox.mtx,153744,153746,9080404,44.732000,0.182549,99.484566
2787_boneS10.mtx,914896,914898,55468422,442.035000,1.069153,103.761430
2057_c-66.mtx,49984,49989,499007,9.154000,0.036316,27.481386
2021_ncvxqp5.mtx,62496,62500,424966,7.141000,0.034409,24.700863
2407_conf5_4-8x8-15.mtx,49152,49152,1916928,36.343000,0.051424,74.553827
0363_CSphd.mtx,1872,1882,1740,0.555000,0.007639,0.455557
0026_kleemin.mtx,0,16,44,16.672000,0.000288,0.305556
1179_ca-GrQc.mtx,5232,5242,28980,1.019000,0.010683,5.425442
1292_G29.mtx,2000,2000,39980,1.152000,0.010214,7.828471
0406_lp_scsd1.mtx,64,760,2388,24.672000,0.012387,0.385566
0414_lund_a.mtx,144,147,2449,0.522000,0.011122,0.440388
1821_lowThrust_8.mtx,17696,17702,216445,3.555000,0.028233,15.332767
0780_diag.mtx,2544,2559,8184,0.582000,0.009099,1.798879
1558_fv2.mtx,9792,9801,87025,0.911000,0.011145,15.616869
2399_n4c6-b9.mtx,186544,198895,1865580,26.801000,0.094728,39.388143
1949_graham1.mtx,9024,9035,335504,1.762000,0.028419,23.611246
1341_nopss_11k.mtx,11680,11685,44941,22.662000,0.010633,8.453118
0826_lp_fit1p.mtx,624,1677,9868,1.213000,0.011198,1.762458
1820_TF16.mtx,15424,19321,216173,3.632000,0.030702,14.082014
0929_freeFlyingRobot_2.mtx,1328,1338,11600,1.116000,0.011113,2.087645
1231_G61.mtx,6992,7000,34296,1.216000,0.011221,6.112824
2444_citationCiteseer.mtx,268480,268495,2313294,76.530000,0.402325,11.499628
2036_ex40.mtx,7728,7740,458012,1.861000,0.028502,32.138938
0805_iprob.mtx,2992,3001,9000,2.861000,0.010588,1.700038
2185_trans5.mtx,116832,116835,766396,147.480000,0.056516,27.121382
1010_flower_4_4.mtx,1824,5529,16466,0.965000,0.009964,3.305098
1891_mark3jac100sc.mtx,45760,45769,285215,4.349000,0.035811,15.928905
2822_Bump_2911.mtx,2911408,2911419,127729899,12709.717000,2.641978,96.692629
1431_pcb3000.mtx,3952,7732,57479,28.475000,0.020044,5.735282
1142_dwt_2680.mtx,2672,2680,25026,0.966000,0.010705,4.675572
0708_Pd_rhs.mtx,8080,12406,6323,0.844000,0.009454,1.337635
0465_wm3.mtx,192,260,2948,0.593000,0.011604,0.508101
2231_sx-superuser.mtx,194080,194085,924886,104.258000,0.161451,11.457173
1926_cegb2919.mtx,2912,2919,321543,25.008000,0.022630,28.417411
2290_struct3.mtx,53568,53570,1173694,8.394000,0.040527,57.921583
1994_nemeth02.mtx,9504,9506,394808,1.440000,0.012310,64.144273
0810_lp_pilot_we.mtx,720,2928,9265,1.846000,0.011812,1.568744
1486_lp_wood1p.mtx,240,2595,70216,2.345000,0.013598,10.327401
2116_finan512.mtx,74752,74752,596992,21.823000,0.041793,28.568995
0103_GD96_c.mtx,64,65,250,0.512000,0.009204,0.054324
1634_baxter.mtx,27440,30733,111576,8.605000,0.020224,11.034019
0397_p0282.mtx,240,523,2207,26.239000,0.010810,0.408326
1614_mhd4800a.mtx,4800,4800,102252,1.400000,0.012014,17.022141
2601_TEM152078.mtx,152064,152078,6459326,42.434000,0.186968,69.095524
2531_barrier2-11.mtx,115616,115625,3897557,84.003000,0.215832,36.116581
1613_c-41.mtx,9760,9769,101745,2.021000,0.013104,15.528846
2277_pds-100.mtx,156240,514577,1096002,56.528000,0.158932,13.792087
0863_adder_dcop_19.mtx,1808,1813,11245,43.538000,0.009599,2.342952
1235_bips98_606.mtx,7120,7135,34738,42.020000,0.009798,7.090835
1040_wang2.mtx,2896,2903,19093,44.849000,0.009873,3.867720
1914_lhr14c.mtx,14256,14270,307858,47.299000,0.023232,26.502927
0754_dwt_878.mtx,864,878,7448,48.634000,0.010209,1.459105
2504_m14b.mtx,214752,214765,3358036,95.122000,0.341214,19.682874
2403_loc-Gowalla.mtx,196576,196591,1900654,172.542000,0.225683,16.843573
1316_dw8192.mtx,8192,8192,41746,2.401000,0.009799,8.520461
1560_t2d_q4.mtx,9792,9801,87025,0.981000,0.010763,16.171142
0998_spaceStation_5.mtx,1008,1019,15219,12.586000,0.010627,2.864214
2162_Pres_Poisson.mtx,14816,14822,715804,2.308000,0.033247,43.059765
0086_GD96_b.mtx,96,111,193,0.462000,0.008562,0.045083
1119_hydr1c.mtx,5296,5308,23752,1.212000,0.010214,4.650871
1348_g7jac020sc.mtx,5840,5850,45465,42.892000,0.011473,7.925564
2496_cnr-2000.mtx,325552,325557,3216152,76.233000,0.124346,51.729079
1356_bcsstm39.mtx,46768,46772,46772,3.223000,0.010181,9.188095
0089_n2c6-b1.mtx,96,15,210,26.341000,0.007772,0.054040
1936_fe_body.mtx,45072,45087,327468,6.358000,0.029777,21.994694
1682_c-39.mtx,9264,9271,136811,2.648000,0.028366,9.646126
0658_fpga_dcop_41.mtx,1216,1220,5892,25.891000,0.010839,1.087185
2726_as-Skitter.mtx,1696400,1696415,22190596,5116.373000,1.907133,23.271157
1588_cq9.mtx,9264,21534,96653,25.653000,0.020222,9.559193
1242_soc-sign-bitcoin-otc.mtx,5872,5881,35592,1.393000,0.012884,5.524992
2237_wa2010.mtx,195568,195574,947432,54.862000,0.123309,15.366794
1671_aft02.mtx,8176,8184,127762,1.408000,0.011304,22.604742
1042_ex21.mtx,656,656,19144,0.913000,0.011377,3.365386
1166_mhd4800b.mtx,4800,4800,27520,0.693000,0.009334,5.896722
1789_obstclae.mtx,40000,40000,197608,2.766000,0.017079,23.140465
1938_shallow_water2.mtx,81920,81920,327680,5.432000,0.028574,22.935536
1391_abtaha1.mtx,14592,209,51307,2.254000,0.011186,9.173431
2782_dielFilterV2real.mtx,1157456,1157456,48538952,1220.083000,2.107473,46.063653
1554_kineticBatchReactor_8.mtx,8048,8052,85194,7.060000,0.012729,13.385812
1184_n2c6-b5.mtx,4944,3003,29670,23.830000,0.009843,6.028650
0227_GD00_c.mtx,624,638,1041,2.063000,0.009565,0.217669
2697_af_4_k101.mtx,503616,503625,17550675,157.512000,0.295632,118.733256
1911_lp_nug20.mtx,15232,72600,304800,5.338000,0.048641,12.532637
0891_adder_dcop_59.mtx,1808,1813,11246,0.934000,0.009829,2.288330
1244_c-24.mtx,4112,4119,35699,23.136000,0.012670,5.635201
0091_can_62.mtx,48,62,218,0.452000,0.008590,0.050757
1088_sctap1-2c.mtx,3376,7458,21854,25.471000,0.011099,3.938012
1889_rlfdual.mtx,8048,74970,282031,3.457000,0.022171,25.441433
0773_G34.mtx,2000,2000,8000,0.548000,0.008983,1.781142
0909_adder_dcop_55.mtx,1808,1813,11246,1.065000,0.009876,2.277440
0971_uk.mtx,4816,4824,13674,1.072000,0.009254,2.955263
0544_lp_degen2.mtx,432,757,4201,26.607000,0.011377,0.738508
1193_plbuckle.mtx,1280,1282,30644,22.441000,0.011404,5.374255
2374_Zd_Jac6.mtx,22832,22835,1711983,15.430000,0.057015,60.053775
1209_reorientation_3.mtx,2512,2513,32166,2.729000,0.011154,5.767617
0565_qiulp.mtx,1184,1900,4492,25.904000,0.009654,0.930599
2274_dbir1.mtx,18800,45775,1077025,53.265000,0.066327,32.476216
0262_S10PI_n1.mtx,528,528,1317,6.417000,0.008421,0.312789
2767_inline_1.mtx,503712,503712,36816342,223.372000,0.944787,77.935751
1289_cat_ears_3_4.mtx,5216,13271,39592,23.505000,0.010695,7.403834
2577_Chebyshev4.mtx,68112,68121,5377761,699.158000,0.160987,66.809879
1952_gyro_m.mtx,17360,17361,340431,3.186000,0.030880,22.048640
2680_GL7d16.mtx,955120,460261,14488881,364.613000,2.338233,12.393017
0681_fpga_dcop_27.mtx,1216,1220,5892,25.335000,0.010810,1.090102
1060_lpi_gran.mtx,2656,2525,20111,5.765000,0.011170,3.600895
1173_G62.mtx,6992,7000,28000,0.782000,0.008959,6.250698
0254_n3c5-b5.mtx,208,252,1260,0.471000,0.010124,0.248913
0201_bwm200.mtx,192,200,796,0.503000,0.009171,0.173591
0085_wheel_5_1.mtx,48,61,182,0.498000,0.010160,0.035827
0648_fpga_dcop_50.mtx,1216,1220,5892,0.964000,0.011270,1.045608
1364_gemat1.mtx,4928,10595,47369,23.003000,0.010542,8.986720
1077_circuit_2.mtx,4496,4510,21199,1.316000,0.011230,3.775423
2674_hugetrace-00000.mtx,4588480,4588484,13758266,38739.083000,1.345144,20.456198
2438_wheel_601.mtx,902096,723605,2170814,263.679000,0.281337,15.432126
0292_oscil_dcop_14.mtx,416,430,1544,22.240000,0.009983,0.309326
2379_bibd_18_9.mtx,144,48620,1750320,247.384000,0.051407,68.096563
1778_mult_dcop_01.mtx,25184,25187,193276,40.687000,0.039586,9.764866
0008_b1_ss.mtx,0,7,15,0.442000,0.000285,0.105263
0952_Kohonen.mtx,4464,4470,12731,1.108000,0.010541,2.415520
2133_rajat16.mtx,94288,94294,641159,87.935000,0.054209,23.655076
0403_netz4504_dual.mtx,608,615,2342,20.717000,0.009427,0.496871
2721_M6.mtx,3501776,3501776,21003872,19803.816000,2.596775,16.176890
0986_hangGlider_2.mtx,1632,1647,14754,3.238000,0.010901,2.706908
2491_pkustk03.mtx,63328,63336,3130416,8.858000,0.073712,84.936401
0329_oscil_dcop_34.mtx,416,430,1544,20.903000,0.009988,0.309171
1896_g7jac080.mtx,23664,23670,293976,4.114000,0.034453,17.065335
1411_c-32.mtx,5968,5975,54471,2.985000,0.028562,3.814229
1347_g7jac020.mtx,5840,5850,45465,1.998000,0.011428,7.956773
1586_linverse.mtx,11984,11999,95977,1.427000,0.010136,18.937845
1939_lpl1.mtx,32448,32460,328036,12.282000,0.034371,19.087952
2210_g7jac200.mtx,59296,59310,837936,10.982000,0.064076,26.154442
1684_ACTIVSg10K.mtx,20000,20000,137736,2.468000,0.028602,9.631215
0919_adder_dcop_45.mtx,1808,1813,11246,23.956000,0.009666,2.326919
0653_fpga_dcop_43.mtx,1216,1220,5892,41.836000,0.011306,1.042278
1798_c-51.mtx,23184,23196,203050,5.739000,0.028594,14.202280
0769_cat_ears_2_4.mtx,1008,2689,7982,0.875000,0.010000,1.596400
1632_c-42.mtx,10464,10471,110285,4.016000,0.028542,7.727910
1224_gemat12.mtx,4928,4929,33111,1.947000,0.010441,6.342496
0869_adder_dcop_57.mtx,1808,1813,11246,1.028000,0.009974,2.255063
1421_bcsstk27.mtx,1216,1224,56126,21.470000,0.012581,8.922343
1627_gen4.mtx,1536,4298,107103,28.678000,0.013304,16.100872
2349_nemeth26.mtx,9504,9506,1511760,2.778000,0.032153,94.035393
1538_GL7d25.mtx,2784,21074,81671,5.199000,0.028578,5.715655
1161_qc324.mtx,320,324,26730,25.480000,0.012256,4.361945
2723_kron_g500-logn18.mtx,262144,262144,21165908,2234.960000,3.848362,10.999957
0710_lp_ship04l.mtx,400,2166,6380,2.051000,0.011906,1.071729
0230_relat5.mtx,336,35,1058,0.548000,0.009809,0.215720
2029_stormg2-125.mtx,66176,172431,433256,8.904000,0.041752,20.753784
2561_s3dkq4m2.mtx,90448,90449,4820891,11.627000,0.083616,115.310252
2389_IG5-18.mtx,47888,41550,1790490,31.724000,0.134953,26.535016
0933_G53.mtx,992,1000,11828,1.706000,0.010413,2.271776
2002_mark3jac140.mtx,64080,64089,399735,25.779000,0.043224,18.495974
1869_tandem_vtx.mtx,18448,18454,253350,3.215000,0.028473,17.795807
1996_nemeth06.mtx,9504,9506,394808,22.785000,0.012412,63.617145
2292_xenon1.mtx,48592,48600,1181120,6.194000,0.052454,45.034506
1680_bodyy6.mtx,19360,19366,134748,1.464000,0.011348,23.748326
1016_rbsa480.mtx,480,480,17088,0.951000,0.013120,2.604878
1676_c-46.mtx,14912,14913,130397,3.907000,0.028635,9.107526
0758_WorldCities.mtx,304,100,7518,24.737000,0.013597,1.105832
1831_lowThrust_9.mtx,18032,18044,219589,4.386000,0.028654,15.326935
2378_fem_filter.mtx,74048,74062,1731206,15.195000,0.083401,41.515234
1679_mycielskian11.mtx,1520,1535,134710,2.068000,0.013036,20.667383
1783_skirt.mtx,12592,12598,196520,1.819000,0.028541,13.771066
2532_barrier2-12.mtx,115616,115625,3897557,60.970000,0.219495,35.513857
0662_fpga_dcop_33.mtx,1216,1220,5892,1.716000,0.010797,1.091414
1004_ukerbe1.mtx,5968,5981,15704,1.127000,0.009448,3.324301
2604_auto.mtx,448688,448695,6629222,189.963000,0.823915,16.092005
1584_epb1.mtx,14720,14734,95053,1.580000,0.010966,17.335947
1314_Lederberg.mtx,8832,8843,41601,18.908000,0.013417,6.201237
0683_fpga_dcop_17.mtx,1216,1220,5892,1.375000,0.011273,1.045330
1151_cz2548.mtx,2544,2548,25674,1.164000,0.011627,4.416272
0640_fpga_dcop_06.mtx,1216,1220,5860,26.112000,0.011436,1.024834
0791_lp_scsd8.mtx,384,2750,8584,17.576000,0.012901,1.330750
2148_heart3.mtx,2336,2339,682797,2.381000,0.030933,44.146833
1048_spaceStation_9.mtx,1168,1180,19674,1.055000,0.011444,3.438308
1668_memplus.mtx,17744,17758,126150,3.472000,0.028401,8.883490
0488_dwt_346.mtx,336,346,3226,0.621000,0.010939,0.589816
0962_lpi_klein3.mtx,992,1082,13101,1.770000,0.011381,2.302258
2160_Zd_Jac3_db.mtx,22832,22835,713907,3.523000,0.038146,37.430242
0820_mk10-b2.mtx,3136,630,9450,1.057000,0.009475,1.994723
0802_EPA.mtx,4768,4772,8965,53.028000,0.011762,1.524401
2048_c-59.mtx,41280,41282,480536,10.931000,0.040193,23.911427
2234_kim1.mtx,38400,38415,933195,3.464000,0.034146,54.659111
2011_rail507.mtx,496,63516,409856,25.232000,0.046218,17.735774
1018_add20.mtx,2384,2395,17319,1.083000,0.011130,3.112129
1122_geom.mtx,7328,7343,23796,1.026000,0.010476,4.542955
1310_bips98_1142.mtx,9728,9735,40983,25.604000,0.009900,8.279394
1299_G31.mtx,2000,2000,39980,1.121000,0.010331,7.739812
2190_vsp_mod2_pgp2_slptsk.mtx,101360,101364,778736,36.704000,0.095980,16.227047
2644_flickr.mtx,820864,820878,9837214,1546.294000,1.279948,15.371271
0557_N_biocarta.mtx,1920,1996,4335,17.485000,0.010523,0.823910
2647_kron_g500-logn17.mtx,131072,131072,10228360,758.076000,1.682192,12.160752
2456_nv1.mtx,75456,75468,2449194,37.609000,0.150870,32.467608
0964_power.mtx,4928,4941,13188,41.528000,0.010387,2.539328
2081_e40r0100.mtx,17280,17281,553562,2.252000,0.034984,31.646581
1378_lp_ken_11.mtx,14688,21349,49058,2.393000,0.011891,8.251282
2176_g7jac180sc.mtx,53360,53370,747276,9.866000,0.059539,25.102068
0744_jagmesh3.mtx,1088,1089,7361,26.842000,0.009789,1.503933
2483_stomach.mtx,213360,213360,3021648,28.198000,0.126243,47.870345
1057_G57.mtx,4992,5000,20000,0.679000,0.009542,4.191993
0429_rdb450.mtx,448,450,2580,0.507000,0.010102,0.510790
2759_3Dspectralwave.mtx,680928,680943,33650589,283.750000,1.165377,57.750563
1444_barth5.mtx,15600,15606,61484,21.550000,0.011947,10.292793
0069_ch4-4-b1.mtx,64,16,144,24.936000,0.007597,0.037910
0377_mesh3em5.mtx,288,289,1889,0.481000,0.010883,0.347147
1434_co5.mtx,5760,12325,57993,2.335000,0.012542,9.247807
1472_ex14.mtx,3248,3251,66775,2.249000,0.011581,11.531819
1840_mark3jac080.mtx,36608,36609,227955,3.438000,0.031781,14.345364
1361_nl.mtx,7024,15325,47035,23.585000,0.011564,8.134728
1180_n4c5-b7.mtx,3632,4735,29080,26.842000,0.010107,5.754428
0126_GD97_a.mtx,80,84,332,24.736000,0.009104,0.072935
0906_adder_dcop_33.mtx,1808,1813,11246,17.196000,0.010051,2.237787
0692_fs_760_1.mtx,752,760,5976,18.244000,0.009770,1.223337
0733_lp_qap8.mtx,912,1632,7296,0.969000,0.011529,1.265678
1270_rkat7_mat5.mtx,688,738,38114,30.783000,0.011528,6.612422
1162_ex2.mtx,432,441,26839,27.990000,0.021801,2.462181
0063_bcsstm04.mtx,128,132,132,24.810000,0.007931,0.033287
0071_Trec7.mtx,0,36,147,0.483000,0.000284,1.035211
2645_shipsec5.mtx,179856,179860,10113096,33.232000,0.197854,102.227865
2391_Goodwin_071.mtx,56016,56021,1797934,28.402000,0.055641,64.626229
1893_t520.mtx,5552,5563,286341,1.423000,0.012287,46.608774
1856_ACTIVSg70K.mtx,69984,69999,238627,5.339000,0.035619,13.398860
1667_ri2010.mtx,25168,25181,125750,7.109000,0.029371,8.562868
1572_IG5-13.mtx,3984,4731,91209,1.781000,0.016471,11.075102
1112_G42.mtx,2000,2000,23558,30.691000,0.011884,3.964658
0680_fpga_dcop_15.mtx,1216,1220,5892,2.641000,0.010927,1.078430
2437_il2010.mtx,451552,451554,2164464,118.962000,0.236247,18.323737
1006_lp_cre_c.mtx,3056,6411,15977,2.741000,0.011617,2.750624
0704_lp_perold.mtx,624,1506,6148,24.922000,0.011047,1.113062
1058_sherman3.mtx,4992,5005,20033,1.636000,0.009688,4.135632
0679_fpga_dcop_16.mtx,1216,1220,5892,0.931000,0.011235,1.048865
2806_Long_Coup_dt6.mtx,1470144,1470152,87088992,1751.565000,1.603669,108.612179
1964_HEP-th-new.mtx,27760,27770,352807,7.672000,0.059785,11.802526
2585_Hamrle3.mtx,1447360,1447360,5514242,1523.339000,0.232473,47.439849
2243_pcrystk02.mtx,13952,13965,968583,2.514000,0.032432,59.730081
2509_stormG2_1000.mtx,528176,1377306,3459881,546.105000,0.204538,33.831181
0522_QRpivot.mtx,656,749,3808,0.596000,0.009481,0.803291
1386_lp_fit2p.mtx,2992,13525,50284,1.255000,0.011545,8.710957
1160_Maragal_4.mtx,1952,1034,26719,1.258000,0.012417,4.303616
1702_fome12.mtx,24272,48920,142528,19.334000,0.036061,7.904828
2130_nemeth17.mtx,9504,9506,629620,1.908000,0.013520,93.139053
0226_nos1.mtx,224,237,1017,0.497000,0.009020,0.225499
0499_lp_beaconfd.mtx,160,295,3408,23.353000,0.012573,0.542114
0101_lpi_forest6.mtx,64,131,246,0.475000,0.009636,0.051059
0846_email.mtx,1120,1133,10902,27.702000,0.012338,1.767223
0274_lp_bore3d.mtx,224,334,1448,20.591000,0.011238,0.257697
1929_usroads-48.mtx,126144,126146,323900,12.980000,0.046668,13.881032
0390_p0201.mtx,128,334,2056,4.199000,0.011087,0.370885
0550_b_dyn.mtx,1088,1089,4264,0.777000,0.009936,0.858293
1500_slptsk.mtx,2848,3347,72465,18.726000,0.011556,12.541537
0985_Erdos982.mtx,5808,5822,14750,1.462000,0.008865,3.327693
1062_stoch_aircraft.mtx,3744,7517,20267,1.086000,0.009659,4.196501
1350_eurqsa.mtx,7232,7245,46142,23.888000,0.010166,9.077710
0898_adder_dcop_25.mtx,1808,1813,11246,1.994000,0.010231,2.198417
1725_Trec12.mtx,544,2726,151219,1.932000,0.013361,22.635881
1860_astro-ph.mtx,16704,16706,242502,4.843000,0.041265,11.753399
1519_cavity12.mtx,2592,2597,76367,1.120000,0.011787,12.957835
1646_de2010.mtx,24112,24115,116056,2.534000,0.029124,7.969784
1777_mult_dcop_03.mtx,25184,25187,193216,16.556000,0.039093,9.884941
1660_bodyy4.mtx,17536,17546,121938,1.547000,0.011308,21.566678
2354_lp_nug30.mtx,52256,379350,1567800,44.885000,0.195388,16.048068
1064_CollegeMsg.mtx,1888,1899,20296,0.852000,0.011519,3.523917
1129_ch.mtx,3696,8291,24102,22.215000,0.010671,4.517290
2279_vsp_finan512_scagr7-2c_rlfddd.mtx,139744,139752,1104040,49.783000,0.101810,21.688243
0286_oscil_dcop_43.mtx,416,430,1544,22.904000,0.009988,0.309171
1521_aug2d.mtx,29008,29008,76832,27.224000,0.010778,14.257191
0706_jagmesh1.mtx,928,936,6264,10.839000,0.010162,1.232828
2362_d_pretok.mtx,182720,182730,1641672,25.334000,0.089865,36.536405
1263_t2dal_a.mtx,4256,4257,37465,30.419000,0.010280,7.288911
0724_spaceShuttleEntry_1.mtx,560,560,6891,1.046000,0.011145,1.236608
2096_c-68.mtx,64800,64810,566006,16.402000,0.046947,24.112552
1894_bcsstk16.mtx,4880,4884,290378,1.500000,0.012523,46.375150
1164_zenios.mtx,2864,2873,27191,1.189000,0.010249,5.306079
2592_consph.mtx,83328,83334,6010480,14.595000,0.126688,94.886335
2694_af_0_k101.mtx,503616,503625,17550675,134.526000,0.295877,118.634940
1916_c-61.mtx,43616,43618,310016,5.168000,0.031445,19.717984
2516_mycielskian14.mtx,12272,12287,3695512,81.697000,0.106562,69.358908
0092_dwt_72.mtx,64,72,222,0.473000,0.008466,0.052445
1319_utm3060.mtx,3056,3060,42211,1.129000,0.010534,8.014240
1409_TSOPF_RS_b9_c6.mtx,7216,7224,54082,26.658000,0.009889,10.937810
1169_model6.mtx,2096,5289,27628,9.894000,0.025447,2.171415
0597_de063155.mtx,848,1848,4913,25.689000,0.011418,0.860571
0032_jgl009.mtx,0,9,50,6.015000,0.000294,0.340136
2043_ch8-8-b3.mtx,117600,18816,470400,25.567000,0.038501,24.435729
2180_Baumann.mtx,112208,112211,760631,10.803000,0.041476,36.678127
1336_deter3.mtx,7632,21777,44547,1.345000,0.012517,7.117840
0350_M10PI_n.mtx,672,682,1633,17.806000,0.008528,0.382974
0875_adder_dcop_60.mtx,1808,1813,11246,28.161000,0.009579,2.348053
0749_fpga_trans_01.mtx,1216,1220,7382,1.048000,0.011593,1.273527
0904_adder_dcop_30.mtx,1808,1813,11246,2.398000,0.009999,2.249425
0108_cat_ears_2_1.mtx,80,85,254,0.473000,0.009641,0.052692
0972_steam2.mtx,592,600,13760,25.843000,0.011168,2.464183
1372_mimo28x28_system.mtx,13248,13251,48737,1.865000,0.010570,9.221760
0778_N_pid.mtx,3616,3923,8054,24.759000,0.011322,1.422717
2598_NACA0015.mtx,1039168,1039183,6229636,441.283000,0.754695,16.509016
2737_delaunay_n22.mtx,4194304,4194304,25165738,31294.776000,1.411733,35.652263
1311_mbeause.mtx,496,496,41063,1.260000,0.014023,5.856521
0200_cage6.mtx,80,93,785,21.436000,0.009725,0.161440
0423_GL6_D_6.mtx,464,201,2526,0.542000,0.010439,0.483954
0367_ch7-7-b1.mtx,880,49,1764,1.069000,0.009176,0.384481
2677_crankseg_2.mtx,63824,63838,14148858,59.254000,0.271572,104.199682
0834_S80PI_n.mtx,4176,4182,10261,27.071000,0.008566,2.395751
0592_tumorAntiAngiogenesis_8.mtx,480,490,4776,25.019000,0.011660,0.819211
0868_adder_dcop_16.mtx,1808,1813,11246,2.054000,0.009634,2.334648
2058_c-66b.mtx,49984,49989,499007,9.590000,0.040106,24.884406
2006_c-55.mtx,32768,32780,403450,24.702000,0.037193,21.694943
0312_oscil_dcop_02.mtx,416,430,1544,19.289000,0.009958,0.310102
1266_dynamicSoaringProblem_7.mtx,3504,3511,37680,1.307000,0.010835,6.955238
1295_G28.mtx,2000,2000,39980,1.155000,0.009958,8.029725
2323_li.mtx,22688,22695,1350309,4.310000,0.046451,58.139071
0456_S20PI_n.mtx,1168,1182,2881,25.836000,0.008813,0.653807
1803_TSOPF_RS_b162_c1.mtx,5360,5374,205399,1.529000,0.022314,18.409877
1565_p2p-Gnutella30.mtx,36672,36682,88328,2.725000,0.029190,6.051936
0143_gams10a.mtx,112,171,407,29.575000,0.009334,0.087208
1370_mimo46x46_system.mtx,13248,13250,48735,1.801000,0.010515,9.269615
0476_bcsstm23.mtx,3120,3134,3134,1.362000,0.007752,0.808566
2047_g7jac120.mtx,35536,35550,475296,6.234000,0.045213,21.024750
0840_lshp1561.mtx,1552,1561,10681,0.870000,0.010006,2.134919
1873_ex19.mtx,12000,12005,259879,25.889000,0.028691,18.115716
1583_lp_qap15.mtx,6320,22275,94950,2.421000,0.028893,6.572526
1862_wing.mtx,62032,62032,243088,24.142000,0.051148,9.505279
0332_oscil_dcop_50.mtx,416,430,1544,20.696000,0.010053,0.307172
1719_hangGlider_4.mtx,15552,15561,149532,4.481000,0.015637,19.125408
0745_Chem97ZtZ.mtx,2528,2541,7361,1.134000,0.012015,1.225302
1267_lp_d6cube.mtx,400,6184,37704,34.126000,0.013444,5.609045
1908_FX_March2010.mtx,1312,9498,301899,38.506000,0.028568,21.135466
2555_thread.mtx,29728,29736,4470048,9.228000,0.087862,101.751565
