mtx,m,n,nnz,other,time,gflops
0847_lpi_cplex1.mtx,2992,5224,10947,43.241000,0.010737,2.039117
0969_CAG_mat364.mtx,352,364,13585,1.122000,0.011477,2.367343
2664_fullb.mtx,199184,199187,11708077,33.417000,0.205759,113.803790
2278_ex11.mtx,16608,16614,1096948,2.917000,0.035381,62.007744
0888_adder_dcop_48.mtx,1808,1813,11246,1.049000,0.009612,2.339992
1223_lp_d2q06c.mtx,2160,5831,33081,1.080000,0.012669,5.222354
2738_dielFilterV2clx.mtx,607232,607232,25309272,322.346000,1.064848,47.535934
1139_email-Eu-core-temporal.mtx,992,1005,24929,30.378000,0.010914,4.568261
1533_kineticBatchReactor_5.mtx,7632,7641,80767,2.255000,0.013124,12.308290
0562_pde900.mtx,896,900,4380,0.509000,0.009195,0.952692
0222_ck104.mtx,96,104,992,23.207000,0.010162,0.195237
2728_CoupCons3D.mtx,416800,416800,22322336,153.449000,0.369058,120.969257
1846_lp_pds_20.mtx,33872,108175,232647,5.199000,0.046395,10.028969
1199_c-23.mtx,3968,3969,31079,25.959000,0.011258,5.521229
1999_nemeth09.mtx,9504,9506,395506,2.384000,0.012181,64.938182
1579_stormg2-27.mtx,14432,37485,94274,2.399000,0.013662,13.800908
0050_GD95_b.mtx,64,73,96,0.696000,0.008859,0.021673
0107_wheel_6_1.mtx,80,85,254,40.507000,0.009334,0.054425
1108_G36.mtx,2000,2000,23532,26.125000,0.012567,3.745047
1429_ex10hs.mtx,2544,2548,57308,49.025000,0.012262,9.347252
2295_az2010.mtx,241664,241666,1196094,58.768000,0.152501,15.686376
2150_rgg_n_2_16_s0.mtx,65536,65536,684254,10.708000,0.046591,29.372797
2781_hugetrace-00020.mtx,16002400,16002413,47997626,503464.111000,5.728147,16.758518
0162_bcsstm20.mtx,480,485,485,1.146000,0.008580,0.113054
1769_nemsemm2.mtx,6928,48878,182012,21.941000,0.028329,12.849871
0441_lshp_406.mtx,400,406,2716,23.554000,0.010486,0.518024
0411_lp_israel.mtx,160,316,2443,31.359000,0.011607,0.420953
2684_higgs-twitter.mtx,456624,456626,14855842,458.526000,1.698378,17.494153
2709_human_gene2.mtx,14336,14340,18068388,311.587000,0.586618,61.601887
0621_dynamicSoaringProblem_1.mtx,640,647,5367,0.926000,0.010878,0.986762
0084_pores_1.mtx,16,30,180,0.430000,0.008643,0.041652
1772_ca-CondMat.mtx,23120,23133,186936,3.697000,0.040302,9.276760
2630_Ge99H100.mtx,112976,112985,8451395,51.630000,0.285440,59.216613
0542_nos2.mtx,944,957,4137,0.498000,0.008558,0.966815
2045_nemeth13.mtx,9504,9506,474472,4.085000,0.012370,76.713339
1812_mk12-b3.mtx,51968,13860,207900,13.163000,0.021605,19.245545
1689_cavity21.mtx,4560,4562,138187,35.329000,0.012605,21.925744
0443_lp_finnis.mtx,496,1064,2760,21.871000,0.010781,0.512012
1545_jan99jac040.mtx,13680,13694,82842,29.075000,0.020606,8.040571
0076_bcsstm05.mtx,144,153,153,0.763000,0.008020,0.038155
2131_mt2010.mtx,132288,132288,638668,17.213000,0.080708,15.826634
1970_bibd_16_8.mtx,112,12870,360360,34.376000,0.020871,34.532126
0290_oscil_dcop_25.mtx,416,430,1544,22.660000,0.009962,0.309978
0605_spaceStation_3.mtx,464,467,5103,26.838000,0.012042,0.847534
2549_TSOPF_RS_b678_c1.mtx,18688,18696,4396289,11.502000,0.063847,137.713252
0737_reorientation_1.mtx,672,677,7326,0.983000,0.011133,1.316087
0169_lns_131.mtx,128,131,536,0.444000,0.010097,0.106170
0832_lp_maros.mtx,832,1966,10137,0.831000,0.012127,1.671807
1825_ABACUS_shell_ld.mtx,23408,23412,218484,2.912000,0.023283,18.767685
1230_G60.mtx,6992,7000,34296,1.056000,0.011635,5.895316
2638_CurlCurl_2.mtx,806528,806529,8921789,258.721000,0.354197,50.377553
1367_circuit_3.mtx,12112,12127,48137,26.224000,0.010506,9.163716
1275_G6.mtx,800,800,38352,1.183000,0.010370,7.396721
2387_bbmat.mtx,38736,38744,1771722,6.854000,0.042699,82.986580
2202_TSC_OPF_300.mtx,9760,9774,820804,7.768000,0.024975,65.730050
0160_bcspwr03.mtx,112,118,476,21.590000,0.009013,0.105625
2125_TSOPF_FS_b162_c1.mtx,10784,10798,608540,31.449000,0.029134,41.775245
2743_F1.mtx,343776,343791,26837113,227.822000,0.846259,63.425294
1912_Na5.mtx,5824,5832,305630,2.149000,0.028176,21.694350
2128_c-69.mtx,67456,67458,623970,11.158000,0.048091,25.949554
1468_aa5.mtx,800,8308,65953,1.884000,0.012902,10.223686
2807_Long_Coup_dt0.mtx,1470144,1470152,87088992,1878.546000,1.599917,108.866887
0331_oscil_dcop_48.mtx,416,430,1544,26.845000,0.009982,0.309357
0618_bcspwr06.mtx,1440,1454,5300,33.187000,0.009466,1.119797
1743_c-48.mtx,18352,18354,166080,3.493000,0.021485,15.460088
0497_qh882.mtx,880,882,3354,0.811000,0.010004,0.670532
1278_G9.mtx,800,800,38352,1.028000,0.010629,7.216483
0977_Erdos972.mtx,5488,5488,14170,1.357000,0.008989,3.152742
0138_tub100.mtx,96,100,396,0.469000,0.008843,0.089562
1469_lpi_bgindy.mtx,2656,10880,66266,8.938000,0.012693,10.441346
1708_lp_maros_r7.mtx,3136,9408,144848,1.950000,0.011730,24.697016
1091_bcsstk10.mtx,1072,1086,22070,25.986000,0.011270,3.916593
2773_dgreen.mtx,1200608,1200611,38259877,1542.760000,4.735189,16.159810
0193_will199.mtx,192,199,701,25.602000,0.009646,0.145345
1022_reorientation_2.mtx,1536,1544,17910,19.203000,0.011053,3.240749
1054_G46.mtx,992,1000,19980,0.784000,0.009635,4.147379
0854_deter0.mtx,1920,5468,11173,0.662000,0.010584,2.111300
1302_p2p-Gnutella04.mtx,10864,10879,39994,45.783000,0.014325,5.583805
2597_marine1.mtx,400320,400320,6226538,109.209000,0.262284,47.479358
0887_adder_dcop_29.mtx,1808,1813,11246,1.241000,0.009623,2.337317
1175_stormg2-8.mtx,4400,11322,28553,1.494000,0.010771,5.301829
1823_ABACUS_shell_md.mtx,23408,23412,218484,28.148000,0.028272,15.455857
0124_dwt_66.mtx,64,66,320,11.416000,0.009716,0.065871
