index,mtx,m,n,nnz,cusparse,pixel_time,pixel_gflops
2140,1076_lpi_ceria3d.mtx,3576,4400,21178,0.000,0.007,6.262
2141,1212_Goodwin_010.mtx,1182,1182,32282,0.000,0.007,8.802
2142,0141_ch5-5-b1.mtx,200,25,400,0.000,0.003,0.246
2143,2269_nemsemm1.mtx,3945,75352,1053986,0.000,0.029,72.449
2144,0229_lp_vtp_base.mtx,198,346,1051,0.000,0.006,0.366
2145,2258_pds-90.mtx,142823,475448,1014136,0.000,0.413,4.916
2146,0809_jagmesh9.mtx,1349,1349,9101,0.000,0.005,3.605
2147,0081_bcspwr02.mtx,49,49,167,0.000,0.004,0.074
2148,0314_oscil_dcop_56.mtx,430,430,1544,0.000,0.004,0.687
2149,1767_t60k.mtx,60005,60005,178880,0.000,0.018,20.410
2150,0389_GL6_D_10.mtx,163,341,2053,0.000,0.005,0.837
2151,0963_USpowerGrid.mtx,4941,4941,13188,0.000,0.006,4.754
2152,0005_GL7d10.mtx,1,60,8,0.000,0.004,0.004
2153,1886_chipcool0.mtx,20082,20082,281150,0.000,0.062,9.019
2154,2074_apache1.mtx,80800,80800,542184,0.000,0.045,24.007
2155,1910_waveguide3D.mtx,21036,21036,303468,0.000,0.123,4.939
2156,2652_bmwcra_1.mtx,148770,148770,10644002,0.000,0.267,79.807
2157,2497_Goodwin_095.mtx,100037,100037,3226066,0.000,0.080,80.738
2158,2719_msdoor.mtx,415863,415863,20240935,0.000,0.482,83.925
2159,2655_ohne2.mtx,181343,181343,11063545,0.000,0.571,38.765
2160,0224_gre_185.mtx,185,185,1005,0.000,0.005,0.398
2161,2675_rgg_n_2_20_s0.mtx,1048576,1048576,13783240,0.000,3.906,7.057
2162,0734_rdb1250l.mtx,1250,1250,7300,0.000,0.005,3.219
2163,2409_conf5_4-8x8-05.mtx,49152,49152,1916928,0.000,0.046,83.883
2164,0399_lp_nug06.mtx,372,486,2232,0.000,0.005,0.962
2165,0333_oscil_dcop_55.mtx,430,430,1544,0.000,0.005,0.684
2166,2061_t3dl_a.mtx,20360,20360,509866,0.000,0.027,38.014
2167,2734_human_gene1.mtx,22283,22283,24669643,0.000,1.385,35.636
2168,2033_2D_27628_bjtcai.mtx,27628,27628,442898,0.000,0.015,58.465
2169,0012_lpi_galenet.mtx,8,14,22,0.000,0.003,0.017
2170,2120_vsp_bump2_e18_aa01_model1_crew1.mtx,56438,56438,601602,0.000,0.145,8.297
2171,0376_mesh3e1.mtx,289,289,1889,0.000,0.004,0.841
2172,1890_fome13.mtx,48568,97840,285056,0.000,0.154,3.712
2173,1687_cavity16.mtx,4562,4562,138187,0.000,0.007,38.719
2174,0034_n3c4-b2.mtx,20,15,60,0.000,0.003,0.045
2175,1541_kineticBatchReactor_6.mtx,7773,7773,82500,0.000,0.009,18.523
2176,1853_ch7-8-b3.mtx,58800,11760,235200,0.000,0.017,28.112
2177,0981_mycielskian9.mtx,383,383,14542,0.000,0.008,3.748
2178,0836_SciMet.mtx,3084,3084,10413,0.000,0.006,3.387
2179,0958_freeFlyingRobot_3.mtx,1718,1718,12922,0.000,0.006,4.233
2180,0600_S40PI_n1.mtx,2028,2028,5007,0.000,0.004,2.395
2181,2404_Zd_Jac3.mtx,22835,22835,1916152,0.000,0.050,76.612
2182,2169_id2010.mtx,149842,149842,728264,0.000,0.281,5.187
2183,2599_delaunay_n20.mtx,1048576,1048576,6291372,0.000,0.596,21.127
2184,1053_G47.mtx,1000,1000,19980,0.000,0.006,7.015
2185,0650_fpga_dcop_51.mtx,1220,1220,5892,0.000,0.006,1.959
2186,0821_jagmesh4.mtx,1440,1440,9504,0.000,0.006,3.233
2187,0711_lp_fffff800.mtx,524,1028,6401,0.000,0.007,1.711
2188,1782_vsp_befref_fxm_2_4_air02.mtx,14109,14109,196448,0.000,0.029,13.653
2189,1388_beacxc.mtx,497,506,50409,0.000,0.008,13.014
2190,2465_cop20k_A.mtx,121192,121192,2624331,0.000,0.274,19.135
2191,1722_model10.mtx,4400,16819,150372,0.000,0.011,27.483
2192,0999_lshp2233.mtx,2233,2233,15337,0.000,0.005,6.299
2193,2636_atmosmodd.mtx,1270432,1270432,8814880,0.000,0.526,33.501
2194,2340_raefsky3.mtx,21200,21200,1488768,0.000,0.024,124.069
2195,2820_Cube_Coup_dt6.mtx,2164760,2164760,127206144,0.000,2.525,100.765
2196,1200_c-27.mtx,4563,4563,31375,0.000,0.007,8.940
2197,1412_ex7.mtx,1633,1633,54543,0.000,0.007,16.723
2198,2744_cage14.mtx,1505785,1505785,27130349,0.000,2.168,25.024
2199,2681_kkt_power.mtx,2063494,2063494,14612663,0.000,4.495,6.501
2200,1754_SiH4.mtx,5041,5041,171903,0.000,0.012,29.628
2201,1005_nos3.mtx,960,960,15844,0.000,0.005,6.454
2202,2643_m_t1.mtx,97578,97578,9753570,0.000,0.156,125.261
2203,0959_rajat12.mtx,1879,1879,12926,0.000,0.007,3.772
2204,0264_impcol_d.mtx,425,425,1339,0.000,0.005,0.546
2205,2667_halfb.mtx,224617,224617,12387821,0.000,0.217,114.237
2206,1838_onetone2.mtx,36057,36057,227628,0.000,0.024,18.969
2207,1226_gemat11.mtx,4929,4929,33185,0.000,0.006,10.512
2208,1393_n3c6-b7.mtx,6435,6435,51480,0.000,0.007,14.692
2209,0058_n4c5-b11.mtx,10,120,120,0.000,0.005,0.046
2210,1602_ex9.mtx,3363,3363,99471,0.000,0.007,28.227
2211,2429_com-DBLP.mtx,317080,317080,2099732,0.000,0.862,4.869
