index,mtx,cvt_time,gflops
0,2430_mc2depi.mtx,3.000,150.016
1,2453_pkustk07.mtx,4.000,179.171
2,2305_msc10848.mtx,2.000,129.450
3,2449_rma10.mtx,3.000,175.852
4,2479_ramage02.mtx,4.000,191.090
5,2412_opt1.mtx,3.000,167.883
6,2420_TSC_OPF_1047.mtx,3.000,175.383
7,2413_trdheim.mtx,3.000,168.289
8,2148_heart3.mtx,1.000,97.542
9,2200_nemeth19.mtx,1.000,109.107
10,2340_raefsky3.mtx,2.000,148.877
11,2634_TSOPF_RS_b678_c2.mtx,13.000,147.596
