index,mtx,cvt_time,gflops
0,2430_mc2depi.mtx,3.000,124.458
1,2453_pkustk07.mtx,3.000,175.913
2,2305_msc10848.mtx,2.000,131.176
3,2449_rma10.mtx,3.000,211.022
4,2479_ramage02.mtx,4.000,191.090
5,2412_opt1.mtx,3.000,205.937
6,2420_TSC_OPF_1047.mtx,3.000,179.280
7,2413_trdheim.mtx,3.000,172.029
8,2148_heart3.mtx,1.000,136.559
9,2200_nemeth19.mtx,1.000,109.107
10,2340_raefsky3.mtx,2.000,148.877
11,2634_TSOPF_RS_b678_c2.mtx,13.000,147.907
