mtx,gflops
mc2depi,161.556
pkustk07,210.331
msc10848,153.722
rma10,189.92
ramage02,238.863
opt1,193.065
TSC_OPF_1047,183.355
trdheim,193.532
heart3,105.046
nemeth19,116.9
raefsky3,165.419
TSOPF_RS_b678_c2,237.35
geomean,179.08825000000002
