mtx,gflops
mc2depi,357.776933
pkustk07,339.762419
msc10848,266.567795
rma10,378.625288
ramage02,353.652053
opt1,344.349186
TSC_OPF_1047,270.295675
trdheim,287.738846
heart3,133.151364
nemeth19,201.639826
raefsky3,348.436635
TSOPF_RS_b678_c2,385.187697
geomean,305.5986430833333
