mtx,gflops
mc2depi,420.045
pkustk07,416.138
msc10848,371.254
rma10,486.975
ramage02,559.288
opt1,532.594
TSC_OPF_1047,896.401
trdheim,631.943
heart3,242.772
nemeth19,503.57
raefsky3,700.597
TSOPF_RS_b678_c2,1419.305
geomean,598.4068333333333
