index,mtx,gflops
161,1464_Oregon-2.mtx,1.458
162,2105_nemeth16.mtx,3.175
163,1883_s3rmq4m1.mtx,1.543
164,2103_crystm03.mtx,1.248
165,1978_vsp_south31_slptsk.mtx,4.338
166,1395_lock1074.mtx,0.393
167,2543_pkustk10.mtx,6.772
168,2250_la2010.mtx,0.892
169,1012_LeGresley_2508.mtx,0.019
170,2000_ca-AstroPh.mtx,2.467
171,0643_fpga_dcop_04.mtx,0.006
172,2247_co2010.mtx,0.816
173,2218_vsp_vibrobox_scagr7-2c_rlfddd.mtx,3.294
174,1110_G39.mtx,0.094
175,0121_impcol_b.mtx,0.000
176,1465_fe_4elt2.mtx,0.053
177,1901_EX6(0).mtx,1.408
178,2129_nd2010.mtx,0.481
179,2558_ship_001.mtx,8.518
180,0735_rdb1250.mtx,0.007
181,0860_adder_dcop_09.mtx,0.264
182,1587_cti.mtx,0.086
183,1713_ccc.mtx,0.063
184,1125_add32.mtx,0.028
185,2094_g7jac140sc.mtx,1.693
186,0145_west0132.mtx,0.000
187,1306_freeFlyingRobot_10.mtx,0.224
188,0610_dwt_607.mtx,0.007
189,1784_skirt(0).mtx,0.510
190,1506_xingo3012.mtx,0.054
191,2669_test1.mtx,7.378
192,0394_gre_512.mtx,0.001
193,0452_ck400.mtx,0.003
194,1475_powersim.mtx,0.059
195,0285_oscil_dcop_38.mtx,0.001
196,1800_g7jac060.mtx,0.510
197,2241_crplat2.mtx,3.873
198,1801_vsp_barth5_1Ksep_50in_5Kout.mtx,0.178
199,0635_plat362.mtx,0.014
200,1385_mbeacxc.mtx,0.856
201,0437_fs_680_1.mtx,0.002
202,2015_onera_dual.mtx,0.275
203,0880_adder_dcop_62.mtx,0.246
204,0326_oscil_dcop_32.mtx,0.001
205,2042_OPF_10000.mtx,0.820
206,2230_ne2010.mtx,0.649
207,0523_can_445.mtx,0.004
208,1451_c-35.mtx,0.283
209,1870_a5esindl.mtx,2.907
210,1900_EX5(0).mtx,1.672
211,2398_appu.mtx,4.189
212,2342_web-NotreDame.mtx,4.455
213,0379_west0479.mtx,0.001
214,0806_laser.mtx,0.004
215,2582_para-8.mtx,6.248
216,2515_parabolic_fem.mtx,2.447
217,2307_amazon0302.mtx,0.753
218,0816_G16.mtx,0.029
219,0168_lnsp_131.mtx,0.000
220,2214_ch7-8-b5.mtx,0.635
221,2238_soc-Slashdot0902.mtx,3.778
222,0440_tumorAntiAngiogenesis_2.mtx,0.016
223,1578_ex26.mtx,0.692
224,2786_hugebubbles-00000.mtx,5.071
225,1760_epb2.mtx,0.171
226,0646_fpga_dcop_29.mtx,0.007
227,0537_1138_bus.mtx,0.003
228,2037_tandem_dual.mtx,0.283
229,0862_adder_dcop_11.mtx,0.264
230,0275_dwt_245.mtx,0.002
231,1285_jan99jac020.mtx,0.048
232,0481_str_400.mtx,0.004
233,1993_nemeth03.mtx,1.771
234,1550_bcsstk13.mtx,0.607
235,2017_cit-HepPh.mtx,0.771
236,0192_bcsstk22.mtx,0.001
237,0997_c-18.mtx,0.038
238,0298_oscil_dcop_22.mtx,0.001
239,1790_lowThrust_5.mtx,3.506
240,2405_conf6_0-8x8-80.mtx,4.531
241,1017_rbsb480.mtx,0.081
242,1839_mark3jac080sc.mtx,0.209
243,0829_can_838.mtx,0.020
244,0696_dwt_503.mtx,0.013
245,2249_or2010.mtx,0.842
246,1944_usroads.mtx,0.124
247,0528_tumorAntiAngiogenesis_3.mtx,0.027
248,0633_rdb968.mtx,0.005
249,0289_oscil_dcop_21.mtx,0.001
250,1865_rajat26.mtx,2.268
251,1236_cell1.mtx,0.027
252,1907_dixmaanl.mtx,0.187
253,0205_grid1_dual.mtx,0.000
254,1234_c-26.mtx,0.136
255,1606_piston.mtx,0.830
256,0921_adder_dcop_49.mtx,0.231
257,0934_G52.mtx,0.039
258,0413_dwt_310.mtx,0.003
259,1904_finance256.mtx,0.482
260,1827_bcsstk28.mtx,1.255
261,0133_west0156.mtx,0.000
262,1376_rajat13.mtx,2.221
263,0439_mcca.mtx,0.011
264,1740_lock3491.mtx,1.061
265,0701_delaunay_n10.mtx,0.006
266,0678_fpga_dcop_13.mtx,0.007
267,1041_wang1.mtx,0.019
268,2092_Goodwin_040.mtx,2.203
269,2161_cyl6.mtx,3.178
270,0596_bp_1600.mtx,0.004
271,1324_freeFlyingRobot_15.mtx,0.280
272,0935_G54.mtx,0.045
273,1645_ex31.mtx,0.560
274,1940_inlet.mtx,1.135
275,1157_as-735.mtx,0.595
276,2154_md2010.mtx,0.665
277,1373_ex24.mtx,0.160
278,0797_EX1(0).mtx,0.018
279,0730_bcsstm07.mtx,0.019
280,0098_d_dyn.mtx,0.000
281,0422_dwt_307.mtx,0.003
282,2607_TSOPF_RS_b2052_c1.mtx,3.232
283,0538_celegans_metabolic.mtx,0.022
284,1559_t2d_q9.mtx,0.103
285,1039_polblogs.mtx,0.078
286,2197_pkustk02.mtx,4.570
287,2500_wiki-talk-temporal.mtx,3.385
288,2090_k1_san.mtx,0.790
289,1301_G22.mtx,0.120
290,0140_bcsstk01.mtx,0.001
291,0983_adder_trans_02.mtx,0.334
292,1074_swang2.mtx,0.021
293,2540_pkustk04.mtx,5.455
294,2204_nj2010.mtx,0.763
295,0233_fs_183_6.mtx,0.003
296,0694_bfwb782.mtx,0.008
297,1321_Alemdar.mtx,0.046
298,1716_TSOPF_FS_b9_c6.mtx,4.618
299,1171_bayer07.mtx,0.043
300,2735_germany_osm.mtx,3.123
301,1899_sinc12.mtx,1.449
302,2417_mixtank_new.mtx,6.317
303,0174_can_61.mtx,0.001
304,0639_fpga_dcop_07.mtx,0.006
305,0969_CAG_mat364.mtx,0.078
306,2664_fullb.mtx,8.374
307,2278_ex11.mtx,4.955
308,0888_adder_dcop_48.mtx,0.284
309,1139_email-Eu-core-temporal.mtx,0.196
310,1533_kineticBatchReactor_5.mtx,1.870
311,0562_pde900.mtx,0.003
312,0222_ck104.mtx,0.001
