mtx,gflops
mc2depi,167.549
pkustk07,214.158
msc10848,149.635
rma10,210.564
ramage02,232.715
opt1,188.375
TSC_OPF_1047,196.675
trdheim,188.904
heart3,94.938
nemeth19,113.851
raefsky3,161.48
TSOPF_RS_b678_c2,280.726
geomean,183.2975
