mtx,gflops
mc2depi,0.585
pkustk07,4.483
msc10848,3.852
rma10,3.771
ramage02,4.658
opt1,4.316
TSC_OPF_1047,0.0
trdheim,4.1
heart3,4.102
nemeth19,2.929
raefsky3,3.531
TSOPF_RS_b678_c2,2.191
geomean,3.2098333333333335
