mtx,m,n,nnz,N,time,gflops
1009_lp_ship12l.mtx,1152,5533,16276,8,0.012564,20.726365
0637_bcspwr07.mtx,1664,1612,5824,8,0.013979,6.666178
1471_thermal.mtx,3456,3456,66528,8,0.017178,61.965251
2201_fe_ocean.mtx,143488,143437,819186,8,0.057745,226.979804
2480_Trec14.mtx,3200,15905,2872265,8,0.183530,250.401812
1657_bloweybl.mtx,30080,30003,120000,8,0.034043,56.399193
0494_str_600.mtx,384,363,3279,8,0.015419,3.402476
0153_sphere2.mtx,128,66,450,8,0.014064,0.511943
2027_GT01R.mtx,8064,7980,430909,8,0.035892,192.089330
0309_oscil_dcop_01.mtx,512,430,1544,8,0.014026,1.761319
2149_TSOPF_RS_b39_c19.mtx,38144,38098,684206,8,0.052280,209.396501
2687_venturiLevel3.mtx,4026880,4026819,16108474,8,1.238334,208.130995
1504_descriptor_xingo6u.mtx,20864,20738,73916,8,0.019481,60.707903
1396_aa6.mtx,768,7292,51728,8,0.030557,27.085729
2397_com-Amazon.mtx,334976,334863,1851744,8,0.155385,190.674403
1460_rajat07.mtx,14848,14842,63913,8,0.021006,48.680561
2193_ky2010.mtx,161792,161672,787778,8,0.058042,217.161833
0491_685_bus.mtx,768,685,3249,8,0.013805,3.765525
0944_grid2_dual.mtx,3200,3136,12224,8,0.013974,13.996295
2132_blockqp1.mtx,60032,60012,640033,8,0.041860,244.638303
0035_n3c4-b3.mtx,128,20,60,8,0.013155,0.072977
2749_nlpkkt80.mtx,1062400,1062400,28704672,8,1.715669,267.694192
0267_n3c6-b2.mtx,512,105,1365,8,0.013433,1.625797
0686_fpga_dcop_21.mtx,1280,1220,5892,8,0.016079,5.863118
2023_loc-Brightkite.mtx,58240,58228,428156,8,0.054829,124.943533
0297_oscil_dcop_13.mtx,512,430,1544,8,0.014412,1.714097
1443_viscoplastic1.mtx,4352,4326,61166,8,0.018353,53.322663
0908_adder_dcop_52.mtx,1920,1813,11246,8,0.030036,5.990716
0067_lpi_woodinfe.mtx,128,89,140,8,0.013860,0.161617
0287_oscil_dcop_24.mtx,512,430,1544,8,0.014003,1.764176
1562_tuma1.mtx,23040,22967,87760,8,0.018857,74.465521
0824_p2756.mtx,768,3511,9692,8,0.021966,7.059530
2297_Linux_call_graph.mtx,324096,324085,1208908,8,0.118630,163.049278
1768_brainpc2.mtx,27648,27607,179395,8,0.052410,54.766297
1655_conf6_0-4x4-20.mtx,3072,3072,119808,8,0.020664,92.768706
0594_tumorAntiAngiogenesis_6.mtx,512,465,4795,8,0.045016,1.704283
0365_tols90.mtx,128,90,1746,8,0.013997,1.995885
2203_rel8.mtx,345728,12347,821839,8,0.075211,174.833099
0879_adder_dcop_61.mtx,1920,1813,11246,8,0.029058,6.192356
2422_net100.mtx,29952,29920,2033200,8,0.123069,264.333724
1922_lp_osa_14.mtx,2432,54797,317097,8,0.058095,87.332459
2529_ASIC_680k.mtx,682880,682862,3871773,8,0.307021,201.772668
0715_minnesota.mtx,2688,2642,6606,8,0.013872,7.619535
2486_rgg_n_2_18_s0.mtx,262144,262144,3094566,8,0.173376,285.581896
0068_mycielskian5.mtx,128,23,142,8,0.013924,0.163167
1459_car4.mtx,16384,33052,63724,8,0.025717,39.646070
0666_fpga_dcop_39.mtx,1280,1220,5892,8,0.016180,5.826522
2507_amazon0601.mtx,403456,403394,3387388,8,0.190846,283.989680
2151_neos2.mtx,132608,134128,685087,8,0.050404,217.472058
1454_gen.mtx,896,2561,63086,8,0.015858,63.650838
1176_tomography.mtx,512,500,28726,8,0.031472,14.603921
0763_jagmesh5.mtx,1280,1180,7750,8,0.013955,8.885984
2470_GL7d23.mtx,105088,349443,2695430,8,0.183629,234.859061
1473_flowmeter0.mtx,9728,9669,67391,8,0.016996,63.440915
2089_cage11.mtx,39168,39082,559722,8,0.043902,203.988349
0106_bibd_9_3.mtx,128,84,252,8,0.013999,0.288029
1317_Trefethen_2000.mtx,2048,2000,41906,8,0.016021,41.851509
2424_bcsstk30.mtx,28928,28924,2043492,8,0.121619,268.837937
0698_bcspwr08.mtx,1664,1624,6050,8,0.011029,8.777198
2789_road_usa.mtx,23947392,23947347,57708624,8,9.557198,96.611790
2184_dc2.mtx,116864,116835,766396,8,0.066428,184.595715
2038_qc2534.mtx,2560,2534,463360,8,0.115070,64.428359
0198_can_96.mtx,128,96,768,8,0.013869,0.886001
1536_c-40.mtx,9984,9941,81501,8,0.039046,33.397040
2177_copter2.mtx,55552,55476,759952,8,0.055247,220.089791
1352_IG5-12.mtx,2304,2875,46260,8,0.015694,47.160483
1792_world.mtx,34560,67147,198883,8,0.052419,60.705427
1715_case9.mtx,14464,14454,147972,8,0.025659,92.271315
0900_adder_dcop_22.mtx,1920,1813,11246,8,0.029413,6.117489
1265_GL7d12.mtx,8960,1019,37519,8,0.016564,36.241628
0792_nnc1374.mtx,1408,1374,8606,8,0.014744,9.339141
1600_ex15.mtx,6912,6867,98671,8,0.019847,79.546316
0578_cdde2.mtx,1024,961,4681,8,0.013846,5.409047
0238_rdb200l.mtx,256,200,1120,8,0.013691,1.308861
1185_deter5.mtx,5120,14529,29715,8,0.016986,27.989450
0609_cage.mtx,384,366,5124,8,0.014938,5.488467
0253_mk10-b1.mtx,640,45,1260,8,0.013609,1.481356
1544_jan99jac040sc.mtx,13696,13694,82842,8,0.022746,58.272218
1362_kneser_8_3_1.mtx,15744,15681,47042,8,0.016899,44.539166
1829_s2rmt3m1.mtx,5504,5489,219521,8,0.024309,144.484448
2099_ut2010.mtx,115456,115406,572066,8,0.054715,167.286022
0789_mhda416.mtx,512,416,8562,8,0.015789,8.676688
1805_mario001.mtx,38528,38434,206156,8,0.024960,132.153654
0104_IG5-6.mtx,128,77,251,8,0.014636,0.274399
0622_GL6_D_7.mtx,640,470,5378,8,0.014836,5.800034
2670_TSOPF_FS_b300_c3.mtx,84480,84414,13135930,8,0.775224,271.115177
1192_c-28.mtx,4608,4598,30590,8,0.043768,11.182607
2401_imagesensor.mtx,118784,118758,1893170,8,0.115141,263.075689
1601_sctap1-2b.mtx,15488,33858,99454,8,0.020153,78.957438
2060_soc-Epinions1.mtx,75904,75888,508837,8,0.064617,125.994038
2109_mri1.mtx,65536,147456,589824,8,0.044579,211.693413
0187_rel5.mtx,384,35,656,8,0.013166,0.797202
1047_bcsstm12.mtx,1536,1473,19659,8,0.015015,20.949042
1067_kineticBatchReactor_1.mtx,2176,2052,20600,8,0.040360,8.166430
0447_lnsp_511.mtx,512,511,2796,8,0.013981,3.199670
0781_poli.mtx,4096,4008,8188,8,0.018939,6.917422
0984_pde2961.mtx,3072,2961,14585,8,0.014007,16.660460
1019_spaceStation_10.mtx,1280,1272,17478,8,0.027235,10.267913
1061_rw5151.mtx,5248,5151,20199,8,0.014761,21.893846
2304_mycielskian13.mtx,6144,6143,1227742,8,0.098259,199.919298
1786_bfly.mtx,49152,49152,196608,8,0.023548,133.586635
2440_H2O.mtx,67072,67024,2216736,8,0.128459,276.102931
0082_lap_25.mtx,128,25,169,8,0.013708,0.197260
2750_nd24k.mtx,72064,72000,28715634,8,1.748249,262.805903
0478_ch8-8-b1.mtx,1664,64,3136,8,0.013705,3.661122
0772_G32.mtx,2048,2000,8000,8,0.013875,9.225092
0149_gre_115.mtx,128,115,421,8,0.013788,0.488536
1442_sit100.mtx,10368,10262,61046,8,0.016965,57.574923
1527_LFAT5000.mtx,20096,19994,79966,8,0.018210,70.261114
0485_G12.mtx,896,800,3200,8,0.013824,3.703815
1163_freeFlyingRobot_6.mtx,3456,3358,27030,8,0.069208,6.248960
0626_n3c6-b3.mtx,1408,455,5460,8,0.013928,6.272156
0327_oscil_dcop_33.mtx,512,430,1544,8,0.014092,1.753035
0536_nnc666.mtx,768,666,4044,8,0.014649,4.416998
0871_adder_dcop_67.mtx,1920,1813,11246,8,0.030131,5.971883
2600_Chevron4.mtx,711552,711450,6376412,8,0.350923,290.726480
2280_ks2010.mtx,238720,238600,1121798,8,0.074714,240.233767
1673_lp_fit2d.mtx,128,10524,129042,8,0.044420,46.481120
0566_bp_800.mtx,896,822,4534,8,0.039619,1.831036
0402_Chebyshev1.mtx,384,261,2319,8,0.027370,1.355644
1251_dynamicSoaringProblem_6.mtx,3456,3431,36741,8,0.029183,20.143799
2818_Flan_1565.mtx,1564800,1564794,117406044,8,8.441487,222.531501
1296_G27.mtx,2048,2000,39980,8,0.016457,38.868818
2264_Dubcova2.mtx,65152,65025,1030225,8,0.067590,243.876607
0117_pivtol.mtx,128,102,306,8,0.012954,0.377962
2668_delaunay_n21.mtx,2097152,2097152,12582816,8,0.891067,225.937096
2584_para-5.mtx,156032,155924,5416358,8,0.323449,267.929936
1087_bcspwr10.mtx,5376,5300,21842,8,0.015037,23.241560
0258_gams30am.mtx,384,531,1287,8,0.017898,1.150547
1136_freeFlyingRobot_5.mtx,2944,2878,24582,8,0.064119,6.134081
0535_bp_400.mtx,896,822,4028,8,0.038561,1.671344
0611_netz4504.mtx,2048,1961,5156,8,0.013887,5.940585
1730_vt2010.mtx,32640,32580,155598,8,0.025153,98.978649
0421_dwb512.mtx,512,512,2500,8,0.013917,2.874257
0029_bcsstm01.mtx,128,48,48,8,0.013006,0.059048
1417_model9.mtx,2944,10939,55956,8,0.019774,45.275509
2551_TSOPF_FS_b300.mtx,29312,29214,4400122,8,0.252323,279.014660
2066_ted_AB_unscaled.mtx,10624,10605,522387,8,0.043151,193.694322
0504_dwt_512.mtx,512,512,3502,8,0.013987,4.005957
1734_c-49.mtx,21248,21132,157042,8,0.055712,45.100703
2301_caidaRouterLevel.mtx,192256,192244,1218132,8,0.132313,147.303620
2172_brack2.mtx,62720,62631,733118,8,0.052858,221.911254
1357_Oregon-1.mtx,11520,11492,46818,8,0.048283,15.514536
0916_adder_dcop_35.mtx,1920,1813,11246,8,0.029274,6.146679
0707_n4c5-b9.mtx,640,1895,6300,8,0.013929,7.236572
1186_TF14.mtx,2688,3160,29862,8,0.017041,28.038594
2699_af_5_k101.mtx,503680,503625,17550675,8,0.964087,291.271144
2760_road_central.mtx,14081920,14081816,33866826,8,5.694716,95.152984
0459_wm1.mtx,256,277,2909,8,0.011715,3.972904
0272_dwt_198.mtx,256,198,1392,8,0.014008,1.589930
0956_lp_ship08l.mtx,896,4363,12882,8,0.013480,15.290462
2517_power197k.mtx,197248,197156,3698357,8,0.230246,257.002575
2324_nemeth22.mtx,9600,9506,1358832,8,0.128645,169.002859
2044_wathen100.mtx,30464,30401,471601,8,0.038556,195.705039
0740_cavity02.mtx,384,317,7327,8,0.010915,10.740693
1932_EAT_RS.mtx,23296,23219,325592,8,0.057268,90.967000
2459_c8_mat11.mtx,4608,5761,2462970,8,0.165418,238.229592
0343_lpi_chemcom.mtx,384,744,1590,8,0.014028,1.813545
0055_bcsstm03.mtx,128,112,112,8,0.013010,0.137743
0848_cage8.mtx,1024,1015,11003,8,0.015022,11.719382
0111_ex5.mtx,128,27,279,8,0.014093,0.316755
1957_mark3jac120sc.mtx,55040,54929,342475,8,0.035437,154.629377
1749_mark3jac060sc.mtx,27520,27449,170695,8,0.025833,105.722695
0393_gas11.mtx,512,862,2166,8,0.013984,2.478198
2310_ok2010.mtx,269184,269118,1274148,8,0.086692,235.159193
2565_LargeRegFile.mtx,2111232,801374,4944201,8,0.617615,128.084957
2014_nv2010.mtx,84608,84538,416998,8,0.039680,168.145440
1220_cavity08.mtx,1280,1182,32747,8,0.011147,47.002339
1147_lnsp3937.mtx,3968,3937,25407,8,0.015074,26.968589
2136_Delor64K.mtx,64768,1785345,652140,8,0.049502,210.782644
1830_s3rmt3m1.mtx,5504,5489,219521,8,0.023333,150.529649
1128_spaceShuttleEntry_2.mtx,1536,1428,24073,8,0.029972,12.851065
2660_fcondp2.mtx,201856,201822,11294316,8,0.653818,276.390315
0427_M20PI_n1.mtx,1152,1028,2547,8,0.013890,2.933845
1962_cond-mat-2005.mtx,40448,40421,351386,8,0.041988,133.899794
0496_lp_standgub.mtx,384,1383,3339,8,0.026509,2.015289
1505_ncvxqp1.mtx,12160,12111,73963,8,0.017805,66.465672
2076_psmigr_3.mtx,3200,3140,543162,8,0.072123,120.496909
0146_bcsstm06.mtx,512,420,420,8,0.012968,0.518194
0524_nemscem.mtx,768,1712,3840,8,0.024116,2.547690
2453_pkustk07.mtx,16896,16860,2418804,8,0.155980,248.114373
1985_g7jac100sc.mtx,29696,29610,384636,8,0.032820,187.515540
0345_bcspwr04.mtx,384,274,1612,8,0.013822,1.866034
0853_adder_dcop_01.mtx,1920,1813,11156,8,0.029600,6.030342
2433_wave.mtx,156416,156317,2118662,8,0.125258,270.630881
2559_engine.mtx,143616,143571,4706073,8,0.257700,292.189678
0599_M40PI_n1.mtx,2048,2028,5007,8,0.013626,5.879314
0980_bibd_17_4b.mtx,256,2380,14280,8,0.014918,15.315874
0237_bcsstm09.mtx,1152,1083,1083,8,0.012940,1.339130
0886_adder_dcop_47.mtx,1920,1813,11246,8,0.029990,5.999934
1947_ckt11752_tr_0.mtx,49792,49702,333029,8,0.048862,109.051179
2539_Delor338K.mtx,343296,887058,4211599,8,0.229567,293.533070
2078_soc-sign-Slashdot090216.mtx,81920,81871,545671,8,0.055310,157.850447
1685_raefsky6.mtx,3456,3402,137845,8,0.029283,75.316658
2115_pfinan512.mtx,74752,74752,596992,8,0.045681,209.097290
0911_adder_dcop_31.mtx,1920,1813,11246,8,0.030238,5.950731
2256_G_n_pin_pout.mtx,100096,100000,1002396,8,0.068674,233.544530
