mtx,m,n,nnz,N,time,gflops
0117_pivtol.mtx,128,102,306,8,0.016735,0.292566
2668_delaunay_n21.mtx,2097152,2097152,12582816,8,1.539700,130.755995
2584_para-5.mtx,156032,155924,5416358,8,0.660535,131.199239
1087_bcspwr10.mtx,5376,5300,21842,8,0.018415,18.977663
0258_gams30am.mtx,384,531,1287,8,0.021342,0.964844
1136_freeFlyingRobot_5.mtx,2944,2878,24582,8,0.080891,4.862231
0535_bp_400.mtx,896,822,4028,8,0.052309,1.232067
0611_netz4504.mtx,2048,1961,5156,8,0.016276,5.068428
1730_vt2010.mtx,32640,32580,155598,8,0.044727,55.661522
0421_dwb512.mtx,512,512,2500,8,0.015807,2.530446
0029_bcsstm01.mtx,128,48,48,8,0.015330,0.050099
1417_model9.mtx,2944,10939,55956,8,0.034915,25.641918
2551_TSOPF_FS_b300.mtx,29312,29214,4400122,8,0.536290,131.275942
2066_ted_AB_unscaled.mtx,10624,10605,522387,8,0.080467,103.871128
0504_dwt_512.mtx,512,512,3502,8,0.016342,3.428674
1734_c-49.mtx,21248,21132,157042,8,0.080517,31.206681
2301_caidaRouterLevel.mtx,192256,192244,1218132,8,0.242697,80.306275
2172_brack2.mtx,62720,62631,733118,8,0.108394,108.215081
1357_Oregon-1.mtx,11520,11492,46818,8,0.069663,10.753068
0916_adder_dcop_35.mtx,1920,1813,11246,8,0.039287,4.580064
0707_n4c5-b9.mtx,640,1895,6300,8,0.016043,6.283286
1186_TF14.mtx,2688,3160,29862,8,0.020994,22.758832
2699_af_5_k101.mtx,503680,503625,17550675,8,1.998060,140.541752
2760_road_central.mtx,14081920,14081816,33866826,8,7.107276,76.241481
0459_wm1.mtx,256,277,2909,8,0.029995,1.551725
0272_dwt_198.mtx,256,198,1392,8,0.015912,1.399704
0956_lp_ship08l.mtx,896,4363,12882,8,0.030025,6.864667
2517_power197k.mtx,197248,197156,3698357,8,0.482107,122.739722
2324_nemeth22.mtx,9600,9506,1358832,8,0.202071,107.592317
2044_wathen100.mtx,30464,30401,471601,8,0.077923,96.834488
0740_cavity02.mtx,384,317,7327,8,0.015310,7.657306
1932_EAT_RS.mtx,23296,23219,325592,8,0.091848,56.718660
2459_c8_mat11.mtx,4608,5761,2462970,8,0.353244,111.558872
0343_lpi_chemcom.mtx,384,744,1590,8,0.016162,1.574074
0055_bcsstm03.mtx,128,112,112,8,0.015153,0.118259
0848_cage8.mtx,1024,1015,11003,8,0.017398,10.119060
0111_ex5.mtx,128,27,279,8,0.016396,0.272262
1957_mark3jac120sc.mtx,55040,54929,342475,8,0.067531,81.142561
1749_mark3jac060sc.mtx,27520,27449,170695,8,0.044151,61.858566
0393_gas11.mtx,512,862,2166,8,0.016282,2.128508
2310_ok2010.mtx,269184,269118,1274148,8,0.185879,109.675491
2565_LargeRegFile.mtx,2111232,801374,4944201,8,0.961075,82.311214
2014_nv2010.mtx,84608,84538,416998,8,0.078955,84.503246
1220_cavity08.mtx,1280,1182,32747,8,0.030058,17.431078
1147_lnsp3937.mtx,3968,3937,25407,8,0.018439,22.045961
2136_Delor64K.mtx,64768,1785345,652140,8,0.099081,105.310685
1830_s3rmt3m1.mtx,5504,5489,219521,8,0.047577,73.823560
1128_spaceShuttleEntry_2.mtx,1536,1428,24073,8,0.041125,9.365818
2660_fcondp2.mtx,201856,201822,11294316,8,1.365016,132.386004
0427_M20PI_n1.mtx,1152,1028,2547,8,0.015794,2.580244
1962_cond-mat-2005.mtx,40448,40421,351386,8,0.070791,79.419245
0496_lp_standgub.mtx,384,1383,3339,8,0.033782,1.581445
1505_ncvxqp1.mtx,12160,12111,73963,8,0.036189,32.701177
2076_psmigr_3.mtx,3200,3140,543162,8,0.118453,73.367274
0146_bcsstm06.mtx,512,420,420,8,0.015285,0.439646
0524_nemscem.mtx,768,1712,3840,8,0.036177,1.698334
2453_pkustk07.mtx,16896,16860,2418804,8,0.320354,120.806443
1985_g7jac100sc.mtx,29696,29610,384636,8,0.068803,89.446903
0345_bcspwr04.mtx,384,274,1612,8,0.016463,1.566685
0853_adder_dcop_01.mtx,1920,1813,11156,8,0.039078,4.567627
2433_wave.mtx,156416,156317,2118662,8,0.263982,128.412272
2559_engine.mtx,143616,143571,4706073,8,0.555906,135.449442
0599_M40PI_n1.mtx,2048,2028,5007,8,0.016280,4.920875
0980_bibd_17_4b.mtx,256,2380,14280,8,0.030172,7.572520
0237_bcsstm09.mtx,1152,1083,1083,8,0.015427,1.123199
0886_adder_dcop_47.mtx,1920,1813,11246,8,0.039669,4.535984
1947_ckt11752_tr_0.mtx,49792,49702,333029,8,0.087758,60.717823
2539_Delor338K.mtx,343296,887058,4211599,8,0.507041,132.899626
2078_soc-sign-Slashdot090216.mtx,81920,81871,545671,8,0.103283,84.532426
1685_raefsky6.mtx,3456,3402,137845,8,0.060137,36.674638
2115_pfinan512.mtx,74752,74752,596992,8,0.093926,101.695769
0911_adder_dcop_31.mtx,1920,1813,11246,8,0.039392,4.567801
2256_G_n_pin_pout.mtx,100096,100000,1002396,8,0.138683,115.647609
1464_Oregon-2.mtx,11904,11806,65460,8,0.063505,16.492686
2105_nemeth16.mtx,9600,9506,587012,8,0.085201,110.235753
1883_s3rmq4m1.mtx,5504,5489,281111,8,0.060651,74.158189
2103_crystm03.mtx,24704,24696,583770,8,0.091342,102.256664
1337_beause.mtx,512,507,44551,8,0.064546,11.043571
1978_vsp_south31_slptsk.mtx,39680,39668,379828,8,0.111150,54.676056
1395_lock1074.mtx,1152,1074,51588,8,0.066980,12.323230
2543_pkustk10.mtx,80768,80676,4308984,8,0.514420,134.022202
2834_uk-2002.mtx,2250_la2010.mtx,204544,204447,980634,8,0.220224
0354_lpi_bgdbg1.mtx,384,629,1662,8,0.018434,1.442576
2746_ML_Laplace.mtx,377088,377002,27689972,8,3.197796,138.545294
1012_LeGresley_2508.mtx,2560,2508,16727,8,0.018904,14.157523
2000_ca-AstroPh.mtx,18816,18772,396160,8,0.093075,68.101304
0643_fpga_dcop_04.mtx,1280,1220,5884,8,0.019019,4.949879
2247_co2010.mtx,201088,201062,974574,8,0.146705,106.289436
2218_vsp_vibrobox_scagr7-2c_rlfddd.mtx,77440,77328,871172,8,0.164538,84.714296
0835_IG5-10.mtx,768,976,10273,8,0.033599,4.892054
2252_kneser_10_4_1.mtx,349696,330751,992252,8,0.187819,84.528227
0154_lpi_ex73a.mtx,256,211,457,8,0.016015,0.456575
1110_G39.mtx,2048,2000,23556,8,0.042410,8.886904
0121_impcol_b.mtx,128,59,312,8,0.015703,0.317894
2788_wb-edu.mtx,9845760,9845725,57156537,8,7.703719,118.709496
0716_cr42.mtx,1024,1513,6614,8,0.018582,5.694861
1465_fe_4elt2.mtx,11264,11143,65636,8,0.037762,27.810380
0632_lp_grow15.mtx,384,645,5620,8,0.021854,4.114630
2129_nd2010.mtx,133888,133769,625946,8,0.113332,88.370261
2558_ship_001.mtx,34944,34920,4644230,8,0.589109,126.135653
0735_rdb1250.mtx,1280,1250,7300,8,0.016223,7.199793
0860_adder_dcop_09.mtx,1920,1813,11239,8,0.039404,4.563646
1587_cti.mtx,16896,16840,96464,8,0.031900,48.383295
1713_ccc.mtx,49152,49152,147456,8,0.046649,50.575255
1125_add32.mtx,4992,4960,23884,8,0.019706,19.392093
2094_g7jac140sc.mtx,41600,41490,565956,8,0.089445,101.238279
1683_abtaha2.mtx,38016,331,137228,8,0.038156,57.544702
0145_west0132.mtx,256,132,414,8,0.015729,0.421137
1306_freeFlyingRobot_10.mtx,5248,5218,40080,8,0.020144,31.834587
0610_dwt_607.mtx,640,607,5131,8,0.016400,5.005922
2803_audikw_1.mtx,943744,943695,77651847,8,8.976380,138.410973
1506_xingo3012.mtx,20992,20944,74386,8,0.036798,32.343202
2669_test1.mtx,392960,392908,12968200,8,1.486829,139.552804
0394_gre_512.mtx,512,512,2192,8,0.016159,2.170392
0452_ck400.mtx,512,400,2860,8,0.016328,2.802504
1615_psse0.mtx,26752,11028,102432,8,0.036581,44.802715
1475_powersim.mtx,15872,15838,67562,8,0.035913,30.100466
0285_oscil_dcop_38.mtx,512,430,1544,8,0.018534,1.332878
1800_g7jac060.mtx,17792,17730,203316,8,0.046282,70.287397
2241_crplat2.mtx,18048,18010,960946,8,0.141515,108.646977
1801_vsp_barth5_1Ksep_50in_5Kout.mtx,32256,32212,203610,8,0.048187,67.606470
0635_plat362.mtx,384,362,5786,8,0.017301,5.350808
1385_mbeacxc.mtx,512,496,49920,8,0.064866,12.313327
0437_fs_680_1.mtx,768,680,2646,8,0.016113,2.627502
2273_ts-palko.mtx,22016,47235,1076903,8,0.186484,92.396531
2015_onera_dual.mtx,85632,85567,419201,8,0.076358,87.838834
0880_adder_dcop_62.mtx,1920,1813,11246,8,0.039655,4.537488
0326_oscil_dcop_32.mtx,512,430,1544,8,0.016425,1.504093
2042_OPF_10000.mtx,43904,43887,467711,8,0.080628,92.813392
2230_ne2010.mtx,193408,193352,913854,8,0.138859,105.298271
0523_can_445.mtx,512,445,3809,8,0.016300,3.738808
1451_c-35.mtx,6656,6537,62891,8,0.065417,15.382279
1870_a5esindl.mtx,60032,60008,255004,8,0.087363,46.702661
2398_appu.mtx,14080,14000,1853104,8,0.244846,121.095368
2342_web-NotreDame.mtx,325760,325729,1497134,8,0.327338,73.178626
0379_west0479.mtx,512,479,1910,8,0.016287,1.876324
0806_laser.mtx,3072,3002,9000,8,0.016289,8.840118
1631_co9.mtx,10880,22924,109651,8,0.069422,25.271729
2582_para-8.mtx,156032,155924,5416358,8,0.696365,124.448703
2515_parabolic_fem.mtx,525952,525825,3674625,8,0.529436,111.050223
2307_amazon0302.mtx,262144,262111,1234877,8,0.199819,98.879436
0816_G16.mtx,896,800,9344,8,0.038101,3.923904
1539_gen2.mtx,1152,3264,81855,8,0.033706,38.855418
0759_model2.mtx,384,1321,7607,8,0.030038,4.051932
0168_lnsp_131.mtx,256,131,536,8,0.016190,0.529703
2276_dbic1.mtx,43264,226317,1081843,8,0.167377,103.416232
2214_ch7-8-b5.mtx,141184,141120,846720,8,0.121144,111.830331
2238_soc-Slashdot0902.mtx,82176,82168,948464,8,0.189442,80.105890
2344_boyd2.mtx,466432,466316,1500397,8,0.293124,81.898256
1567_jendrec1.mtx,2176,4228,89608,8,0.036540,39.236842
0440_tumorAntiAngiogenesis_2.mtx,384,305,2699,8,0.047386,0.911332
1578_ex26.mtx,2176,2163,94033,8,0.042450,35.442423
2786_hugebubbles-00000.mtx,18318208,18318143,54940162,8,9.831591,89.410006
2155_ch7-8-b4.mtx,141184,58800,705600,8,0.110237,102.412202
1760_epb2.mtx,25344,25228,175027,8,0.043503,64.373864
0646_fpga_dcop_29.mtx,1280,1220,5892,8,0.019338,4.874877
0537_1138_bus.mtx,1152,1138,4054,8,0.017166,3.778544
2037_tandem_dual.mtx,94080,94069,460493,8,0.081455,90.453398
0862_adder_dcop_11.mtx,1920,1813,11243,8,0.039881,4.510602
0275_dwt_245.mtx,256,245,1461,8,0.016249,1.438587
1285_jan99jac020.mtx,6784,6774,38692,8,0.029780,20.788024
0481_str_400.mtx,384,363,3157,8,0.018328,2.755982
1993_nemeth03.mtx,9600,9506,394808,8,0.062808,100.575880
1550_bcsstk13.mtx,2048,2003,83883,8,0.050749,26.446164
1400_aa4.mtx,512,7195,52121,8,0.045556,18.305849
2017_cit-HepPh.mtx,34560,34546,421578,8,0.088146,76.523655
0192_bcsstk22.mtx,256,138,696,8,0.016008,0.695635
0997_c-18.mtx,2176,2169,15145,8,0.036992,6.550532
0298_oscil_dcop_22.mtx,512,430,1544,8,0.016335,1.512311
1790_lowThrust_5.mtx,16384,16262,198369,8,0.062979,50.396169
2405_conf6_0-8x8-80.mtx,49152,49152,1916928,8,0.240912,127.311434
2651_crankseg_1.mtx,52864,52804,10614210,8,1.271945,133.517885
1017_rbsb480.mtx,512,480,17088,8,0.019243,14.208008
1839_mark3jac080sc.mtx,36736,36609,227955,8,0.050637,72.027520
1355_Franz4.mtx,6784,5252,46528,8,0.021461,34.688580
0829_can_838.mtx,896,838,10010,8,0.019888,8.053266
0696_dwt_503.mtx,512,503,6027,8,0.017215,5.601780
2249_or2010.mtx,196736,196621,979512,8,0.147574,106.198628
1944_usroads.mtx,129280,129164,330870,8,0.076633,69.081242
0528_tumorAntiAngiogenesis_3.mtx,512,410,3952,8,0.054429,1.161741
0633_rdb968.mtx,1024,968,5632,8,0.016011,5.628083
0382_mk11-b1.mtx,1024,55,1980,8,0.016380,1.934066
0289_oscil_dcop_21.mtx,512,430,1544,8,0.016312,1.514465
0268_n2c6-b2.mtx,512,105,1365,8,0.015563,1.403362
1865_rajat26.mtx,51072,51032,249302,8,0.102068,39.080057
1236_cell1.mtx,7168,7055,34855,8,0.019501,28.598036
0093_divorce.mtx,128,9,225,8,0.016139,0.223058
2836_Queen_4147.mtx,4147200,4147110,329499284,8,37.228342,141.612231
1907_dixmaanl.mtx,60032,60000,299998,8,0.062488,76.814472
0205_grid1_dual.mtx,256,224,840,8,0.015303,0.878268
1234_c-26.mtx,4352,4307,34537,8,0.064847,8.521519
1606_piston.mtx,2048,2025,100015,8,0.066348,24.118958
2578_cont11_l.mtx,1468672,1961394,5382999,8,0.857765,100.409712
0424_lp_etamacro.mtx,512,816,2537,8,0.017366,2.337435
0747_scrs8-2b.mtx,1920,3499,7367,8,0.017178,6.861615
2816_hollywood-2009.mtx,1139968,1139905,113891327,8,13.128916,138.797540
0921_adder_dcop_49.mtx,1920,1813,11246,8,0.039395,4.567486
0934_G52.mtx,1024,1000,11832,8,0.038069,4.972816
0413_dwt_310.mtx,384,310,2448,8,0.016218,2.415140
1904_finance256.mtx,37376,37376,298496,8,0.070608,67.640215
1827_bcsstk28.mtx,4480,4410,219024,8,0.085879,40.806167
0133_west0156.mtx,256,156,371,8,0.019562,0.303439
1376_rajat13.mtx,7680,7598,48922,8,0.056698,13.805672
2113_GL7d24.mtx,21120,105054,593892,8,0.149152,63.708755
0534_lp_stair.mtx,384,614,4003,8,0.020036,3.196615
0439_mcca.mtx,256,180,2659,8,0.016439,2.587945
1071_mk11-b2.mtx,7040,990,20790,8,0.019272,17.260618
1740_lock3491.mtx,3584,3491,160444,8,0.070565,36.379087
0701_delaunay_n10.mtx,1024,1024,6112,8,0.018204,5.371893
0678_fpga_dcop_13.mtx,1280,1220,5892,8,0.025171,3.745314
1041_wang1.mtx,2944,2903,19093,8,0.020029,15.252436
2092_Goodwin_040.mtx,18048,17922,561677,8,0.096882,92.760426
1312_mk12-b2.mtx,13952,1485,41580,8,0.022749,29.244990
0855_TF13.mtx,1152,1302,11185,8,0.018813,9.512494
2161_cyl6.mtx,13696,13681,714241,8,0.168542,67.804081
0596_bp_1600.mtx,896,822,4841,8,0.051702,1.498115
1324_freeFlyingRobot_15.mtx,6144,6038,43378,8,0.034792,19.948237
0568_IG5-9.mtx,384,540,4570,8,0.018570,3.937544
0935_G54.mtx,1024,1000,11832,8,0.033342,5.677827
1645_ex31.mtx,3968,3909,115357,8,0.056268,32.802291
1940_inlet.mtx,11776,11730,328323,8,0.053748,97.736937
2621_shipsec1.mtx,140928,140874,7813404,8,0.912882,136.944874
2430_mc2depi.mtx,525952,525825,2100225,8,0.273354,122.930756
1157_as-735.mtx,7808,7716,26467,8,0.059051,7.171237
2154_md2010.mtx,145280,145247,700378,8,0.111791,100.241165
2731_Freescale2.mtx,2999424,2999349,23042677,8,2.912944,126.567079
1373_ex24.mtx,2304,2283,48737,8,0.036567,21.324791
0730_bcsstm07.mtx,512,420,7252,8,0.017620,6.585423
0098_d_dyn.mtx,128,87,238,8,0.015545,0.244973
0422_dwt_307.mtx,384,307,2523,8,0.016278,2.479880
2607_TSOPF_RS_b2052_c1.mtx,25728,25626,6761100,8,0.822313,131.552834
0538_celegans_metabolic.mtx,512,453,4065,8,0.039409,1.650400
1559_t2d_q9.mtx,9856,9801,87025,8,0.036487,38.161897
1039_polblogs.mtx,1536,1490,19025,8,0.039668,7.673748
2197_pkustk02.mtx,10880,10800,810000,8,0.121858,106.353589
2227_nw14.mtx,128,123409,904910,8,0.195858,73.923597
2500_wiki-talk-temporal.mtx,1140224,1140149,3309592,8,0.729164,72.622192
2090_k1_san.mtx,67840,67759,559774,8,0.090124,99.377927
1301_G22.mtx,2048,2000,39980,8,0.021585,29.635318
1106_lp_80bau3b.mtx,2304,12061,23264,8,0.036368,10.234815
1328_flower_5_4.mtx,5248,14721,43942,8,0.020954,33.553244
0140_bcsstk01.mtx,128,48,400,8,0.016312,0.392341
0983_adder_trans_02.mtx,1920,1814,14579,8,0.061170,3.813394
1074_swang2.mtx,3200,3169,20841,8,0.017707,18.831423
2540_pkustk04.mtx,55680,55590,4218660,8,0.544591,123.943617
2204_nj2010.mtx,169600,169588,829912,8,0.127396,104.230943
0233_fs_183_6.mtx,256,183,1069,8,0.020771,0.823473
1304_n2c6-b6.mtx,5760,4945,40005,8,0.020367,31.426655
0180_Sandi_sandi.mtx,384,360,613,8,0.017408,0.563426
0694_bfwb782.mtx,896,782,5982,8,0.016472,5.810497
1321_Alemdar.mtx,6272,6245,42581,8,0.021431,31.789582
1716_TSOPF_FS_b9_c6.mtx,14464,14454,147972,8,0.060357,39.226061
1171_bayer07.mtx,3328,3268,27836,8,0.036436,12.223633
2735_germany_osm.mtx,11548928,11548845,24738362,8,4.824584,82.041017
0604_rel6.mtx,2432,157,5101,8,0.015616,5.226402
1450_mk12-b5.mtx,10496,62370,62370,8,0.033882,29.453127
1899_sinc12.mtx,7552,7500,294986,8,0.064672,72.980496
2164_c-64.mtx,51072,51035,717841,8,0.124524,92.235235
2417_mixtank_new.mtx,30080,29957,1995041,8,0.244236,130.695797
0046_problem.mtx,128,46,86,8,0.015577,0.088337
0174_can_61.mtx,128,61,557,8,0.016812,0.530110
0433_lp_grow7.mtx,256,301,2612,8,0.017593,2.375487
1011_lp_pds_02.mtx,3072,7716,16571,8,0.036480,7.267906
1149_lp_degen3.mtx,1536,2604,25432,8,0.037144,10.955118
2641_gupta3.mtx,16896,16783,9323427,8,1.144758,130.311207
0639_fpga_dcop_07.mtx,1280,1220,5855,8,0.018767,4.991730
0847_lpi_cplex1.mtx,3072,5224,10947,8,0.069066,2.536019
0969_CAG_mat364.mtx,384,364,13585,8,0.049675,4.375618
2664_fullb.mtx,199296,199187,11708077,8,1.378542,135.889392
2278_ex11.mtx,16640,16614,1096948,8,0.148996,117.796589
0888_adder_dcop_48.mtx,1920,1813,11246,8,0.042063,4.277789
1223_lp_d2q06c.mtx,2176,5831,33081,8,0.031117,17.009941
2738_dielFilterV2clx.mtx,607232,607232,25309272,8,2.852587,141.958307
1139_email-Eu-core-temporal.mtx,1024,1005,24929,8,0.045097,8.844587
1533_kineticBatchReactor_5.mtx,7680,7641,80767,8,0.049043,26.349529
0562_pde900.mtx,1024,900,4380,8,0.015385,4.555041
0222_ck104.mtx,128,104,992,8,0.015900,0.998239
2728_CoupCons3D.mtx,416896,416800,22322336,8,2.536189,140.824454
1846_lp_pds_20.mtx,33920,108175,232647,8,0.059559,62.498321
1199_c-23.mtx,4096,3969,31079,8,0.055406,8.974920
1999_nemeth09.mtx,9600,9506,395506,8,0.063819,99.156517
