index,mtx,gflops
161,2172_brack2.mtx,6.453
162,1357_Oregon-1.mtx,6.569
163,0916_adder_dcop_35.mtx,1.946
164,0707_n4c5-b9.mtx,-1.000
165,1186_TF14.mtx,-1.000
166,2699_af_5_k101.mtx,11.308
167,2760_road_central.mtx,-1.000
168,0459_wm1.mtx,-1.000
169,0272_dwt_198.mtx,0.016
170,0956_lp_ship08l.mtx,-1.000
171,2517_power197k.mtx,9.813
172,2324_nemeth22.mtx,29.690
173,2044_wathen100.mtx,5.183
174,0740_cavity02.mtx,0.353
175,1932_EAT_RS.mtx,6.025
176,2459_c8_mat11.mtx,-1.000
177,0343_lpi_chemcom.mtx,-1.000
178,0055_bcsstm03.mtx,0.000
179,0848_cage8.mtx,0.155
180,0111_ex5.mtx,0.005
181,1957_mark3jac120sc.mtx,3.096
182,1749_mark3jac060sc.mtx,1.629
183,0393_gas11.mtx,-1.000
184,2310_ok2010.mtx,7.615
185,2565_LargeRegFile.mtx,-1.000
186,2014_nv2010.mtx,3.536
187,1220_cavity08.mtx,1.434
188,1147_lnsp3937.mtx,0.279
189,1830_s3rmt3m1.mtx,6.919
190,1128_spaceShuttleEntry_2.mtx,2.411
191,1494_EX4(0).mtx,2.216
192,2660_fcondp2.mtx,20.839
193,0427_M20PI_n1.mtx,0.010
194,1962_cond-mat-2005.mtx,5.924
195,0496_lp_standgub.mtx,
196,1505_ncvxqp1.mtx,0.758
197,2076_psmigr_3.mtx,8.039
198,0146_bcsstm06.mtx,0.001
199,0524_nemscem.mtx,
200,2453_pkustk07.mtx,20.344
201,1985_g7jac100sc.mtx,7.505
202,0345_bcspwr04.mtx,0.018
203,0853_adder_dcop_01.mtx,2.167
204,2433_wave.mtx,7.710
205,2559_engine.mtx,11.868
206,0599_M40PI_n1.mtx,0.020
207,0980_bibd_17_4b.mtx,-1.000
208,2777_kron_g500-logn19.mtx,-1.000
209,0237_bcsstm09.mtx,0.002
210,0886_adder_dcop_47.mtx,2.266
211,1947_ckt11752_tr_0.mtx,7.627
212,2078_soc-sign-Slashdot090216.mtx,7.259
213,1685_raefsky6.mtx,4.749
214,2115_pfinan512.mtx,5.399
