index,mtx,m,n,nnz,right-n,pixel_gflops
0,1009_lp_ship12l.mtx,1151,5533,16276,8,12.401
1,0637_bcspwr07.mtx,1612,1612,5824,8,7.168
2,1471_thermal.mtx,3456,3456,66528,8,76.032
3,2201_fe_ocean.mtx,143437,143437,819186,8,267.489
4,2480_Trec14.mtx,3159,15905,2872265,8,441.887
5,1657_bloweybl.mtx,30003,30003,120000,8,112.941
6,0494_str_600.mtx,363,363,3279,8,3.498
7,0153_sphere2.mtx,66,66,450,8,0.655
8,2027_GT01R.mtx,7980,7980,430909,8,255.353
9,0309_oscil_dcop_01.mtx,430,430,1544,8,2.059
10,2149_TSOPF_RS_b39_c19.mtx,38098,38098,684206,8,456.137
11,2687_venturiLevel3.mtx,4026819,4026819,16108474,8,203.262
12,1504_descriptor_xingo6u.mtx,20738,20738,73916,8,78.844
13,1396_aa6.mtx,646,7292,51728,8,33.106
14,2397_com-Amazon.mtx,334863,334863,1851744,8,57.642
15,1460_rajat07.mtx,14842,14842,63913,8,73.043
16,2193_ky2010.mtx,161672,161672,787778,8,96.957
17,0491_685_bus.mtx,685,685,3249,8,3.466
18,0944_grid2_dual.mtx,3136,3136,12224,8,16.299
19,2132_blockqp1.mtx,60012,60012,640033,8,301.192
20,0035_n3c4-b3.mtx,15,20,60,8,0.16
21,2749_nlpkkt80.mtx,1062400,1062400,28704672,8,482.431
22,0267_n3c6-b2.mtx,455,105,1365,8,2.427
23,0686_fpga_dcop_21.mtx,1220,1220,5892,8,4.962
24,2023_loc-Brightkite.mtx,58228,58228,428156,8,92.574
25,0297_oscil_dcop_13.mtx,430,430,1544,8,1.9
26,1443_viscoplastic1.mtx,4326,4326,61166,8,44.484
27,0908_adder_dcop_52.mtx,1813,1813,11246,8,9.47
28,0067_lpi_woodinfe.mtx,35,89,140,8,0.224
29,0287_oscil_dcop_24.mtx,430,430,1544,8,1.9
30,1562_tuma1.mtx,22967,22967,87760,8,108.012
31,0824_p2756.mtx,755,3511,9692,8,7.754
32,2297_Linux_call_graph.mtx,324085,324085,1208908,8,103.992
33,1768_brainpc2.mtx,27607,27607,179395,8,102.511
34,1655_conf6_0-4x4-20.mtx,3072,3072,119808,8,127.795
35,0594_tumorAntiAngiogenesis_6.mtx,465,465,4795,8,3.487
36,0365_tols90.mtx,90,90,1746,8,1.47
37,2203_rel8.mtx,345688,12347,821839,8,113.357
38,0879_adder_dcop_61.mtx,1813,1813,11246,8,9.996
39,2422_net100.mtx,29920,29920,2033200,8,391.942
40,1922_lp_osa_14.mtx,2337,54797,317097,8,133.515
41,2529_ASIC_680k.mtx,682862,682862,3871773,8,239.183
42,0715_minnesota.mtx,2642,2642,6606,8,8.13
43,2486_rgg_n_2_18_s0.mtx,262144,262144,3094566,8,138.305
44,0068_mycielskian5.mtx,23,23,142,8,0.325
45,1459_car4.mtx,16384,33052,63724,8,42.483
46,0666_fpga_dcop_39.mtx,1220,1220,5892,8,4.962
47,2507_amazon0601.mtx,403394,403394,3387388,8,100.182
48,2151_neos2.mtx,132568,134128,685087,8,274.035
49,1454_gen.mtx,769,2561,63086,8,33.646
50,1176_tomography.mtx,500,500,28726,8,15.321
51,0763_jagmesh5.mtx,1180,1180,7750,8,8.267
52,2470_GL7d23.mtx,105054,349443,2695430,8,59.322
53,1473_flowmeter0.mtx,9669,9669,67391,8,89.855
54,2089_cage11.mtx,39082,39082,559722,8,255.873
55,0106_bibd_9_3.mtx,36,84,252,8,0.31
56,1317_Trefethen_2000.mtx,2000,2000,41906,8,47.893
57,2424_bcsstk30.mtx,28924,28924,2043492,8,503.013
58,0698_bcspwr08.mtx,1624,1624,6050,8,8.067
59,2789_road_usa.mtx,23947347,23947347,57708624,8,96.816
60,2184_dc2.mtx,116835,116835,766396,8,204.372
61,2038_qc2534.mtx,2534,2534,463360,8,285.145
62,0198_can_96.mtx,96,96,768,8,1.365
63,1536_c-40.mtx,9941,9941,81501,8,42.065
64,2177_copter2.mtx,55476,55476,759952,8,225.171
65,1352_IG5-12.mtx,2296,2875,46260,8,37.008
66,1792_world.mtx,34506,67147,198883,8,138.353
67,1715_case9.mtx,14454,14454,147972,8,94.702
68,0900_adder_dcop_22.mtx,1813,1813,11246,8,9.47
69,1265_GL7d12.mtx,8899,1019,37519,8,37.519
70,0792_nnc1374.mtx,1374,1374,8606,8,9.18
71,1600_ex15.mtx,6867,6867,98671,8,105.249
72,0578_cdde2.mtx,961,961,4681,8,7.49
73,0238_rdb200l.mtx,200,200,1120,8,1.792
