index,mtx,gflops
0,1009_lp_ship12l.mtx,3.617
1,0637_bcspwr07.mtx,1.294
2,1471_thermal.mtx,14.784
3,2201_fe_ocean.mtx,96.375
4,2480_Trec14.mtx,179.517
5,1657_bloweybl.mtx,24.000
6,0494_str_600.mtx,0.820
7,0153_sphere2.mtx,0.129
8,2027_GT01R.mtx,71.818
9,0309_oscil_dcop_01.mtx,0.386
10,2149_TSOPF_RS_b39_c19.mtx,97.744
11,2687_venturiLevel3.mtx,110.332
12,1504_descriptor_xingo6u.mtx,16.426
13,1396_aa6.mtx,12.932
14,2397_com-Amazon.mtx,94.961
15,1460_rajat07.mtx,14.203
16,2193_ky2010.mtx,87.531
17,0491_685_bus.mtx,0.722
18,0944_grid2_dual.mtx,2.716
19,2132_blockqp1.mtx,91.433
20,0035_n3c4-b3.mtx,0.017
21,2749_nlpkkt80.mtx,149.894
22,0267_n3c6-b2.mtx,0.341
23,0686_fpga_dcop_21.mtx,1.473
24,2023_loc-Brightkite.mtx,61.165
25,0297_oscil_dcop_13.mtx,0.386
26,1443_viscoplastic1.mtx,13.592
27,0908_adder_dcop_52.mtx,2.499
28,0067_lpi_woodinfe.mtx,0.040
29,0287_oscil_dcop_24.mtx,0.386
30,1562_tuma1.mtx,17.552
31,0824_p2756.mtx,2.154
32,2297_Linux_call_graph.mtx,96.713
33,1768_brainpc2.mtx,32.617
34,1655_conf6_0-4x4-20.mtx,26.624
35,0594_tumorAntiAngiogenesis_6.mtx,1.199
36,0365_tols90.mtx,0.437
37,2203_rel8.mtx,86.509
38,0879_adder_dcop_61.mtx,2.499
39,2422_net100.mtx,150.607
40,1922_lp_osa_14.mtx,57.654
41,2529_ASIC_680k.mtx,184.370
42,0715_minnesota.mtx,1.468
43,2486_rgg_n_2_18_s0.mtx,176.832
44,0068_mycielskian5.mtx,0.041
45,1459_car4.mtx,12.745
46,2825_mawi_201512020030.mtx,69.687
47,0666_fpga_dcop_39.mtx,1.473
48,2507_amazon0601.mtx,161.304
49,2151_neos2.mtx,91.345
50,1454_gen.mtx,14.019
51,1176_tomography.mtx,7.182
52,0763_jagmesh5.mtx,1.722
53,1473_flowmeter0.mtx,14.976
54,2089_cage11.mtx,79.960
55,0106_bibd_9_3.mtx,0.072
56,1317_Trefethen_2000.mtx,10.477
57,2424_bcsstk30.mtx,170.291
58,0698_bcspwr08.mtx,1.344
59,2789_road_usa.mtx,75.584
60,2184_dc2.mtx,102.186
61,2038_qc2534.mtx,84.247
62,0198_can_96.mtx,0.219
63,1536_c-40.mtx,16.300
64,2177_copter2.mtx,101.327
65,1352_IG5-12.mtx,10.280
66,1715_case9.mtx,29.594
67,0900_adder_dcop_22.mtx,2.499
68,1265_GL7d12.mtx,7.504
69,0792_nnc1374.mtx,1.912
70,1600_ex15.mtx,21.927
71,0578_cdde2.mtx,1.040
72,0238_rdb200l.mtx,0.280
73,1185_deter5.mtx,5.943
74,0609_cage.mtx,1.281
75,0253_mk10-b1.mtx,0.280
76,1544_jan99jac040sc.mtx,18.409
77,1362_kneser_8_3_1.mtx,9.408
78,1829_s2rmt3m1.mtx,43.904
79,2099_ut2010.mtx,67.302
80,0789_mhda416.mtx,2.141
81,1805_mario001.mtx,37.483
82,0104_IG5-6.mtx,0.072
83,0622_GL6_D_7.mtx,1.345
84,2670_TSOPF_FS_b300_c3.mtx,148.429
85,1192_c-28.mtx,6.798
86,2401_imagesensor.mtx,164.623
87,1601_sctap1-2b.mtx,22.101
88,2060_soc-Epinions1.mtx,59.863
89,2109_mri1.mtx,84.261
90,0187_rel5.mtx,0.164
91,1047_bcsstm12.mtx,4.369
92,1067_kineticBatchReactor_1.mtx,4.578
93,0447_lnsp_511.mtx,0.699
94,0781_poli.mtx,1.820
95,0984_pde2961.mtx,3.241
96,1288_nasa1824(0).mtx,9.802
97,1019_spaceStation_10.mtx,4.370
98,1061_rw5151.mtx,4.489
99,2304_mycielskian13.mtx,129.236
100,1786_bfly.mtx,35.747
101,2440_H2O.mtx,164.203
102,0082_lap_25.mtx,0.048
103,2750_nd24k.mtx,153.971
104,0478_ch8-8-b1.mtx,0.697
105,0772_G32.mtx,2.000
106,0149_gre_115.mtx,0.120
107,1442_sit100.mtx,13.566
108,1527_LFAT5000.mtx,17.770
109,0485_G12.mtx,0.800
110,1163_freeFlyingRobot_6.mtx,6.007
111,0626_n3c6-b3.mtx,1.213
112,0327_oscil_dcop_33.mtx,0.386
113,0536_nnc666.mtx,1.011
114,0871_adder_dcop_67.mtx,2.499
115,2600_Chevron4.mtx,130.131
116,2280_ks2010.mtx,101.982
117,0566_bp_800.mtx,1.134
118,0402_Chebyshev1.mtx,0.580
119,1251_dynamicSoaringProblem_6.mtx,8.165
120,2818_Flan_1565.mtx,157.381
121,1296_G27.mtx,9.995
122,2264_Dubcova2.mtx,114.469
123,0117_pivtol.mtx,0.087
124,2668_delaunay_n21.mtx,137.517
125,2584_para-5.mtx,212.406
126,1087_bcspwr10.mtx,4.854
127,0258_gams30am.mtx,0.322
128,1136_freeFlyingRobot_5.mtx,5.463
129,0535_bp_400.mtx,1.007
130,0611_netz4504.mtx,1.146
131,1730_vt2010.mtx,28.291
132,0421_dwb512.mtx,0.625
133,0029_bcsstm01.mtx,0.014
134,1417_model9.mtx,12.435
135,2551_TSOPF_FS_b300.mtx,214.640
136,2066_ted_AB_unscaled.mtx,80.367
137,0504_dwt_512.mtx,0.876
138,1734_c-49.mtx,31.408
139,2301_caidaRouterLevel.mtx,90.232
140,2172_brack2.mtx,97.749
141,1357_Oregon-1.mtx,10.404
142,0916_adder_dcop_35.mtx,2.499
143,0707_n4c5-b9.mtx,1.575
144,1186_TF14.mtx,6.636
145,2699_af_5_k101.mtx,147.485
146,2760_road_central.mtx,66.997
147,0459_wm1.mtx,0.727
148,0272_dwt_198.mtx,0.348
149,0956_lp_ship08l.mtx,3.221
150,2517_power197k.mtx,189.659
151,2324_nemeth22.mtx,143.035
152,2044_wathen100.mtx,72.554
153,0740_cavity02.mtx,1.832
154,1932_EAT_RS.mtx,46.513
155,2459_c8_mat11.mtx,189.459
156,0343_lpi_chemcom.mtx,0.398
157,0055_bcsstm03.mtx,0.032
158,0848_cage8.mtx,2.445
159,0111_ex5.mtx,0.080
160,1957_mark3jac120sc.mtx,57.079
161,1749_mark3jac060sc.mtx,31.035
162,0393_gas11.mtx,0.542
163,2310_ok2010.mtx,101.932
164,2565_LargeRegFile.mtx,117.719
165,2014_nv2010.mtx,59.571
166,1220_cavity08.mtx,8.187
167,1147_lnsp3937.mtx,5.646
168,1830_s3rmt3m1.mtx,43.904
169,1128_spaceShuttleEntry_2.mtx,6.018
170,1494_EX4(0).mtx,15.947
171,2660_fcondp2.mtx,145.733
172,0427_M20PI_n1.mtx,0.637
173,1962_cond-mat-2005.mtx,58.564
174,0496_lp_standgub.mtx,0.835
175,1505_ncvxqp1.mtx,14.793
176,2076_psmigr_3.mtx,83.563
177,0146_bcsstm06.mtx,0.105
178,0524_nemscem.mtx,0.853
179,2453_pkustk07.mtx,179.171
180,1985_g7jac100sc.mtx,64.106
181,0345_bcspwr04.mtx,0.403
182,0853_adder_dcop_01.mtx,2.479
183,2433_wave.mtx,156.938
184,2559_engine.mtx,204.612
185,0599_M40PI_n1.mtx,1.113
186,0980_bibd_17_4b.mtx,3.570
187,2777_kron_g500-logn19.mtx,137.855
188,0237_bcsstm09.mtx,0.241
189,0886_adder_dcop_47.mtx,2.812
190,1947_ckt11752_tr_0.mtx,60.551
191,2539_Delor338K.mtx,191.436
192,2078_soc-sign-Slashdot090216.mtx,57.439
193,1685_raefsky6.mtx,27.569
194,2115_pfinan512.mtx,85.285
195,0911_adder_dcop_31.mtx,2.499
196,2256_G_n_pin_pout.mtx,95.466
197,1464_Oregon-2.mtx,14.547
198,2105_nemeth16.mtx,90.310
199,1883_s3rmq4m1.mtx,51.111
200,2103_crystm03.mtx,89.811
201,1337_beause.mtx,11.138
202,1978_vsp_south31_slptsk.mtx,54.261
203,1395_lock1074.mtx,11.464
204,2543_pkustk10.mtx,205.190
205,2834_uk-2002.mtx,129.334
206,2250_la2010.mtx,89.149
207,0354_lpi_bgdbg1.mtx,0.416
208,2746_ML_Laplace.mtx,150.899
209,1012_LeGresley_2508.mtx,4.182
210,2000_ca-AstroPh.mtx,49.520
211,0643_fpga_dcop_04.mtx,1.471
212,2247_co2010.mtx,81.215
213,2218_vsp_vibrobox_scagr7-2c_rlfddd.mtx,91.702
214,0835_IG5-10.mtx,2.568
215,2252_kneser_10_4_1.mtx,76.327
216,0154_lpi_ex73a.mtx,0.114
217,1110_G39.mtx,5.235
218,0121_impcol_b.mtx,0.089
219,2788_wb-edu.mtx,107.236
220,0716_cr42.mtx,1.654
221,1465_fe_4elt2.mtx,14.586
222,1901_EX6(0).mtx,53.760
223,0632_lp_grow15.mtx,1.405
224,2129_nd2010.mtx,73.641
225,2558_ship_001.mtx,211.101
226,0735_rdb1250.mtx,1.622
227,0860_adder_dcop_09.mtx,2.498
228,1587_cti.mtx,21.436
229,1713_ccc.mtx,26.810
230,1125_add32.mtx,5.308
231,2094_g7jac140sc.mtx,75.461
232,1683_abtaha2.mtx,24.951
233,0145_west0132.mtx,0.104
234,1306_freeFlyingRobot_10.mtx,8.907
235,0610_dwt_607.mtx,1.283
236,1784_skirt(0).mtx,39.304
237,2803_audikw_1.mtx,155.771
238,1506_xingo3012.mtx,16.530
239,2669_test1.mtx,138.697
240,0394_gre_512.mtx,0.548
241,0452_ck400.mtx,0.715
242,1615_psse0.mtx,22.763
243,1475_powersim.mtx,15.014
244,0285_oscil_dcop_38.mtx,0.386
245,1800_g7jac060.mtx,36.967
246,2241_crplat2.mtx,120.118
247,1801_vsp_barth5_1Ksep_50in_5Kout.mtx,33.935
248,0635_plat362.mtx,1.447
249,1385_mbeacxc.mtx,12.480
250,0437_fs_680_1.mtx,0.662
251,2273_ts-palko.mtx,119.656
252,2015_onera_dual.mtx,64.492
253,0880_adder_dcop_62.mtx,2.499
254,0326_oscil_dcop_32.mtx,0.386
255,2042_OPF_10000.mtx,71.956
256,2230_ne2010.mtx,91.385
257,0523_can_445.mtx,0.952
258,1451_c-35.mtx,13.976
259,1870_a5esindl.mtx,46.364
260,1900_EX5(0).mtx,53.760
261,2398_appu.mtx,92.655
262,2342_web-NotreDame.mtx,83.174
263,0379_west0479.mtx,0.477
264,0806_laser.mtx,2.000
265,1631_co9.mtx,21.930
266,2582_para-8.mtx,204.391
267,2515_parabolic_fem.mtx,179.250
268,2307_amazon0302.mtx,98.790
269,0816_G16.mtx,2.336
270,1539_gen2.mtx,18.190
271,0759_model2.mtx,1.902
272,0168_lnsp_131.mtx,0.134
273,2276_dbic1.mtx,108.184
274,2214_ch7-8-b5.mtx,99.614
275,2238_soc-Slashdot0902.mtx,75.877
276,2344_boyd2.mtx,120.032
277,1567_jendrec1.mtx,19.913
278,0440_tumorAntiAngiogenesis_2.mtx,0.675
279,1578_ex26.mtx,20.896
280,2786_hugebubbles-00000.mtx,62.326
281,2155_ch7-8-b4.mtx,94.080
282,1760_epb2.mtx,35.005
283,0646_fpga_dcop_29.mtx,1.473
284,0537_1138_bus.mtx,0.901
285,2037_tandem_dual.mtx,70.845
286,0862_adder_dcop_11.mtx,2.498
287,0275_dwt_245.mtx,0.365
288,1285_jan99jac020.mtx,8.598
289,0481_str_400.mtx,0.789
290,1993_nemeth03.mtx,65.801
291,1550_bcsstk13.mtx,18.641
292,1400_aa4.mtx,13.030
293,2017_cit-HepPh.mtx,52.697
294,0192_bcsstk22.mtx,0.174
295,0997_c-18.mtx,3.366
296,0298_oscil_dcop_22.mtx,0.386
297,1790_lowThrust_5.mtx,39.674
298,2405_conf6_0-8x8-80.mtx,166.689
299,2651_crankseg_1.mtx,146.403
300,1017_rbsb480.mtx,4.272
301,1839_mark3jac080sc.mtx,45.591
302,1355_Franz4.mtx,10.340
303,0829_can_838.mtx,2.503
304,0696_dwt_503.mtx,1.507
305,2249_or2010.mtx,85.175
306,1944_usroads.mtx,50.903
307,0528_tumorAntiAngiogenesis_3.mtx,0.988
308,0633_rdb968.mtx,1.408
309,0382_mk11-b1.mtx,0.440
310,0289_oscil_dcop_21.mtx,0.386
311,2804_ljournal-2008.mtx,127.457
312,0268_n2c6-b2.mtx,0.341
313,1865_rajat26.mtx,45.328
314,1236_cell1.mtx,7.746
315,0093_divorce.mtx,0.064
316,2836_Queen_4147.mtx,152.794
317,1907_dixmaanl.mtx,54.545
318,0205_grid1_dual.mtx,0.210
319,1234_c-26.mtx,7.675
320,1606_piston.mtx,22.226
321,0424_lp_etamacro.mtx,0.634
322,0747_scrs8-2b.mtx,1.637
323,2816_hollywood-2009.mtx,156.659
324,0921_adder_dcop_49.mtx,2.499
325,0934_G52.mtx,2.958
326,0413_dwt_310.mtx,0.612
327,1904_finance256.mtx,54.272
328,1827_bcsstk28.mtx,43.805
329,0133_west0156.mtx,0.093
330,1376_rajat13.mtx,10.872
