mtx,gflops
mc2depi,186.687
pkustk07,215.005
msc10848,151.357
rma10,271.314
ramage02,241.377
opt1,257.421
TSC_OPF_1047,201.69
trdheim,193.532
heart3,136.559
nemeth19,119.026
raefsky3,158.802
TSOPF_RS_b678_c2,238.155
geomean,197.57708333333335
