/matrix/2534_cant.mtx,62451,62451,4007383,269486473,17394453,15.492667,46.099094,37.742316
/matrix/2534_cant.mtx,62451,62451,4007383,269486473,17392214,15.494662,46.099094,37.742316
/matrix/2534_cant.mtx,62451,62451,4007383,269486473,17392047,15.494811,46.099094,37.742316
/matrix/2534_cant.mtx,62451,62451,4007383,269486473,17447041,15.445970,46.099094,37.742316
/matrix/2663_pwtk.mtx,217918,217918,11634424,626054402,28860506,21.692426,133.976711,107.119949
/matrix/2544_pdb1HYS.mtx,36417,36417,4344765,555322659,20428083,27.184277,49.860813,40.006768
/matrix/2544_pdb1HYS.mtx,36417,36417,4344765,555322659,20438053,27.171016,49.860813,40.006768
/matrix/2544_pdb1HYS.mtx,36417,36417,4344765,555322659,20443703,27.163506,49.860813,40.006768
/matrix/2544_pdb1HYS.mtx,36417,36417,4344765,555322659,20380972,27.247114,49.860813,40.006768
/matrix/2534_cant.mtx,62451,62451,4007383,269486473,17399883,15.487832,46.099094,37.742316
/matrix/2534_cant.mtx,62451,62451,4007383,269486473,17394346,15.492763,46.099094,37.742316
/matrix/0637_bcspwr07.mtx,1612,1612,5824,25234,12237,2.062107,0.072803,0.105762
/matrix/1471_thermal.mtx,3456,3456,66528,1365984,181491,7.526456,0.774540,0.652596
/matrix/2201_fe_ocean.mtx,143437,143437,819186,4742538,1639081,2.893413,9.922012,12.102301
/matrix/1657_bloweybl.mtx,30003,30003,120000,100469968,100198780,1.002707,1.487747,1.437836
/matrix/0494_str_600.mtx,363,363,3279,30187,16539,1.825201,0.038914,0.047091
/matrix/0153_sphere2.mtx,66,66,450,3090,1170,2.641026,0.005405,0.004690
/matrix/2027_GT01R.mtx,7980,7980,430909,23522267,1248425,18.841554,4.961807,4.032884
/matrix/0309_oscil_dcop_01.mtx,430,430,1544,6450,3838,1.680563,0.019314,0.025112
/matrix/2149_TSOPF_RS_b39_c19.mtx,38098,38098,684206,4831760,2267556,2.130823,7.975452,6.647787
/matrix/1504_descriptor_xingo6u.mtx,20738,20738,73916,404758,135740,2.981862,0.925014,1.235657
/matrix/2397_com-Amazon.mtx,334863,334863,1851744,21356116,8224008,2.596801,22.468933,112.586384
/matrix/1460_rajat07.mtx,14842,14842,63913,293725,128571,2.284535,0.788048,1.273950
/matrix/2193_ky2010.mtx,161672,161672,787778,5418222,2593166,2.089424,9.632137,29.103048
/matrix/0491_685_bus.mtx,685,685,3249,17609,6843,2.573287,0.039799,0.047231
/matrix/0944_grid2_dual.mtx,3136,3136,12224,47944,16807,2.852621,0.151859,0.212273
/matrix/2132_blockqp1.mtx,60012,60012,640033,5605200165,1723761812,3.251725,7.553528,6.442311
/matrix/2749_nlpkkt80.mtx,1062400,1062400,28704672,790384704,149656627,5.281321,332.551640,311.997841
/matrix/0686_fpga_dcop_21.mtx,1220,1220,5892,46772,28550,1.638249,0.072086,0.088577
/matrix/2023_loc-Brightkite.mtx,58228,58228,428156,27274962,10945167,2.491964,5.121983,15.226513
/matrix/0297_oscil_dcop_13.mtx,430,430,1544,6450,3838,1.680563,0.019314,0.025112
/matrix/1443_viscoplastic1.mtx,4326,4326,61166,1473298,510056,2.888502,0.716496,0.727160
/matrix/0908_adder_dcop_52.mtx,1813,1813,11246,1848518,1790838,1.032208,0.135620,0.297132
/matrix/0287_oscil_dcop_24.mtx,430,430,1544,6450,3838,1.680563,0.019314,0.025112
/matrix/1562_tuma1.mtx,22967,22967,87760,376418,168576,2.232928,1.091949,1.260376
/matrix/1768_brainpc2.mtx,27607,27607,179395,476776141,189991740,2.509457,2.158329,2.053012
/matrix/1655_conf6_0-4x4-20.mtx,3072,3072,119808,4672512,643509,7.260989,1.382816,1.189705
/matrix/0594_tumorAntiAngiogenesis_6.mtx,465,465,4795,265961,212777,1.249952,0.056652,0.053988
/matrix/0365_tols90.mtx,90,90,1746,38016,8100,4.693333,0.020329,0.016245
/matrix/0879_adder_dcop_61.mtx,1813,1813,11246,1848518,1790838,1.032208,0.135620,0.297132
/matrix/2422_net100.mtx,29920,29920,2033200,238192780,95115159,2.504257,23.382267,25.299164
/matrix/0715_minnesota.mtx,2642,2642,6606,17998,9919,1.814497,0.085682,0.135099
/matrix/2486_rgg_n_2_18_s0.mtx,262144,262144,3094566,39648378,9312783,4.257415,36.414501,76.959379
/matrix/0068_mycielskian5.mtx,23,23,142,962,387,2.485788,0.001717,0.001448
/matrix/0666_fpga_dcop_39.mtx,1220,1220,5892,46772,28550,1.638249,0.072086,0.088577
/matrix/2507_amazon0601.mtx,403394,403394,3387388,32373599,11429612,2.832432,40.304409,116.949577
/matrix/1176_tomography.mtx,500,500,28726,3662602,208298,17.583472,0.330654,0.283003
/matrix/0763_jagmesh5.mtx,1180,1180,7750,51742,15548,3.327888,0.093197,0.094046
/matrix/1473_flowmeter0.mtx,9669,9669,67391,471189,135067,3.488558,0.808117,0.956019
/matrix/2089_cage11.mtx,39082,39082,559722,8798562,3778791,2.328407,6.554600,8.203604
/matrix/1317_Trefethen_2000.mtx,2000,2000,41906,882010,275732,3.198794,0.487209,0.446737
/matrix/2424_bcsstk30.mtx,28924,28924,2043492,173481412,8689788,19.963826,23.496250,19.174572
/matrix/0698_bcspwr08.mtx,1624,1624,6050,27278,13247,2.059183,0.075436,0.112352
/matrix/2184_dc2.mtx,116835,116835,766396,13044214110,1774330806,7.351625,9.216400,10.999962
/matrix/2038_qc2534.mtx,2534,2534,463360,84728996,1295910,65.381852,5.312405,4.119137
/matrix/0198_can_96.mtx,96,96,768,6336,1920,3.300000,0.009159,0.007477
