mtx,gflops
mc2depi,6.54322
pkustk07,40.889726
msc10848,32.530115
rma10,48.626557
ramage02,66.845085
opt1,58.123742
TSC_OPF_1047,101.770828
trdheim,41.443516
heart3,31.099184
nemeth19,40.159904
raefsky3,52.384318
TSOPF_RS_b678_c2,14.76516
geomean,44.598446249999995
