index,mtx,gflops
161,1464_Oregon-2.mtx,0.965
162,2105_nemeth16.mtx,2.327
163,1883_s3rmq4m1.mtx,1.235
164,2103_crystm03.mtx,1.030
165,1978_vsp_south31_slptsk.mtx,1.850
166,1395_lock1074.mtx,0.315
167,2543_pkustk10.mtx,4.201
168,2250_la2010.mtx,0.717
169,1012_LeGresley_2508.mtx,0.020
170,2000_ca-AstroPh.mtx,1.602
171,0643_fpga_dcop_04.mtx,0.006
172,2247_co2010.mtx,0.635
173,2218_vsp_vibrobox_scagr7-2c_rlfddd.mtx,1.903
174,1110_G39.mtx,0.085
175,0121_impcol_b.mtx,0.000
176,1465_fe_4elt2.mtx,0.048
177,1901_EX6(0).mtx,0.998
178,2129_nd2010.mtx,0.439
179,2558_ship_001.mtx,4.693
180,0735_rdb1250.mtx,0.006
181,0860_adder_dcop_09.mtx,0.218
182,1587_cti.mtx,0.077
183,1713_ccc.mtx,0.057
184,1125_add32.mtx,0.025
185,2094_g7jac140sc.mtx,1.286
186,0145_west0132.mtx,0.000
187,1306_freeFlyingRobot_10.mtx,0.147
188,0610_dwt_607.mtx,0.006
189,1784_skirt(0).mtx,0.431
190,1506_xingo3012.mtx,0.061
191,2669_test1.mtx,4.309
192,0394_gre_512.mtx,0.001
193,0452_ck400.mtx,0.003
194,1475_powersim.mtx,0.057
195,0285_oscil_dcop_38.mtx,0.001
196,1800_g7jac060.mtx,0.461
197,2241_crplat2.mtx,2.683
198,1801_vsp_barth5_1Ksep_50in_5Kout.mtx,0.152
199,0635_plat362.mtx,0.011
200,1385_mbeacxc.mtx,0.583
201,0437_fs_680_1.mtx,0.002
202,2015_onera_dual.mtx,0.249
203,0880_adder_dcop_62.mtx,0.194
204,0326_oscil_dcop_32.mtx,0.001
205,2042_OPF_10000.mtx,0.664
206,2230_ne2010.mtx,0.590
207,0523_can_445.mtx,0.004
208,1451_c-35.mtx,0.238
209,1870_a5esindl.mtx,1.826
210,1900_EX5(0).mtx,1.034
211,2398_appu.mtx,2.549
212,2342_web-NotreDame.mtx,2.512
213,0379_west0479.mtx,0.001
214,0806_laser.mtx,0.004
215,2582_para-8.mtx,3.579
216,2515_parabolic_fem.mtx,1.620
217,2307_amazon0302.mtx,0.578
218,0816_G16.mtx,0.028
219,0168_lnsp_131.mtx,0.000
220,2214_ch7-8-b5.mtx,0.511
221,2238_soc-Slashdot0902.mtx,2.174
222,0440_tumorAntiAngiogenesis_2.mtx,0.016
223,1578_ex26.mtx,0.553
224,2786_hugebubbles-00000.mtx,2.944
225,1760_epb2.mtx,0.146
226,0646_fpga_dcop_29.mtx,0.006
227,0537_1138_bus.mtx,0.003
228,2037_tandem_dual.mtx,0.272
229,0862_adder_dcop_11.mtx,0.206
230,0275_dwt_245.mtx,0.001
231,1285_jan99jac020.mtx,0.043
232,0481_str_400.mtx,0.004
233,1993_nemeth03.mtx,1.351
234,1550_bcsstk13.mtx,0.517
235,2017_cit-HepPh.mtx,0.655
236,0192_bcsstk22.mtx,0.001
