mtx,gflops
mc2depi,123.543
pkustk07,186.062
msc10848,137.598
rma10,219.561
ramage02,198.535
opt1,213.038
TSC_OPF_1047,183.355
trdheim,171.078
heart3,138.288
nemeth19,110.956
raefsky3,154.677
TSOPF_RS_b678_c2,144.857
geomean,165.129
