mtx,gflops
mc2depi,6.809
pkustk07,43.5
msc10848,38.64
rma10,33.934
ramage02,44.329
opt1,47.446
TSC_OPF_1047,-1.0
trdheim,48.858
heart3,24.528
nemeth19,31.924
raefsky3,34.937
TSOPF_RS_b678_c2,14.303
geomean,30.684
