mtx,gflops
mc2depi,61.188
pkustk07,79.627
msc10848,78.183
rma10,80.026
ramage02,77.117
opt1,80.601
TSC_OPF_1047,80.161
trdheim,80.205
heart3,71.379
nemeth19,72.542
raefsky3,79.65
TSOPF_RS_b678_c2,83.354
geomean,77.00275
