index,mtx,gflops
0,1009_lp_ship12l.mtx,-1.0
1,0637_bcspwr07.mtx,0.028
2,1471_thermal.mtx,1.415
3,2201_fe_ocean.mtx,4.033
4,2480_Trec14.mtx,-1.0
5,1657_bloweybl.mtx,13.7
6,0494_str_600.mtx,0.033
7,0153_sphere2.mtx,0.003
8,2027_GT01R.mtx,16.41
9,0309_oscil_dcop_01.mtx,0.006
10,2149_TSOPF_RS_b39_c19.mtx,4.349
11,2687_venturiLevel3.mtx,30.426
12,1504_descriptor_xingo6u.mtx,0.396
13,1396_aa6.mtx,-1.0
14,2397_com-Amazon.mtx,12.313
15,1460_rajat07.mtx,0.322
16,2193_ky2010.mtx,4.697
17,0491_685_bus.mtx,0.019
18,0944_grid2_dual.mtx,0.05
19,2132_blockqp1.mtx,-1.0
20,0035_n3c4-b3.mtx,-1.0
21,2749_nlpkkt80.mtx,-1.0
22,0267_n3c6-b2.mtx,-1.0
23,0686_fpga_dcop_21.mtx,0.047
24,2023_loc-Brightkite.mtx,11.762
25,0297_oscil_dcop_13.mtx,0.007
26,1443_viscoplastic1.mtx,1.207
27,0908_adder_dcop_52.mtx,1.835
28,0067_lpi_woodinfe.mtx,-1.0
29,0287_oscil_dcop_24.mtx,0.006
30,1562_tuma1.mtx,0.357
31,0824_p2756.mtx,-1.0
32,2297_Linux_call_graph.mtx,3.173
33,1768_brainpc2.mtx,10.522
34,1655_conf6_0-4x4-20.mtx,3.976
35,0594_tumorAntiAngiogenesis_6.mtx,0.265
36,0365_tols90.mtx,0.043
37,2203_rel8.mtx,-1.000
38,0879_adder_dcop_61.mtx,1.788
39,2422_net100.mtx,22.668
40,1922_lp_osa_14.mtx,-1.000
41,2529_ASIC_680k.mtx,-1.000
42,0715_minnesota.mtx,0.020
43,2486_rgg_n_2_18_s0.mtx,20.082
44,0068_mycielskian5.mtx,0.001
45,1459_car4.mtx,-1.000
46,0666_fpga_dcop_39.mtx,0.050
47,2507_amazon0601.mtx,17.417
48,2151_neos2.mtx,-1.000
49,1454_gen.mtx,-1.000
50,1176_tomography.mtx,3.410
51,0763_jagmesh5.mtx,0.052
52,2470_GL7d23.mtx,-1.000
53,1473_flowmeter0.mtx,0.411
54,2089_cage11.mtx,6.164
55,0106_bibd_9_3.mtx,-1.000
56,1317_Trefethen_2000.mtx,0.917
57,2424_bcsstk30.mtx,40.553
58,0698_bcspwr08.mtx,0.030
59,2789_road_usa.mtx,-1.000
60,2184_dc2.mtx,-1.000
61,2038_qc2534.mtx,36.103
62,0198_can_96.mtx,0.007
63,1536_c-40.mtx,9.909
64,2177_copter2.mtx,7.695
65,1352_IG5-12.mtx,-1.000
66,1792_world.mtx,-1.000
67,1715_case9.mtx,13.180
68,0900_adder_dcop_22.mtx,1.564
69,1265_GL7d12.mtx,-1.000
70,0792_nnc1374.mtx,0.061
71,1600_ex15.mtx,1.460
72,0578_cdde2.mtx,0.020
73,0238_rdb200l.mtx,0.007
74,1185_deter5.mtx,-1.000
75,0609_cage.mtx,0.073
76,0253_mk10-b1.mtx,-1.000
77,1544_jan99jac040sc.mtx,0.715
78,1362_kneser_8_3_1.mtx,-1.000
79,1829_s2rmt3m1.mtx,7.257
80,2099_ut2010.mtx,4.354
81,0789_mhda416.mtx,0.179
82,1805_mario001.mtx,1.302
83,0104_IG5-6.mtx,-1.000
84,0622_GL6_D_7.mtx,
85,2670_TSOPF_FS_b300_c3.mtx,-1.000
86,1192_c-28.mtx,0.567
87,2401_imagesensor.mtx,12.234
88,1601_sctap1-2b.mtx,-1.000
89,2060_soc-Epinions1.mtx,13.363
90,2109_mri1.mtx,-1.000
91,0187_rel5.mtx,-1.000
92,1047_bcsstm12.mtx,0.305
93,1067_kineticBatchReactor_1.mtx,1.080
94,0447_lnsp_511.mtx,0.019
95,0781_poli.mtx,0.016
96,0984_pde2961.mtx,0.074
97,1288_nasa1824(0).mtx,0.819
98,1019_spaceStation_10.mtx,0.315
99,1061_rw5151.mtx,0.078
100,2304_mycielskian13.mtx,10.177
101,1786_bfly.mtx,0.769
102,2440_H2O.mtx,14.911
103,0082_lap_25.mtx,0.001
104,2750_nd24k.mtx,-1.000
105,0478_ch8-8-b1.mtx,-1.000
106,0772_G32.mtx,0.035
107,0149_gre_115.mtx,0.002
108,1442_sit100.mtx,0.424
109,1527_LFAT5000.mtx,0.340
110,0485_G12.mtx,0.013
111,1163_freeFlyingRobot_6.mtx,0.646
112,0626_n3c6-b3.mtx,-1.000
113,0327_oscil_dcop_33.mtx,0.007
114,0536_nnc666.mtx,0.029
115,0871_adder_dcop_67.mtx,1.792
116,2600_Chevron4.mtx,35.110
117,2280_ks2010.mtx,5.213
118,1673_lp_fit2d.mtx,-1.000
119,0566_bp_800.mtx,0.022
120,0402_Chebyshev1.mtx,0.018
121,1251_dynamicSoaringProblem_6.mtx,2.700
122,2818_Flan_1565.mtx,-1.000
123,1296_G27.mtx,0.840
124,2264_Dubcova2.mtx,9.900
125,0117_pivtol.mtx,0.001
126,2668_delaunay_n21.mtx,33.538
127,2584_para-5.mtx,21.177
128,1087_bcspwr10.mtx,0.108
129,0258_gams30am.mtx,-1.000
130,1136_freeFlyingRobot_5.mtx,0.487
131,0535_bp_400.mtx,0.019
132,0611_netz4504.mtx,0.017
133,1730_vt2010.mtx,0.990
134,0421_dwb512.mtx,0.011
135,0029_bcsstm01.mtx,0.000
136,1417_model9.mtx,-1.000
137,2551_TSOPF_FS_b300.mtx,-1.000
138,2066_ted_AB_unscaled.mtx,18.492
139,0504_dwt_512.mtx,0.025
140,1734_c-49.mtx,4.527
141,2301_caidaRouterLevel.mtx,14.598
142,2172_brack2.mtx,6.816
143,1357_Oregon-1.mtx,7.456
144,0916_adder_dcop_35.mtx,1.754
145,0707_n4c5-b9.mtx,
146,1186_TF14.mtx,-1.000
147,2699_af_5_k101.mtx,22.507
148,2760_road_central.mtx,-1.000
149,0459_wm1.mtx,-1.000
150,0272_dwt_198.mtx,0.011
151,0956_lp_ship08l.mtx,-1.000
152,2517_power197k.mtx,14.046
153,2324_nemeth22.mtx,48.685
154,2044_wathen100.mtx,5.265
155,0740_cavity02.mtx,0.248
156,1932_EAT_RS.mtx,6.482
157,2459_c8_mat11.mtx,-1.000
158,0343_lpi_chemcom.mtx,-1.000
159,0055_bcsstm03.mtx,0.000
160,0848_cage8.mtx,0.126
161,0111_ex5.mtx,0.003
162,1957_mark3jac120sc.mtx,2.406
163,1749_mark3jac060sc.mtx,1.203
164,0393_gas11.mtx,-1.000
165,2310_ok2010.mtx,7.799
166,2565_LargeRegFile.mtx,-1.000
167,2014_nv2010.mtx,2.765
168,1220_cavity08.mtx,1.144
169,1147_lnsp3937.mtx,0.210
170,1830_s3rmt3m1.mtx,7.512
171,1128_spaceShuttleEntry_2.mtx,2.026
172,1494_EX4(0).mtx,1.923
173,2660_fcondp2.mtx,40.427
174,0427_M20PI_n1.mtx,0.007
175,1962_cond-mat-2005.mtx,7.161
