mtx,gflops
mc2depi,9.379111
pkustk07,38.559433
msc10848,84.774434
rma10,85.766105
ramage02,124.521912
opt1,143.443137
TSC_OPF_1047,666.526192
trdheim,240.062535
heart3,273.748869
nemeth19,352.271117
raefsky3,396.976452
TSOPF_RS_b678_c2,44.504309
geomean,205.04446716666664
