index,mtx,m,n,nnz,right-n,pixel_gflops
1239,1585_cond-mat.mtx,16726,16726,95188,8,43.515
1240,2535_Hardesty2.mtx,929901,303645,4020731,8,268.049
1241,0774_G33.mtx,2000,2000,8000,8,14.222
1242,1159_bcsstk21.mtx,3600,3600,26600,8,42.560
1243,2400_ch8-8-b4.mtx,376320,117600,1881600,8,179.200
1244,1274_G7.mtx,800,800,38352,8,47.202
1245,2031_cont-201.mtx,80595,80595,438795,8,184.756
1246,0817_lp_stocfor2.mtx,2157,3045,9357,8,13.610
1247,2572_Si34H36.mtx,97569,97569,5156379,8,221.185
1248,0895_adder_dcop_21.mtx,1813,1813,11246,8,8.997
1249,1273_lp_qap12.mtx,3192,8856,38304,8,30.643
1250,0161_rw136.mtx,136,136,479,8,0.958
1251,2194_m133-b3.mtx,200200,200200,800800,8,90.231
1252,1207_dynamicSoaringProblem_3.mtx,2871,2871,32022,8,30.138
1253,1403_ch7-9-b2.mtx,17640,1512,52920,8,76.975
1254,1934_pwt(0).mtx,36519,36519,326107,8,158.112
1255,1360_rajat06.mtx,10922,10922,46983,8,53.695
1256,2659_bmw3_2.mtx,227362,227362,11288630,8,397.837
1257,0209_robot.mtx,120,120,870,8,1.160
1258,2455_vsp_msc10848_300sep_100in_1Kout.mtx,21996,21996,2442056,8,44.963
1259,2382_pcrystk03.mtx,24696,24696,1751178,8,329.634
1260,0225_CAG_mat72.mtx,72,72,1012,8,1.349
1261,0271_rajat05.mtx,301,301,1384,8,2.013
1262,1961_ncvxbqp1.mtx,50000,50000,349968,8,127.261
1263,1277_G5.mtx,800,800,38352,8,43.831
1264,0676_fpga_dcop_01.mtx,1220,1220,5892,8,6.285
1265,0533_tub1000.mtx,1000,1000,3996,8,7.992
1266,2233_NotreDame_www.mtx,325729,325729,929849,8,107.809
1267,1470_bips07_2476.mtx,16861,16861,66498,8,62.586
1268,0770_olm2000.mtx,2000,2000,7996,8,15.992
1269,0470_ch7-9-b1.mtx,1512,63,3024,8,6.048
1270,1482_dtoc.mtx,24993,24993,69972,8,86.119
1271,0920_adder_dcop_50.mtx,1813,1813,11246,8,8.568
1272,2032_TEM27623.mtx,27623,27623,439469,8,121.233
1273,2004_nemeth10.mtx,9506,9506,401448,8,256.927
1274,2447_c-big.mtx,345241,345241,2341011,8,127.837
1275,2434_matrix_9.mtx,103430,103430,2121550,8,282.873
1276,1771_sctap1-2r.mtx,28830,63426,186366,8,114.687
1277,2282_bcsstk37.mtx,25503,25503,1140977,8,309.417
1278,2127_bcsstk29.mtx,13992,13992,619488,8,309.744
1279,1343_n3c6-b6.mtx,6435,5005,45045,8,60.060
