index,mtx,gflops
0,1009_lp_ship12l.mtx,3.72
1,0637_bcspwr07.mtx,1.165
2,1471_thermal.mtx,13.306
3,2201_fe_ocean.mtx,145.633
4,2480_Trec14.mtx,255.312
5,1657_bloweybl.mtx,0.456
6,0494_str_600.mtx,1.049
7,0153_sphere2.mtx,0.09
8,2027_GT01R.mtx,68.945
9,0309_oscil_dcop_01.mtx,0.309
10,2149_TSOPF_RS_b39_c19.mtx,99.521
11,2687_venturiLevel3.mtx,188.128
12,1504_descriptor_xingo6u.mtx,14.783
13,1396_aa6.mtx,10.346
14,2397_com-Amazon.mtx,50.217
15,1460_rajat07.mtx,12.783
16,2193_ky2010.mtx,90.032
17,0491_685_bus.mtx,0.866
18,0944_grid2_dual.mtx,2.445
19,2132_blockqp1.mtx,102.405
20,0035_n3c4-b3.mtx,0.019
21,2749_nlpkkt80.mtx,250.97
22,0267_n3c6-b2.mtx,0.437
23,0686_fpga_dcop_21.mtx,1.178
24,2023_loc-Brightkite.mtx,62.277
25,0297_oscil_dcop_13.mtx,0.309
26,1443_viscoplastic1.mtx,12.233
27,0908_adder_dcop_52.mtx,0.31
28,0067_lpi_woodinfe.mtx,0.045
29,0287_oscil_dcop_24.mtx,0.309
30,1562_tuma1.mtx,28.083
31,0824_p2756.mtx,0.775
32,2297_Linux_call_graph.mtx,37.927
33,1768_brainpc2.mtx,0.431
34,1655_conf6_0-4x4-20.mtx,23.962
35,0594_tumorAntiAngiogenesis_6.mtx,0.479
36,0365_tols90.mtx,0.349
37,2203_rel8.mtx,87.663
38,0879_adder_dcop_61.mtx,0.31
39,2422_net100.mtx,171.217
40,1922_lp_osa_14.mtx,2.699
41,2529_ASIC_680k.mtx,167.428
42,0715_minnesota.mtx,1.321
43,2486_rgg_n_2_18_s0.mtx,190.435
44,0068_mycielskian5.mtx,0.045
45,1459_car4.mtx,12.745
46,2544_pdb1HYS.mtx,331.03
47,2592_consph.mtx,282.846
48,2534_cant.mtx,337.464
49,2663_pwtk.mtx,238.655
50,2449_rma10.mtx,271.314
51,2409_conf5_4-8x8-05.mtx,180.417
52,2621_shipsec1.mtx,227.299
53,2309_mac_econ_fwd500.mtx,135.828
54,2430_mc2depi.mtx,186.687
55,2465_cop20k_A.mtx,116.637
56,2240_scircuit.mtx,118.023
57,2488_webbase-1M.mtx,8.146
58,2784_af_shell10.mtx,265.854
59,2613_pkustk12.mtx,179.399
60,2657_SiO2.mtx,247.31
61,2268_case39.mtx,138.955
62,2633_TSOPF_FS_b300_c2.mtx,237.762
63,2641_gupta3.mtx,150.682
64,2184_dc2.mtx,0.229
65,2825_mawi_201512020030.mtx,0.047
66,0666_fpga_dcop_39.mtx,1.178
67,2507_amazon0601.mtx,193.565
68,2151_neos2.mtx,84.318
69,1454_gen.mtx,6.729
70,1176_tomography.mtx,5.745
71,0763_jagmesh5.mtx,1.550
72,1473_flowmeter0.mtx,17.971
73,2089_cage11.mtx,81.414
74,0106_bibd_9_3.mtx,0.050
75,1317_Trefethen_2000.mtx,8.381
76,2424_bcsstk30.mtx,204.349
77,0698_bcspwr08.mtx,1.210
78,2789_road_usa.mtx,140.539
79,2038_qc2534.mtx,74.138
80,0198_can_96.mtx,0.154
81,1536_c-40.mtx,2.557
82,2177_copter2.mtx,101.327
83,1352_IG5-12.mtx,9.252
84,1792_world.mtx,35.357
85,1715_case9.mtx,29.594
86,0900_adder_dcop_22.mtx,0.310
87,1265_GL7d12.mtx,10.005
88,0792_nnc1374.mtx,1.721
89,1600_ex15.mtx,31.575
90,0578_cdde2.mtx,1.498
91,0238_rdb200l.mtx,0.224
92,1185_deter5.mtx,5.943
93,0609_cage.mtx,1.025
94,0253_mk10-b1.mtx,0.252
95,1544_jan99jac040sc.mtx,16.568
96,1362_kneser_8_3_1.mtx,12.545
97,1829_s2rmt3m1.mtx,58.539
98,2099_ut2010.mtx,70.408
99,0789_mhda416.mtx,1.712
100,1805_mario001.mtx,32.985
101,0104_IG5-6.mtx,0.050
102,0622_GL6_D_7.mtx,1.076
103,2670_TSOPF_FS_b300_c3.mtx,250.208
