mtx,gflops
mc2depi,102.036875
pkustk07,144.251193
msc10848,129.450316
rma10,193.298946
ramage02,202.927575
opt1,171.636663
TSC_OPF_1047,188.3371
trdheim,220.32377
heart3,79.395
nemeth19,178.649056
raefsky3,121.383449
TSOPF_RS_b678_c2,474.41786
geomean,183.84231691666665
