index,mtx,m,n,nnz,cusparse,pixel_time,pixel_gflops
2010,2527_roadNet-TX.mtx,1393383,1393383,3843320,0.000,0.400,19.225
2011,0243_lp_share1b.mtx,117,253,1179,0.000,0.004,0.533
2012,0306_oscil_dcop_20.mtx,430,430,1544,0.000,0.004,0.690
2013,2199_TSOPF_RS_b162_c4.mtx,20374,20374,812749,0.000,0.008,215.013
2014,2633_TSOPF_FS_b300_c2.mtx,56814,56814,8767466,0.000,0.065,268.184
2015,1363_mk11-b4b.mtx,9450,17325,47250,0.000,0.005,20.611
2016,2123_rajat25.mtx,87190,87190,607235,0.000,0.026,47.058
2017,1339_ge.mtx,10099,16369,44825,0.000,0.008,10.657
2018,1951_Kuu.mtx,7102,7102,340200,0.000,0.005,125.281
2019,0777_rosen7.mtx,264,776,8034,0.000,0.006,2.647
2020,0995_robot24c1_mat5.mtx,404,302,15118,0.000,0.005,5.571
2021,2245_nemeth20.mtx,9506,9506,971870,0.000,0.007,267.622
2022,0360_lp_scagr25.mtx,471,671,1725,0.000,0.004,0.801
2023,1987_nmos3.mtx,18588,18588,386594,0.000,0.017,44.867
2024,2454_net4-1.mtx,88343,88343,2441727,0.000,0.062,78.659
2025,0004_Trec4.mtx,2,3,3,0.000,0.002,0.003
2026,1675_rajat10.mtx,30202,30202,130303,0.000,0.009,27.513
2027,1375_mimo8x8_system.mtx,13309,13309,48872,0.000,0.005,21.553
2028,0096_cage5.mtx,37,37,233,0.000,0.004,0.130
2029,1333_lp_pilot.mtx,1441,4860,44375,0.000,0.006,15.925
2030,2591_com-Youtube.mtx,1134890,1134890,5975248,0.000,1.210,9.873
2031,2001_mark3jac140sc.mtx,64089,64089,399735,0.000,0.024,32.687
2032,0647_fpga_dcop_26.mtx,1220,1220,5892,0.000,0.005,2.503
2033,1204_p2p-Gnutella05.mtx,8846,8846,31839,0.000,0.008,7.940
2034,1050_p6000.mtx,2095,7967,19826,0.000,0.005,7.775
2035,0776_GD06_Java.mtx,1538,1538,8032,0.000,0.005,3.524
