mtx,gflops
mc2depi,78.7257
pkustk07,108.349
msc10848,83.3331
rma10,102.142
ramage02,113.144
opt1,102.005
TSC_OPF_1047,92.8918
trdheim,99.1561
heart3,67.0077
nemeth19,70.4912
raefsky3,96.0034
TSOPF_RS_b678_c2,128.398
geomean,95.13725
