mtx,gflops
mc2depi,64.622
pkustk07,80.627
msc10848,64.725
rma10,84.786
ramage02,90.995
opt1,78.802
TSC_OPF_1047,87.691
trdheim,75.895
heart3,44.051
nemeth19,49.594
raefsky3,72.623
TSOPF_RS_b678_c2,121.972
geomean,76.36525000000002
