mtx,gflops
mc2depi,230.162
pkustk07,280.441
msc10848,298.128
rma10,351.704
ramage02,413.168
opt1,391.019
TSC_OPF_1047,672.301
trdheim,455.37
heart3,376.716
nemeth19,436.428
raefsky3,541.37
TSOPF_RS_b678_c2,1033.17
geomean,456.66475
