mtx,gflops
mc2depi,159.03
pkustk07,182.938
msc10848,137.705
rma10,179.224
ramage02,196.912
opt1,175.164
TSC_OPF_1047,186.095
trdheim,175.095
heart3,108.752
nemeth19,117.235
raefsky3,163.135
TSOPF_RS_b678_c2,145.924
geomean,160.60074999999998
