mtx,gflops
mc2depi,219.207559
pkustk07,248.114373
msc10848,217.319955
rma10,274.298076
ramage02,259.460642
opt1,257.635154
TSC_OPF_1047,199.310316
trdheim,232.274653
heart3,118.037844
nemeth19,180.699012
raefsky3,257.884457
TSOPF_RS_b678_c2,258.878612
geomean,226.92672108333332
