index,mtx,gflops
0,1009_lp_ship12l.mtx,16.385
1,0637_bcspwr07.mtx,5.865
2,1471_thermal.mtx,59.752
3,2201_fe_ocean.mtx,179.336
4,2480_Trec14.mtx,253.260
5,1657_bloweybl.mtx,79.720
6,0494_str_600.mtx,3.745
7,0153_sphere2.mtx,0.518
8,2027_GT01R.mtx,180.451
9,0309_oscil_dcop_01.mtx,1.759
10,2149_TSOPF_RS_b39_c19.mtx,198.849
11,2687_venturiLevel3.mtx,201.477
12,1504_descriptor_xingo6u.mtx,66.324
13,1396_aa6.mtx,46.709
14,2397_com-Amazon.mtx,177.250
15,1460_rajat07.mtx,57.162
16,2193_ky2010.mtx,175.431
17,0491_685_bus.mtx,3.285
18,0944_grid2_dual.mtx,12.313
19,2132_blockqp1.mtx,180.877
20,0035_n3c4-b3.mtx,0.069
21,2749_nlpkkt80.mtx,259.824
22,0267_n3c6-b2.mtx,1.574
23,0686_fpga_dcop_21.mtx,5.991
24,2023_loc-Brightkite.mtx,145.570
25,0297_oscil_dcop_13.mtx,1.731
26,1443_viscoplastic1.mtx,54.459
27,0908_adder_dcop_52.mtx,11.199
28,0067_lpi_woodinfe.mtx,0.159
29,0287_oscil_dcop_24.mtx,1.746
30,1562_tuma1.mtx,63.853
31,0824_p2756.mtx,9.715
32,2297_Linux_call_graph.mtx,182.604
33,1768_brainpc2.mtx,96.073
34,1655_conf6_0-4x4-20.mtx,96.322
35,0594_tumorAntiAngiogenesis_6.mtx,5.478
36,0365_tols90.mtx,2.007
37,2203_rel8.mtx,174.945
38,0879_adder_dcop_61.mtx,11.232
39,2422_net100.mtx,239.186
40,1922_lp_osa_14.mtx,150.557
41,2529_ASIC_680k.mtx,216.634
42,0715_minnesota.mtx,6.772
43,2486_rgg_n_2_18_s0.mtx,214.522
44,0068_mycielskian5.mtx,0.164
45,1459_car4.mtx,57.392
46,2825_mawi_201512020030.mtx,161.523
47,0666_fpga_dcop_39.mtx,5.850
48,2507_amazon0601.mtx,214.056
49,2151_neos2.mtx,173.942
50,1454_gen.mtx,56.156
51,1176_tomography.mtx,32.121
52,0763_jagmesh5.mtx,7.695
53,2470_GL7d23.mtx,206.250
54,1473_flowmeter0.mtx,60.519
55,2089_cage11.mtx,176.752
56,0106_bibd_9_3.mtx,0.285
57,1317_Trefethen_2000.mtx,41.353
58,2424_bcsstk30.mtx,246.057
59,0698_bcspwr08.mtx,6.063
60,2789_road_usa.mtx,151.366
61,2184_dc2.mtx,176.784
62,2038_qc2534.mtx,182.505
63,0198_can_96.mtx,0.873
64,1536_c-40.mtx,70.943
65,2177_copter2.mtx,179.897
66,1352_IG5-12.mtx,41.388
67,1792_world.mtx,112.837
68,1715_case9.mtx,98.754
69,0900_adder_dcop_22.mtx,11.281
70,1265_GL7d12.mtx,37.695
71,0792_nnc1374.mtx,8.685
72,1600_ex15.mtx,72.342
73,0578_cdde2.mtx,4.647
74,0238_rdb200l.mtx,1.259
75,1185_deter5.mtx,29.464
76,0609_cage.mtx,5.865
77,0253_mk10-b1.mtx,1.301
78,1544_jan99jac040sc.mtx,67.000
79,1362_kneser_8_3_1.mtx,37.396
80,1829_s2rmt3m1.mtx,124.655
81,2099_ut2010.mtx,155.063
82,0789_mhda416.mtx,9.632
83,1805_mario001.mtx,116.843
84,0104_IG5-6.mtx,0.282
85,0622_GL6_D_7.mtx,5.344
86,2670_TSOPF_FS_b300_c3.mtx,266.768
87,1192_c-28.mtx,30.965
88,2401_imagesensor.mtx,212.452
89,1601_sctap1-2b.mtx,73.073
