index,mtx,m,n,nnz,mp16,mp4,mpnz,128-ds-cycle,128-ds-mac,128-rm-cycle,128-rm-mac,128-smu-cycle,128-smu-mac,128-ds-energy,128-rm-energy,128-smu-energy,128-smu-speedup,64-ds-cycle,64-ds-mac,64-rm-cycle,64-rm-mac,64-smu-cycle,64-smu-mac,64-ds-energy,64-rm-energy,64-smu-energy,64-smu-speedup,128-ds-mt125,128-ds-mt25,128-ds-mt50,128-ds-mt75,128-ds-mt100,128-rm-mt125,128-rm-mt25,128-rm-mt50,128-rm-mt75,128-rm-mt100,128-smu-mt125,128-smu-mt25,128-smu-mt50,128-smu-mt75,128-smu-mt100,64-ds-mt125,64-ds-mt25,64-ds-mt50,64-ds-mt75,64-ds-mt100,64-rm-mt125,64-rm-mt25,64-rm-mt50,64-rm-mt75,64-rm-mt100,64-smu-mt125,64-smu-mt25,64-smu-mt50,64-smu-mt75,64-smu-mt100,128-ds-a-ntr,128-ds-b-ntr,128-ds-c-ntr,128-rm-a-ntr,128-rm-b-ntr,128-rm-c-ntr,128-smu-a-ntr,128-smu-b-ntr,128-smu-c-ntr,64-ds-a-ntr,64-ds-b-ntr,64-ds-c-ntr,64-rm-a-ntr,64-rm-b-ntr,64-rm-c-ntr,64-smu-a-ntr,64-smu-b-ntr,64-smu-c-ntr,128-ds-nt125,128-ds-nt25,128-ds-nt50,128-ds-nt75,128-ds-nt100,128-rm-nt125,128-rm-nt25,128-rm-nt50,128-rm-nt75,128-rm-nt100,128-smu-nt125,128-smu-nt25,128-smu-nt50,128-smu-nt75,128-smu-nt100,64-ds-nt125,64-ds-nt25,64-ds-nt50,64-ds-nt75,64-ds-nt100,64-rm-nt125,64-rm-nt25,64-rm-nt50,64-rm-nt75,64-rm-nt100,64-smu-nt125,64-smu-nt25,64-smu-nt50,64-smu-nt75,64-smu-nt100,128-rm-c-nut,128-smu-a-nut,128-smu-b-nut,128-smu-c-nut,64-rm-c-nut,64-smu-a-nut,64-smu-b-nut,64-smu-c-nut
0,0580_cdde4.mtx,961,961,4681,1471,11225,22917,9153,1.96,1751,10.22,2669,6.71,444.62,295.11,247.20,0.00,9153,3.91,2907,12.32,2669,13.42,444.62,298.52,247.20,0.00,9153,0,0,0,0,1399,116,176,60,0,2301,261,107,0,0,8368,785,0,0,0,2203,256,328,120,0,1865,436,261,101,6,14379,14379,22917,14379,18224,32747,21583,22247,20129,14379,14379,22917,14379,18518,32747,21583,22247,20129,22917,0,0,0,0,12714,16518,3515,0,0,8209,1392,7340,150,3038,22917,0,0,0,0,12714,16518,3515,0,0,8209,1392,7340,150,3038,29280.96,6189.47,6605.60,14296.77,29485.53,6189.47,6605.60,14296.77
1,1700_stokes64.mtx,12546,12546,140034,65305,312577,1636122,331042,3.86,77425,16.51,100749,12.69,24967.91,18132.42,12285.65,0.00,331042,7.72,102801,24.87,100765,25.37,24967.91,18314.54,12274.87,0.00,331042,0,0,0,0,47249,8352,15376,6448,0,62699,19807,17275,968,0,271651,59391,0,0,0,46825,13999,27849,14128,0,47545,14768,20209,12314,5929,724301,724301,1636122,724301,990556,1711518,1026430,1042762,1196122,724301,724301,1636122,724301,1032084,1711518,1026630,1038394,1196122,1636122,0,0,0,0,105938,1116105,489475,0,0,160899,167964,351638,330355,185266,1636122,0,0,0,0,105938,1116105,489475,0,0,160899,167964,351638,330355,185266,1413930.95,375615.20,383541.28,842174.48,1526957.24,374690.33,380880.93,844490.85
2,0135_GD06_theory.mtx,101,101,380,343,2414,4070,916,3.47,537,5.92,563,5.65,68.23,38.03,33.87,0.00,956,6.65,850,7.48,563,11.30,68.23,41.85,33.96,0.00,874,29,8,5,0,479,39,16,3,0,491,62,7,3,0,853,81,9,5,8,740,74,30,6,0,408,81,62,6,6,1748,1843,4070,2071,1756,5841,2311,2375,4008,1843,1843,4070,2071,2550,5841,2319,2399,4008,3337,357,376,0,0,1442,2394,2005,0,0,1600,1604,168,380,256,3393,677,0,0,0,1442,2394,2005,0,0,1600,1604,168,380,256,3579.93,650.21,674.80,3181.02,3906.41,652.18,690.15,3165.64
3,1835_lowThrust_12.mtx,18458,18458,224593,394455,4060168,105756931,1939671,42.60,1093729,75.54,1065849,77.52,964632.88,338700.67,414554.44,0.00,2750048,60.09,1988774,83.09,1874569,88.15,964632.88,398312.95,432210.00,0.00,1119981,9055,7184,635,802816,241785,33261,12437,6070,800176,224121,21538,9203,4204,806783,1106561,19375,12574,3352,1608186,289181,54943,35250,7630,1601770,178962,45925,22346,7020,1620316,8196926,14637442,105756931,27641096,8353011,55960462,8671479,27944827,53857116,14637442,14637442,105756931,27641096,14835802,55960462,15116826,27984190,53857116,2607231,339268,102810432,0,0,1807760,52646482,1506220,0,0,555060,610804,653784,441868,51595600,2735721,103021210,0,0,0,1807760,52646482,1506220,0,0,555060,610804,653784,441868,51595600,54760113.12,5331029.80,18958099.94,38079744.94,55209328.06,7193094.75,13624846.32,27384104.49
4,2038_qc2534.mtx,2534,2534,463360,44033,1627480,84728996,901785,73.40,779737,84.89,692338,95.61,576784.55,221523.49,248720.87,0.00,1620963,81.67,1480012,89.45,1340858,98.73,576784.55,269196.41,274751.42,0.00,195833,22652,43485,38203,601612,29127,59122,54836,31661,604991,9025,5244,28659,5049,644361,254547,25669,56394,57267,1227086,35995,84120,83172,42469,1234256,3996,6805,9417,5481,1315159,6515596,11714853,84728996,22146128,6556022,44610590,12957307,21989314,22810600,11714853,11714853,84728996,22146128,11753815,44610590,22230087,22310859,22810600,2621688,2344178,79763130,0,0,452984,42448554,1709052,0,0,9290,546120,237376,1581824,20435990,3912534,80816462,0,0,0,452984,42448554,1709052,0,0,9290,546120,237376,1581824,20435990,43571017.31,6705100.22,11250292.83,12695493.44,44084018.54,8296998.89,8344090.01,9602102.89
5,1242_soc-sign-bitcoin-otc.mtx,5881,5881,35592,1140791,2157856,2301858,977823,1.84,971914,1.85,953055,1.89,46723.59,30467.06,21025.21,0.00,981485,3.66,1140695,3.15,953075,3.77,46723.59,32251.91,21027.39,0.00,970349,6495,917,56,6,966707,4743,427,37,0,946096,6368,558,24,9,948899,25872,5956,604,154,1125298,14016,1278,99,4,916893,29208,6376,494,104,1395795,1511276,2301858,1455736,1530264,3709548,1509397,1619864,2293184,1402098,1511276,2301858,1455736,1815408,3709548,1509772,1620317,2293184,2258635,38303,4920,0,0,1851960,1276394,581194,0,0,1924629,289252,66783,11741,779,2269038,32820,0,0,0,1851960,1276394,581194,0,0,1924629,289252,66783,11741,779,1313961.41,231069.15,257809.36,1370782.44,1606318.04,231210.47,257979.46,1370650.95
6,1016_rbsa480.mtx,480,480,17088,18422,231593,608880,66632,7.14,66536,7.15,38370,12.40,8373.22,6232.11,4311.74,0.00,70004,13.59,90401,10.52,38634,24.63,8373.22,6654.89,4340.68,0.00,58606,5870,1922,223,11,57288,6811,2159,244,34,24960,9071,3801,470,68,48970,13572,6089,1215,158,70475,13816,5378,658,74,15164,9898,9137,2816,1619,164309,243217,608880,214935,383961,707686,337858,392170,525263,173418,243217,608880,214935,461299,707686,343662,397334,525263,505566,84376,18938,0,0,40166,195806,471714,0,0,138655,175656,174221,34872,1859,549141,59739,0,0,0,40166,195806,471714,0,0,138655,175656,174221,34872,1859,350537.56,120460.67,143429.87,438798.01,393589.34,122600.93,145043.90,436497.43
7,1759_c-45.mtx,13206,13206,174452,167392,3202594,97950686,1349613,56.70,1199260,63.81,882938,86.67,759143.25,311355.61,333260.15,0.00,2137298,71.61,2218838,68.98,1624576,94.21,759143.25,380360.02,363184.93,0.00,311788,151508,216626,80607,589084,129204,134617,334471,61374,539594,52873,22488,55018,44103,708456,273913,118745,316923,202386,1225331,146352,174906,674853,165268,1057459,33661,28152,48237,35167,1479359,8447378,14027519,97950686,25904893,9486626,59061892,16558444,26406277,37786816,14027519,14027519,97950686,25904893,16999570,59061892,25232213,28839976,37786816,6030603,11585403,80334680,0,0,1439644,44109296,13512952,0,0,164230,1560724,1785982,2456288,31819592,11280160,86670526,0,0,0,1439644,44109296,13512952,0,0,164230,1560724,1785982,2456288,31819592,55045053.37,9515021.65,15344942.44,27961388.71,55697424.47,10730870.84,12788038.06,21642178.01
8,0780_diag.mtx,2559,2559,8184,2370,15804,26588,7894,2.63,2565,8.10,3724,5.58,446.09,355.04,286.78,0.00,7894,5.26,3578,11.61,3724,11.16,446.09,368.22,286.78,0.00,7894,0,0,0,0,2249,127,30,159,0,3225,483,16,0,0,6578,1316,0,0,0,2783,365,111,317,2,2592,633,483,16,0,13327,13327,26588,13327,16884,32330,22052,23563,24509,13327,13327,26588,13327,19411,32330,22052,23563,24509,26588,0,0,0,0,8908,12080,11342,0,0,8698,7542,8269,0,0,26588,0,0,0,0,8908,12080,11342,0,0,8698,7542,8269,0,0,23481.77,6007.54,6486.72,18734.22,25292.32,6007.54,6486.72,18734.22
9,2481_TSOPF_RS_b300_c2.mtx,28338,28338,2943887,220899,2421356,23017811,2506896,7.17,784060,22.94,399080,45.06,406744.92,243538.51,202899.53,0.00,3197034,11.25,1316459,27.32,481043,74.77,406744.92,250906.93,202501.33,0.00,2506853,36,7,0,0,192294,462216,129506,43,1,79894,42317,188095,11660,77114,3196390,601,36,3,4,219704,748172,348461,107,15,44959,39113,44293,55069,297609,12434338,13084046,23017811,14559393,12383396,32347076,15164876,15405753,23015213,13124476,13084046,23017811,14559393,13093272,32347076,14980653,15420149,23015213,23017475,336,0,0,0,2517652,15880466,13948958,0,0,126097,3333731,211862,9060790,10282733,23017475,336,0,0,0,2517652,15880466,13948958,0,0,126097,3333731,211862,9060790,10282733,29174882.76,11013843.63,11347782.61,21492290.13,31057879.08,9435889.80,9725259.24,18654002.19
10,2166_nemeth01.mtx,9506,9506,725054,46655,1690877,56394380,738129,59.69,786454,56.02,513833,85.74,401163.68,197742.43,188583.30,0.00,1251607,70.40,1412900,62.37,935251,94.22,401163.68,237211.88,205083.02,0.00,126450,82735,115939,103924,309081,168980,88392,118343,97213,313526,19195,21020,37137,37218,399263,125882,120316,180254,145573,679582,230366,155617,223048,158629,645240,10660,15988,31929,29127,847547,4946160,8390285,56394380,15241147,9442260,36459795,12013245,16931143,19422551,8390285,8390285,56394380,15241147,14194046,36459795,17062703,17956511,19422551,3617367,5869387,46907626,0,0,848416,20426789,15184590,0,0,91844,1044872,2124825,2266764,13894246,7557599,48836781,0,0,0,848416,20426789,15184590,0,0,91844,1044872,2124825,2266764,13894246,33345394.65,6982547.34,9786676.17,14773477.09,33969605.52,7490847.17,7961177.25,12270028.66
11,1940_inlet.mtx,11730,11730,328323,54185,700739,9651407,330129,22.84,457422,16.48,167209,45.09,88178.80,58264.69,44158.05,0.00,456671,33.02,606161,24.88,218511,69.01,88178.80,62217.61,46646.93,0.00,153091,73496,61931,29637,11974,289802,83804,51675,19259,12882,42913,28672,33032,17868,44724,164836,101115,94728,45448,50544,298278,130483,96745,47081,33574,22048,22297,30632,22192,121342,1343367,2361462,9651407,2954467,3474178,8454538,3401948,3649821,4732165,1860103,2361462,9651407,2954467,3992014,8454538,3904355,4077780,4732165,3095535,2892751,3663121,0,0,533640,3471881,4449017,0,0,120677,976708,527745,1428414,1678621,4654193,4997214,0,0,0,533640,3471881,4449017,0,0,120677,976708,527745,1428414,1678621,5682181.85,1835910.44,1834111.77,3792348.77,6498318.93,1845047.60,1771331.30,3511881.16
12,0582_cdde6.mtx,961,961,4681,1471,11225,22917,9153,1.96,1751,10.22,2669,6.71,444.62,295.11,247.20,0.00,9153,3.91,2907,12.32,2669,13.42,444.62,298.52,247.20,0.00,9153,0,0,0,0,1399,116,176,60,0,2301,261,107,0,0,8368,785,0,0,0,2203,256,328,120,0,1865,436,261,101,6,14379,14379,22917,14379,18224,32747,21583,22247,20129,14379,14379,22917,14379,18518,32747,21583,22247,20129,22917,0,0,0,0,12714,16518,3515,0,0,8209,1392,7340,150,3038,22917,0,0,0,0,12714,16518,3515,0,0,8209,1392,7340,150,3038,29280.96,6189.47,6605.60,14296.77,29485.53,6189.47,6605.60,14296.77
13,2439_pkustk05.mtx,37164,37164,2205144,1105423,6201375,153376416,5497278,21.80,4244210,28.23,2083367,57.52,1342156.27,726048.68,536964.96,0.00,6027834,39.76,5524777,43.38,3001140,79.85,1342156.27,797725.73,577899.35,0.00,2015988,1234080,2032662,195558,18990,1052988,1416253,1465113,245193,64663,307514,269533,422520,426742,657058,848412,1629420,1355664,2041644,152694,705089,1667243,1852270,973916,326259,74335,177178,557239,349224,1843164,27537768,30253464,153376416,48360996,28351440,86705100,36530164,38246304,50091912,30253464,30253464,153376416,48360996,36037272,86705100,44032068,46362012,50091912,52862808,82285608,18228000,0,0,0,86705100,0,0,0,0,4043072,20141992,16416,25890432,62720496,90655920,0,0,0,0,86705100,0,0,0,0,4043072,20141992,16416,25890432,56308962.91,16856578.38,17761892.66,32701372.90,68936060.87,16920707.03,17888871.98,29121141.62
14,0896_adder_dcop_28.mtx,1813,1813,11246,64442,208557,1848518,59740,24.17,65528,22.04,49753,29.03,22234.95,8301.82,9614.09,0.00,73684,39.20,100943,28.61,63683,45.35,22234.95,9389.72,10194.63,0.00,45128,455,296,83,13778,37119,952,27430,27,0,34817,843,152,164,13777,43960,1334,376,1122,26892,43712,2311,54881,39,0,33393,1578,1173,1717,25822,187260,277557,1848518,522944,171058,2359396,214622,306268,1842705,297816,277557,1848518,522944,289679,2359396,220298,518966,1842705,103831,11697,1732990,0,0,110704,153421,2095271,0,0,64249,25549,18871,96984,1637052,103951,1744567,0,0,0,110704,153421,2095271,0,0,64249,25549,18871,96984,1637052,2260284.31,128402.86,229669.16,1802272.98,2273693.05,100380.24,316531.85,1326474.89
15,1104_mhd1280b.mtx,1280,1280,22778,700,13300,531046,11422,36.32,7495,55.35,4780,86.79,4030.88,1731.37,1902.75,0.00,14972,55.42,14990,55.35,8750,94.83,4030.88,2224.90,2020.06,0.00,3450,814,4994,2164,0,2,1084,3219,2726,464,114,227,504,201,3734,2666,2170,4364,1426,4346,252,2953,8051,808,2926,0,190,465,308,7787,62690,85494,531046,138650,62690,307806,121524,148084,166390,85494,85494,531046,138650,116038,307806,150016,162976,166390,52750,271176,207120,0,0,28,247138,60640,0,0,0,2700,38282,0,125408,188318,342728,0,0,0,28,247138,60640,0,0,0,2700,38282,0,125408,250827.82,66292.21,80830.23,110301.08,256688.87,60872.89,66692.67,87055.92
16,2291_nemeth21.mtx,9506,9506,1173746,74081,3599469,146859992,1616923,70.96,1657147,69.24,1242062,92.37,1008188.52,446567.52,461644.04,0.00,2917532,78.65,3132385,73.26,2372940,96.70,1008188.52,547535.73,507027.02,0.00,155867,120135,205440,226938,908543,171952,122224,248480,206832,907659,19430,22371,55644,53646,1090971,190700,169891,300264,353318,1903359,243542,193374,489517,389092,1816860,12970,20290,40787,55765,2243128,11462915,20682889,146859992,38927998,18678403,89117443,27637277,42232537,46210527,20682889,20682889,146859992,38927998,30575752,89117443,42412230,44171949,46210527,5132032,10547798,131180162,0,0,1259662,59540162,28317619,0,0,57198,1088488,3125827,10097844,31841170,12133747,134726245,0,0,0,1259662,59540162,28317619,0,0,57198,1088488,3125827,10097844,31841170,84108964.56,15934048.92,24126853.25,33878454.46,84907448.15,17982780.58,18891110.30,27487103.53
17,1293_G24.mtx,2000,2000,39980,1250913,2783654,840402,719835,0.91,596084,1.10,608955,1.08,21761.83,26262.40,10361.32,0.00,719835,1.82,675977,1.94,608955,2.16,21761.83,26540.72,10361.32,0.00,719834,1,0,0,0,596078,6,0,0,0,608954,1,0,0,0,719688,146,1,0,0,675896,80,1,0,0,608850,104,1,0,0,776346,776346,840402,776383,776801,1603256,853541,853665,839695,776346,776346,840402,776383,809847,1603256,853541,853665,839695,840402,0,0,0,0,1398968,203287,1001,0,0,836047,3474,165,9,0,840402,0,0,0,0,1398968,203287,1001,0,0,836047,3474,165,9,0,487749.34,93867.72,93892.15,369695.21,626980.95,93867.72,93892.15,369695.21
18,1222_poli_large.mtx,15575,15575,33074,10236,29274,78904,35527,1.74,21984,2.80,10906,5.65,1654.55,1243.78,966.90,0.00,37185,3.32,23634,5.22,10906,11.30,1654.55,1249.56,966.90,0.00,35329,193,5,0,0,21318,629,37,0,0,9960,904,42,0,0,36682,490,13,0,0,22561,968,103,2,0,7262,2698,904,40,2,40901,69282,78904,47379,74057,115971,57512,81142,76767,42758,69282,78904,47379,74857,115971,57512,81142,76767,78703,201,0,0,0,41084,31508,43379,0,0,13549,53333,9461,424,0,78904,0,0,0,0,41084,31508,43379,0,0,13549,53333,9461,424,0,56701.27,15787.81,24086.16,51824.42,65102.57,15787.81,24086.16,51824.42
19,1203_commanche_dual.mtx,7920,7920,31680,42687,126340,126720,67081,1.48,34812,2.84,38843,2.55,2681.81,2417.00,1575.18,0.00,67081,2.95,41738,4.74,38845,5.10,2681.81,2461.18,1575.18,0.00,67081,0,0,0,0,33921,497,351,43,0,38149,587,105,2,0,65541,1540,0,0,0,39242,1691,676,128,1,35862,2289,587,95,12,89476,89476,126720,89476,93824,190608,137317,138811,119294,89476,89476,126720,89476,101324,190608,137317,138811,119294,126720,0,0,0,0,93378,87574,9656,0,0,81134,25883,9377,2482,418,126720,0,0,0,0,93378,87574,9656,0,0,81134,25883,9377,2482,418,94741.48,26050.43,26496.63,72711.20,111036.99,26043.23,26489.42,72707.26
20,2728_CoupCons3D.mtx,416800,416800,22322336,5007740,19175062,1227203968,35492416,27.01,22765832,42.11,11056146,86.72,10506334.04,5914493.25,4135926.85,0.00,38197100,50.20,28901498,66.35,19175062,100.00,10506334.04,6051492.84,4393857.64,0.00,13804936,12599648,7764204,1293504,30124,0,13113064,5458200,2457612,1736956,0,0,2937230,0,8118916,0,15167752,15292448,0,7736900,0,0,19452872,0,9448626,0,0,0,0,19175062,198207648,214320896,1227203968,306800992,261146784,613601984,239740336,275472816,306800992,214320896,214320896,1227203968,306800992,275237712,613601984,306800992,306800992,306800992,624067712,475104000,128032256,0,0,0,613601984,0,0,0,0,0,0,0,306800992,732042368,495161600,0,0,0,0,613601984,0,0,0,0,0,0,0,306800992,441735675.84,112987810.01,130854050.01,146518138.01,522440155.28,108470530.96,108470530.96,108470530.96
21,2611_bmw7st_1.mtx,141347,141347,7339667,1649411,16697523,404009259,11501522,27.44,10062947,31.37,4870096,64.81,3315353.18,1703021.25,1435626.59,0.00,14867732,42.46,14210837,44.42,7644842,82.57,3315353.18,1908695.92,1551576.54,0.00,3862488,2626260,3278172,1265360,469242,2828235,2445260,3024140,1128573,636739,596296,510608,807129,583492,2372571,3387716,2643198,3734124,3118566,1984128,2919213,2743249,3880658,2425408,2242309,331426,402879,748757,639228,5522552,59002611,76882365,404009259,124462589,68417159,251156580,98491148,109154377,140333137,76882365,76882365,404009259,124462589,92612750,251156580,123087627,128131206,140333137,98806015,146717867,158485377,0,0,13974546,201757682,35424352,0,0,1716139,13612864,21123255,31244805,72636074,150136904,253872355,0,0,0,13974546,201757682,35424352,0,0,1716139,13612864,21123255,31244805,72636074,185039994.42,50429852.97,56358195.36,103612113.53,212936132.58,50826926.06,53115727.66,91423403.59
22,1385_mbeacxc.mtx,496,496,49920,27126,775455,5988684,211868,22.08,362461,12.91,123143,37.99,57537.69,38124.74,27693.23,0.00,291329,32.12,538608,17.37,149982,62.39,57537.69,43205.87,29754.78,0.00,116548,34783,34445,14398,11694,250336,60063,39224,11359,1479,32349,24746,30278,15121,20649,116601,54105,62857,27679,30087,324787,104477,80004,23288,6052,18392,16717,26815,20273,67785,810762,1510616,5988684,1810106,2602580,6020420,1857088,2553689,3946554,1131408,1510616,5988684,1810106,3397603,6020420,2277436,2908546,3946554,1755254,1675394,2558036,0,0,273148,1316485,4430787,0,0,266170,841073,1189467,1039779,610065,2968170,3020514,0,0,0,273148,1316485,4430787,0,0,266170,841073,1189467,1039779,610065,3650599.44,992509.51,1406491.39,3660844.59,3972352.37,1107769.55,1427813.83,3415060.52
23,0850_adder_dcop_04.mtx,1813,1813,11107,63010,206507,1845985,58991,24.45,64889,22.23,49109,29.37,22192.86,8264.75,9592.44,0.00,72935,39.55,100233,28.78,63039,45.76,22192.86,9352.25,10173.83,0.00,44380,454,296,83,13778,36484,951,27427,27,0,34180,838,150,164,13777,43214,1332,375,1122,26892,43009,2306,54879,39,0,32755,1579,1168,1777,25760,186171,276659,1845985,521605,170143,2355706,213014,304789,1840273,296644,276659,1845985,521605,288712,2355706,219334,517175,1840273,102606,11692,1731687,0,0,109152,152839,2093715,0,0,63237,25498,18805,100641,1632092,102726,1743259,0,0,0,109152,152839,2093715,0,0,63237,25498,18805,100641,1632092,2257155.34,128072.58,229388.40,1800460.77,2270403.07,100534.10,316027.55,1325170.97
24,2473_filter3D.mtx,106437,106437,2707179,33362861,67706888,85957185,30391017,2.21,22967552,2.92,22693356,2.96,1556992.59,1381841.30,742098.97,0.00,30423599,4.41,25747624,5.22,22708447,5.91,1556992.59,1411245.81,742931.28,0.00,30194875,156837,34876,3768,661,22492166,380967,76774,12357,5288,22183841,398958,89910,12352,8295,28997198,1234166,155470,21625,15140,24175510,1222363,293321,40405,16025,20754916,1432222,401472,70370,49467,50301695,50387968,85957185,51717299,51828264,114400266,66788232,67060243,71886289,50387968,50387968,85957185,51717299,56084801,114400266,66937164,67225420,71886289,84061869,1527381,367935,0,0,53363694,41444611,19591961,0,0,37283908,21297567,8151489,4051083,1102242,84268981,1688204,0,0,0,53363694,41444611,19591961,0,0,37283908,21297567,8151489,4051083,1102242,47467210.92,12301124.11,12407877.68,38230605.05,60745263.92,12315783.89,12424020.61,38150009.24
25,0909_adder_dcop_55.mtx,1813,1813,11246,64442,208557,1848518,59740,24.17,65528,22.04,49753,29.03,22234.95,8301.82,9614.09,0.00,73684,39.20,100943,28.61,63683,45.35,22234.95,9389.72,10194.63,0.00,45128,455,296,83,13778,37119,952,27430,27,0,34817,843,152,164,13777,43960,1334,376,1122,26892,43712,2311,54881,39,0,33393,1578,1173,1717,25822,187260,277557,1848518,522944,171058,2359396,214622,306268,1842705,297816,277557,1848518,522944,289679,2359396,220298,518966,1842705,103831,11697,1732990,0,0,110704,153421,2095271,0,0,64249,25549,18871,96984,1637052,103951,1744567,0,0,0,110704,153421,2095271,0,0,64249,25549,18871,96984,1637052,2260284.31,128402.86,229669.16,1802272.98,2273693.05,100380.24,316531.85,1326474.89
26,0888_adder_dcop_48.mtx,1813,1813,11246,64442,208557,1848518,59740,24.17,65528,22.04,49753,29.03,22234.95,8301.82,9614.09,0.00,73684,39.20,100943,28.61,63683,45.35,22234.95,9389.72,10194.63,0.00,45128,455,296,83,13778,37119,952,27430,27,0,34817,843,152,164,13777,43960,1334,376,1122,26892,43712,2311,54881,39,0,33393,1578,1173,1717,25822,187260,277557,1848518,522944,171058,2359396,214622,306268,1842705,297816,277557,1848518,522944,289679,2359396,220298,518966,1842705,103831,11697,1732990,0,0,110704,153421,2095271,0,0,64249,25549,18871,96984,1637052,103951,1744567,0,0,0,110704,153421,2095271,0,0,64249,25549,18871,96984,1637052,2260284.31,128402.86,229669.16,1802272.98,2273693.05,100380.24,316531.85,1326474.89
27,2352_lhr71.mtx,70304,70304,1528092,261241,3602865,33298428,1675183,15.53,1595400,16.31,653879,39.78,339113.27,187014.39,161177.42,0.00,2071785,25.11,2655331,19.59,821357,63.34,339113.27,219374.11,174475.05,0.00,1337455,88994,76394,58742,113598,820035,582821,183992,8522,30,212125,119687,114999,54928,152140,1426211,188732,106538,88842,261462,1092454,1171607,373600,17544,126,136221,83058,128747,70863,402468,7124657,7831756,33298428,12200938,8181108,41862539,11294962,12284164,21202040,8812265,7831756,33298428,12200938,11735559,41862539,12738452,15854210,21202040,10337932,4003554,18956942,0,0,2260792,6649575,32952172,0,0,922891,2903518,13780789,2358522,1236320,12788180,20510248,0,0,0,2260792,6649575,32952172,0,0,922891,2903518,13780789,2358522,1236320,28535858.77,5965688.16,7046563.92,19563846.62,29675268.27,5960896.03,7837807.27,17296736.51
28,2375_venkat50.mtx,62424,62424,1717792,604120,743732,47598848,2728760,13.63,1294016,28.74,637927,58.29,469009.93,268241.34,180915.41,0.00,2731600,27.23,1408526,52.80,743732,100.00,469009.93,271421.53,182869.36,0.00,2542876,155624,29392,868,0,0,1134016,135788,14976,9236,0,0,532122,0,105805,0,2544848,158464,0,28288,0,0,1329588,0,78938,0,0,0,0,743732,11341648,11356480,47598848,11899712,11431936,23799424,11436624,11610416,11899712,11356480,11356480,47598848,11899712,11755952,23799424,11899712,11899712,11899712,45665984,1849536,83328,0,0,0,23799424,0,0,0,0,0,0,0,11899712,45788416,1810432,0,0,0,0,23799424,0,0,0,0,0,0,0,11899712,13358304.33,4471472.60,4558368.60,4703016.60,17568587.06,4207183.52,4207183.52,4207183.52
29,2499_nd3k.mtx,9000,9000,3279690,1506507,36067632,1275971514,20931750,47.62,21036226,47.39,11755992,84.80,9490314.79,5090246.62,4279120.02,0.00,33119055,60.20,34133369,58.41,21422813,93.06,9490314.79,5897819.63,4637081.71,0.00,4600355,3160164,4481763,3391659,5297809,5170032,2954118,4017813,3040226,5854037,527305,456711,923184,760068,9088724,4850874,3964725,6329997,5131869,12841590,6056056,3836488,5885756,4667421,13687648,355642,416599,740832,804214,19105526,129812784,205457723,1275971514,358376296,265772975,879007862,292775058,369104897,450064331,205457723,205457723,1275971514,358376296,367158001,879007862,391446053,402445699,450064331,130963085,225943462,919064967,0,0,23939456,397786595,457281811,0,0,1308139,16114948,31451869,49809095,351380280,258335512,1017636002,0,0,0,23939456,397786595,457281811,0,0,1308139,16114948,31451869,49809095,351380280,769499309.52,172320471.61,216928579.65,342641624.13,811844613.88,175059406.92,180966116.38,288649822.57
30,0964_power.mtx,4941,4941,13188,47558,90805,51054,35852,1.11,26247,1.52,28053,1.42,1208.17,1112.93,658.51,0.00,35852,2.23,30021,2.66,28053,2.84,1208.17,1133.22,658.51,0.00,35840,8,4,0,0,26070,149,27,1,0,27978,72,3,0,0,35550,290,8,4,0,29593,349,75,4,0,27588,390,72,3,0,41656,41656,51054,41756,42102,88769,50193,50397,50133,41656,41656,51054,41756,45070,88769,50193,50397,50133,50910,144,0,0,0,64870,20994,2905,0,0,44135,4070,1275,573,80,50910,144,0,0,0,64870,20994,2905,0,0,44135,4070,1275,573,80,33795.32,7001.46,7056.89,25515.12,41139.69,7001.46,7056.89,25515.12
31,0047_GD02_a.mtx,23,23,87,8,154,510,52,7.66,30,13.28,27,14.76,6.81,3.95,3.87,0.00,54,14.76,43,18.53,27,29.51,6.81,4.37,3.87,0.00,45,4,2,1,0,19,8,2,1,0,13,10,4,0,0,31,15,6,1,1,23,9,9,2,0,8,5,10,3,1,140,156,510,179,247,583,234,257,467,150,156,510,179,310,583,234,257,467,358,75,77,0,0,28,148,407,0,0,103,167,152,45,0,412,98,0,0,0,28,148,407,0,0,103,167,152,45,0,387.62,88.56,103.09,410.14,435.21,88.56,103.09,410.14
32,1018_add20.mtx,2395,2395,17319,46626,314749,531981,88431,4.70,71675,5.80,69625,5.97,7925.67,5495.82,3914.62,0.00,89448,9.29,100626,8.26,69682,11.93,7925.67,5984.71,3919.42,0.00,82940,4236,1174,79,2,64206,5652,1705,100,12,62567,5882,1085,75,16,71946,12296,4050,812,344,84732,11457,3998,402,37,48292,14292,5896,903,299,208514,211374,531981,241100,253871,650267,307079,321503,489381,211374,211374,531981,241100,330561,650267,307976,322414,489381,475444,50378,6159,0,0,126104,286597,237566,0,0,275236,133871,59569,18671,2034,481269,50712,0,0,0,126104,286597,237566,0,0,275236,133871,59569,18671,2034,332581.14,80731.30,86058.02,388866.61,373884.82,81014.36,86323.01,388504.34
