index,mtx,m,n,nnz,mp16,mp4,mpnz,128-ds-cycle,128-ds-mac,128-rm-cycle,128-rm-mac,128-smu-cycle,128-smu-mac,128-ds-energy,128-rm-energy,128-smu-energy,128-smu-speedup,64-ds-cycle,64-ds-mac,64-rm-cycle,64-rm-mac,64-smu-cycle,64-smu-mac,64-ds-energy,64-rm-energy,64-smu-energy,64-smu-speedup,128-ds-mt125,128-ds-mt25,128-ds-mt50,128-ds-mt75,128-ds-mt100,128-rm-mt125,128-rm-mt25,128-rm-mt50,128-rm-mt75,128-rm-mt100,128-smu-mt125,128-smu-mt25,128-smu-mt50,128-smu-mt75,128-smu-mt100,64-ds-mt125,64-ds-mt25,64-ds-mt50,64-ds-mt75,64-ds-mt100,64-rm-mt125,64-rm-mt25,64-rm-mt50,64-rm-mt75,64-rm-mt100,64-smu-mt125,64-smu-mt25,64-smu-mt50,64-smu-mt75,64-smu-mt100,128-ds-a-ntr,128-ds-b-ntr,128-ds-c-ntr,128-rm-a-ntr,128-rm-b-ntr,128-rm-c-ntr,128-smu-a-ntr,128-smu-b-ntr,128-smu-c-ntr,64-ds-a-ntr,64-ds-b-ntr,64-ds-c-ntr,64-rm-a-ntr,64-rm-b-ntr,64-rm-c-ntr,64-smu-a-ntr,64-smu-b-ntr,64-smu-c-ntr,128-ds-nt125,128-ds-nt25,128-ds-nt50,128-ds-nt75,128-ds-nt100,128-rm-nt125,128-rm-nt25,128-rm-nt50,128-rm-nt75,128-rm-nt100,128-smu-nt125,128-smu-nt25,128-smu-nt50,128-smu-nt75,128-smu-nt100,64-ds-nt125,64-ds-nt25,64-ds-nt50,64-ds-nt75,64-ds-nt100,64-rm-nt125,64-rm-nt25,64-rm-nt50,64-rm-nt75,64-rm-nt100,64-smu-nt125,64-smu-nt25,64-smu-nt50,64-smu-nt75,64-smu-nt100,128-rm-c-nut,128-smu-a-nut,128-smu-b-nut,128-smu-c-nut,64-rm-c-nut,64-smu-a-nut,64-smu-b-nut,64-smu-c-nut
1888,2726_as-Skitter.mtx,1696415,1696415,22190596,1270270039,5186098779,32065521958,1435439843,17.45,1632428754,15.35,1194625300,20.97,352003268.89,167378009.40,157363762.18,0.00,1745772784,28.70,2350001811,21.32,1374287903,36.46,352003268.89,192781408.40,166165944.01,0.00,1072920919,87008820,83382809,58285757,133841538,1158477787,123620364,238576107,54849842,56904654,827795462,86401788,80181975,49403119,150842956,1072278231,138043564,138284450,95644536,301522003,1421977290,235171874,471887078,106075437,114890132,707880002,133889609,98566294,59886613,374065385,4885789578,6612256323,32065521958,10158323558,6136956029,34971109571,7203624197,9691108863,25810823055,6612256323,6612256323,32065521958,10158323558,9245006889,34971109571,8574705415,11613115877,25810823055,6713887887,4112569667,21239064404,0,0,3460903348,6400902149,25109304074,0,0,1922728633,3545033777,3169536045,4156514716,13017009884,9078497005,22987024953,0,0,0,3460903348,6400902149,25109304074,0,0,1922728633,3545033777,3169536045,4156514716,13017009884,28804999881.68,3734761159.73,5596375108.18,23342007415.99,29621650249.25,3933083586.29,5850801422.11,19920073840.01
1889,1544_jan99jac040sc.mtx,13694,13694,82842,229582,422862,732445,261372,2.19,191405,2.99,178507,3.21,13739.62,10847.71,7033.04,0.00,264443,4.33,217210,5.27,178618,6.41,13739.62,11130.36,7038.93,0.00,257567,2844,693,268,0,182707,6274,2424,0,0,170146,5869,2162,330,0,254333,6792,2410,362,546,200701,11172,5282,55,0,156084,13954,6088,1753,739,471905,383972,732445,493006,376311,1121781,634237,497691,678195,478621,383972,732445,493006,409693,1121781,634687,499515,678195,678775,34374,19296,0,0,593596,346110,182075,0,0,258723,213303,125708,46301,34160,683912,48533,0,0,0,593596,346110,182075,0,0,258723,213303,125708,46301,34160,637131.38,139109.44,100856.11,410059.76,751163.60,139013.26,101434.96,407000.70
1890,2364_lp1.mtx,534388,534388,1643420,1110137024,17310782263,62326145016,1155887102,42.13,2253650988,21.61,2205358631,22.08,776712687.25,290825060.89,345861462.93,0.00,1202035650,81.02,4494210486,21.67,2205362825,44.16,776712687.25,368392930.37,345861559.91,0.00,51389948,18825747,1059237855,26432167,1385,165515759,2017646969,70481789,6471,0,104241484,1974363497,126748958,3102,1590,93545705,4069837,18961980,177215481,908242647,409987375,3979592861,104615500,14749,1,6938723,97304940,1974363830,126707417,47915,8318619685,8651163602,62326145016,16886440038,8318691962,79210421737,8600647951,16341602961,62325010668,8651163602,8651163602,62326145016,16886440038,16588979119,79210421737,8600655494,16341632157,62325010668,922321991,59498746323,1905076702,0,0,941955438,12248058540,66020407759,0,0,7456858231,51531949592,3283244185,52685526,273134,1262661233,61063483783,0,0,0,941955438,12248058540,66020407759,0,0,7456858231,51531949592,3283244185,52685526,273134,54498165021.84,4045616317.38,7707207562.18,61998732159.92,54781962007.92,4045608545.29,7707210908.66,61998671840.41
1891,2002_mark3jac140.mtx,64089,64089,399735,1152039,3372843,2746162,1226933,1.75,894969,2.40,905451,2.37,55813.94,54327.85,31938.75,0.00,1226933,3.50,1081245,3.97,905451,4.74,55813.94,55723.23,31938.75,0.00,1221858,4749,326,0,0,875327,12724,6093,825,0,884887,17475,3089,0,0,1197665,24193,4749,326,0,1034828,30145,13062,3175,35,848211,36676,17475,2840,249,1827076,1784486,2746162,1858044,1942896,4291162,2843951,2906407,2625806,1827076,1784486,2746162,1858044,2150276,4291162,2843951,2906407,2625806,2734443,11719,0,0,0,2286286,1395029,609847,0,0,1871715,438822,249439,52753,13077,2734443,11719,0,0,0,2286286,1395029,609847,0,0,1871715,438822,249439,52753,13077,1962970.32,553909.21,561854.69,1620797.07,2310628.78,553909.21,561854.69,1620797.07
1892,1834_lowThrust_11.mtx,18368,18368,223801,384694,7259115,104749361,1925181,42.51,1088998,75.15,1060165,77.19,955465.17,335078.30,378796.94,0.00,2727800,60.00,2004440,81.65,1858747,88.05,955465.17,394657.79,413237.12,0.00,1115208,5530,7218,1561,795664,249025,30494,11039,1541,796899,220760,26340,12804,2378,797883,1102234,19213,5485,6967,1593901,319685,60479,24654,14534,1585088,175781,45169,27705,7140,1602952,8117008,14498150,104749361,27397093,8260840,55363855,8529597,14909636,104332034,14498150,14498150,104749361,27397093,14804654,55363855,8558179,27682945,104332034,2484216,310499,101954646,0,0,1827852,52213135,1322868,0,0,254435,1179460,290186,537541,102070412,2498794,102250567,0,0,0,1827852,52213135,1322868,0,0,254435,1179460,290186,537541,102070412,54020362.58,7112626.28,13486034.28,103561142.63,54550923.14,5246162.30,18761555.71,73751787.34
1893,0491_685_bus.mtx,685,685,3249,2311,14200,17609,5636,2.44,2516,5.47,2872,4.79,307.07,240.61,176.70,0.00,5636,4.88,3488,7.89,2876,9.57,307.07,251.00,177.05,0.00,5573,45,18,0,0,2276,148,62,24,6,2645,159,60,7,1,5168,405,45,10,8,2981,308,127,55,17,2290,357,160,51,18,9336,9336,17609,9706,10974,22989,14707,15286,15516,9336,9336,17609,9706,12693,22989,14748,15379,15516,16842,767,0,0,0,7800,9748,5441,0,0,8407,3558,2237,818,496,16842,767,0,0,0,7800,9748,5441,0,0,8407,3558,2237,818,496,13899.30,3738.22,3940.76,11520.98,15201.22,3743.83,3974.81,11495.15
1894,1605_LF10000.mtx,19998,19998,99982,8744,44990,499882,42480,9.19,18741,20.84,14994,26.05,5818.93,4467.50,3328.47,0.00,42480,18.39,26241,29.77,14994,52.09,5818.93,4570.52,3331.11,0.00,29982,12498,0,0,0,12492,2500,1249,0,2500,7495,1,4998,2500,0,22482,7500,12498,0,0,11245,7497,2499,2,4998,2498,4996,1,1252,6247,137452,137452,499882,199942,249933,466123,214933,209932,339917,137452,137452,499882,199942,274933,466123,194941,229933,339917,499882,0,0,0,0,79972,98693,287458,0,0,9998,4,50011,199920,79984,499882,0,0,0,0,79972,98693,287458,0,0,9998,4,50011,199920,79984,382774.21,101252.14,97562.48,244824.09,404353.83,90834.31,111708.54,252465.65
1895,1964_HEP-th-new.mtx,27770,27770,352807,13775120,16717267,7473942,6102917,0.96,5960829,0.98,6013765,0.97,189631.69,170176.60,89445.06,0.00,6102917,1.91,6307785,1.85,6013765,1.94,189631.69,172429.86,89445.06,0.00,6102477,432,8,0,0,5960600,227,2,0,0,6013479,285,1,0,0,6095506,6971,432,8,0,6305575,2196,12,2,0,6006384,7095,285,0,1,6815335,6636515,7473942,6824720,6642403,14117467,7037088,7058523,7444693,6815335,6636515,7473942,6824720,7014205,14117467,7037088,7058523,7444693,7473642,300,0,0,0,12412894,1547008,157565,0,0,7354868,84046,5513,234,32,7473642,300,0,0,0,12412894,1547008,157565,0,0,7354868,84046,5513,234,32,3942641.53,720522.94,714161.05,3049454.10,5286427.00,720522.94,714161.05,3049454.10
1896,2642_pattern1.mtx,19242,19242,9323432,326673045,6501592483,7292315690,2315261771,2.46,319419885,17.84,1020978521,5.58,122234016.15,75061673.72,62595594.22,0.00,2317897008,4.92,594487478,19.17,1022160000,11.15,122234016.15,84955854.40,62637001.56,0.00,2310993793,1978555,804551,374926,1109946,187147669,2545981,128434854,641087,650294,991387389,27356105,1004272,145771,1084984,2304247567,7466568,3197784,1180829,1804260,329653616,7072691,255195533,1244547,1321091,655131773,336302017,27401100,756509,2568601,4055751803,4069743744,7292315690,4099173279,4071491794,6719198045,6648258805,6995019347,7215373707,4069743744,4069743744,7292315690,4099173279,7046434852,6719198045,6655018228,7003629452,7215373707,7092231862,42066169,158017659,0,0,1239327340,5260285289,219585416,0,0,5442763858,1630224500,52792015,33952424,55640910,7133000323,159315367,0,0,0,1239327340,5260285289,219585416,0,0,5442763858,1630224500,52792015,33952424,55640910,5715118850.88,1723441248.60,1821144041.87,6097287507.39,5747685152.08,1723690801.07,1820198069.61,6079842328.62
1897,0969_CAG_mat364.mtx,364,364,13585,12157,312087,588743,71145,6.47,33184,13.86,43892,10.48,7527.47,4415.10,4012.25,0.00,71179,12.92,55960,16.44,43966,20.92,7527.47,5082.13,4019.64,0.00,61389,8326,1430,0,0,20959,6197,4938,1030,60,30929,10159,2626,161,17,49241,12190,8323,1342,83,32489,11569,9201,2450,251,18034,12920,10185,2125,702,231613,176999,588743,257879,209757,602075,377004,385467,479983,231700,176999,588743,257879,302913,602075,378416,386851,479983,532122,56621,0,0,0,118036,265173,218866,0,0,198333,170501,88238,21996,915,532338,56405,0,0,0,118036,265173,218866,0,0,198333,170501,88238,21996,915,423525.31,121995.24,121203.80,406399.51,440548.62,122380.79,121619.94,406046.23
