index,mtx,gflops
0,2430_mc2depi.mtx,7.585878
1,2453_pkustk07.mtx,74.275856
2,2305_msc10848.mtx,52.454472
3,2449_rma10.mtx,73.546120
4,2479_ramage02.mtx,90.865799
5,2412_opt1.mtx,69.062691
6,2420_TSC_OPF_1047.mtx,132.302948
7,2413_trdheim.mtx,83.534889
8,2148_heart3.mtx,67.895798
9,2200_nemeth19.mtx,86.528732
10,2340_raefsky3.mtx,91.315651
11,2634_TSOPF_RS_b678_c2.mtx,14.845983
