,mtx,gflops
0,2453_pkustk07.mtx,247.840112
1,2430_mc2depi.mtx,216.261693
2,2420_TSC_OPF_1047.mtx,199.893637
3,2305_msc10848.mtx,215.921216
4,2148_heart3.mtx,122.123302
5,2449_rma10.mtx,274.624141
6,2200_nemeth19.mtx,185.533035
7,2479_ramage02.mtx,260.969572
8,2413_trdheim.mtx,231.162129
9,2634_TSOPF_RS_b678_c2.mtx,262.949970
10,2340_raefsky3.mtx,257.942096
11,2412_opt1.mtx,255.877146
