index,mtx,cvt_time,gflops
149,2517_power197k.mtx,,235.486
150,2324_nemeth22.mtx,,214.69
151,2044_wathen100.mtx,,102.004
152,0740_cavity02.mtx,,1.43393
153,1932_EAT_RS.mtx,,55.3024
154,2459_c8_mat11.mtx,,268.218
155,0343_lpi_chemcom.mtx,,0.457441
156,0055_bcsstm03.mtx,,0.111226
157,0848_cage8.mtx,,2.77258
158,0111_ex5.mtx,,0.27647
159,1957_mark3jac120sc.mtx,,80.0418
160,1749_mark3jac060sc.mtx,,43.9132
161,0393_gas11.mtx,,0.651042
162,2310_ok2010.mtx,,125.085
163,2565_LargeRegFile.mtx,,102.23
164,2014_nv2010.mtx,,76.3165
165,1220_cavity08.mtx,,6.21383
166,1147_lnsp3937.mtx,,7.14515
167,2136_Delor64K.mtx,,138.282
168,1830_s3rmt3m1.mtx,,36.7712
169,1128_spaceShuttleEntry_2.mtx,,4.84867
170,1494_EX4(0).mtx,,11.3671
171,2660_fcondp2.mtx,,141.224
172,0427_M20PI_n1.mtx,,0.763797
173,1962_cond-mat-2005.mtx,,71.134
174,0496_lp_standgub.mtx,,0.833949
175,1505_ncvxqp1.mtx,,20.3644
176,2076_psmigr_3.mtx,,71.2563
177,0146_bcsstm06.mtx,,0.128818
178,0524_nemscem.mtx,,1.1044
179,2453_pkustk07.mtx,,284.987
180,1985_g7jac100sc.mtx,,77.2883
181,0345_bcspwr04.mtx,,0.464714
182,0853_adder_dcop_01.mtx,,2.86171
183,2433_wave.mtx,,264.36
184,2559_engine.mtx,,299.273
185,0599_M40PI_n1.mtx,,1.4445
186,0980_bibd_17_4b.mtx,,2.03077
187,2777_kron_g500-logn19.mtx,,145.357
188,0237_bcsstm09.mtx,,0.337417
189,0886_adder_dcop_47.mtx,,2.68585
190,1947_ckt11752_tr_0.mtx,,73.1749
191,2539_Delor338K.mtx,,335.035
192,2078_soc-sign-Slashdot090216.mtx,,81.7053
193,1685_raefsky6.mtx,,20.6464
194,2115_pfinan512.mtx,,130.689
195,0911_adder_dcop_31.mtx,,2.60062
196,2256_G_n_pin_pout.mtx,,128.693
197,1464_Oregon-2.mtx,,15.0964
198,2105_nemeth16.mtx,,97.6744
199,1883_s3rmq4m1.mtx,,47.2988
200,2103_crystm03.mtx,,106.718
201,1337_beause.mtx,,6.33613
202,1978_vsp_south31_slptsk.mtx,,59.0035
203,1395_lock1074.mtx,,8.65171
204,2543_pkustk10.mtx,,414.887
205,2834_uk-2002.mtx,,132.912
206,2250_la2010.mtx,,121.576
207,0354_lpi_bgdbg1.mtx,,0.51568
208,2746_ML_Laplace.mtx,,146.083
209,1012_LeGresley_2508.mtx,,4.72109
210,2000_ca-AstroPh.mtx,,64.1901
211,0643_fpga_dcop_04.mtx,,1.79991
212,2247_co2010.mtx,,115.915
213,2218_vsp_vibrobox_scagr7-2c_rlfddd.mtx,,128.309
214,0835_IG5-10.mtx,,2.27488
215,2252_kneser_10_4_1.mtx,,86.0754
216,0154_lpi_ex73a.mtx,,0.14041
217,1110_G39.mtx,,5.42995
218,0121_impcol_b.mtx,,0.0958617
219,2788_wb-edu.mtx,,110.784
220,0716_cr42.mtx,,1.85496
221,1465_fe_4elt2.mtx,,18.7913
222,1901_EX6(0).mtx,,42.5197
223,0632_lp_grow15.mtx,,1.23374
224,2129_nd2010.mtx,,104.376
225,2558_ship_001.mtx,,425.278
226,0735_rdb1250.mtx,,2.14597
227,0860_adder_dcop_09.mtx,,2.60734
228,1587_cti.mtx,,26.1564
229,1713_ccc.mtx,,39.9168
230,1125_add32.mtx,,6.90986
231,2094_g7jac140sc.mtx,,105.385
232,1683_abtaha2.mtx,,37.9314
233,0145_west0132.mtx,,0.12829
234,1306_freeFlyingRobot_10.mtx,,10.3056
235,0610_dwt_607.mtx,,1.39268
236,1784_skirt(0).mtx,,41.3252
237,2803_audikw_1.mtx,,146.281
238,1506_xingo3012.mtx,,21.3812
239,2669_test1.mtx,,142.305
240,0394_gre_512.mtx,,0.689544
241,0452_ck400.mtx,,0.822429
242,1615_psse0.mtx,,29.7801
243,1475_powersim.mtx,,19.8671
244,0285_oscil_dcop_38.mtx,,0.478443
245,1800_g7jac060.mtx,,43.3517
246,2241_crplat2.mtx,,153.991
